text,label,document_index,subset
provid dummi implement suppress download display relat resourc frame imag todo creat better dummi display todo suppress link somehow,code/design_debt,179,train
todo jtlsaver seem call monitorhealthvisualz,code/design_debt,180,train
todo make run indic class instead jbutton,code/design_debt,181,train
child transactioncontrol throughputcontrol tpc sampl children todo warn level,code/design_debt,182,train
hack allow autom test find test end transient boolean testend fals,code/design_debt,184,train
hack resolv modulecontrol non gui mode,code/design_debt,186,train
add system properti sampler check see jmeter run nongui mode nonnls1 todo creat new instanc,code/design_debt,187,train
littl hack add listen start list ensur thread run show first listen modifi certain valu listen call,code/design_debt,189,train
todo move compon reason core use guinea pig coupl test,code/design_debt,190,train
todo bit code need tidi unfortun modulecontrol compon core bug 47165,code/design_debt,191,train
todo appear use,code/design_debt,193,train
ensur sampl variabl correct initialis run todo best way done elsewher,code/design_debt,194,train
add fix deadlock see see httpsissuesapacheorgbugzillashowbugcgiid48350,code/design_debt,195,train
hack allow extern control,code/design_debt,196,train
todo use space,code/design_debt,197,train
todo also clear isdynam rawparamet permanentresult,code/design_debt,198,train
todo level debug,code/design_debt,200,train
effect savertoxmlobject writer except get provid datahold dont know method xstream class,code/design_debt,201,train
todo fix nimbus laf,code/design_debt,202,train
fixm searchtf get focus correct setvisiblefals,code/design_debt,203,train
menubar relat method todo realli need menubar method duplic perhap make menu bar access guipackag,code/design_debt,205,train
hack get full modifi valu,code/design_debt,206,train
todo consid remov method provid method wrapper instead would allow gui packag addit clearup requir done cleartestplan,code/design_debt,209,train
mayb noth,code/design_debt,210,train
notus privat void initbuttonmap,code/design_debt,211,train
todo believ follow code end method obsolet sinc namepanel longer seem gui compon,code/design_debt,212,train
avoid error ant task test good way,code/design_debt,213,train
appear use call mainframeseteditaddmenu call,code/design_debt,214,train
aggreg sampl result use statist remot batch mode sampl aggreg key defin getkey todo merg error count parent class,code/design_debt,215,train
todo error thrown back rmi,code/design_debt,216,train
jmetertreenod testbeangui special gui class arent intend ad menus todo find better way check,code/design_debt,217,train
use,code/design_debt,219,train
use,code/design_debt,220,train
todo perhap save item header,code/design_debt,222,train
todo class implement samplelisten,code/design_debt,223,train
set readresolv set servercli valu appropri todo would nice make final 100 sure volatil need chang creation,code/design_debt,224,train
sampl aggreg thread name thread group default,code/design_debt,225,train
use,code/design_debt,227,train
todo turn method,code/design_debt,228,train
appear use yet,code/design_debt,229,train
sampl aggreg thread name thread group default,code/design_debt,231,train
todo clazz probabl alway testclass,code/design_debt,232,train
todo restor,code/design_debt,233,train
todo provid proper name,code/design_debt,234,train
todo matter empti line termin loop csv output file never contain empti line probabl need check whether reader eof,code/design_debt,235,train
must set readingwrit xml rather hack save chang method call includ extra variabl afaik variabl access one thread need synchron,code/design_debt,237,train
todo restor,code/design_debt,238,train
todo use make privat,code/design_debt,239,train
check case,code/design_debt,242,train
todo right thing,code/design_debt,243,train
use,code/design_debt,244,train
resultssetresponsecod todo code set,code/design_debt,245,train
todo implement supportscustomeditor,code/design_debt,246,train
check case,code/design_debt,247,train
use testresult element generat resultcollector class,code/design_debt,248,train
check string valid jmeter express current implement basic accept string contain valid express todo improv keep return true,code/design_debt,249,train
todo use remov,code/design_debt,250,train
guess happen result bad file read case would better replac incorrect valu anyth valid default valu properti time prefer awar problem occur like program error ill bail note cant bail newli creat element blank valu must get default also load previous version jmeter test script valu may right get default valu todo review possibl chang,code/design_debt,251,train
todo work yet need determin sampl type,code/design_debt,252,train
program error bail,code/design_debt,253,train
temporari fix allow default protocol chang,code/design_debt,254,train
todo consid use privat log deriv class,code/design_debt,255,train
appear use yet,code/design_debt,256,train
rememb chang class chang,code/design_debt,257,train
rememb chang class chang,code/design_debt,261,train
follow variabl set standardjmeterengin done start call valu publish thread safe todo consid pass constructor made final avoid ad lot paramet perhap paramet wrapper object,code/design_debt,262,train
todo set thread name subsampl might effici fetch name elseweher,code/design_debt,263,train
set samplingstart contol initialis allow access run valu function variabl howev seem help listen,code/design_debt,264,train
todo fix real implement,code/design_debt,266,train
todo clear relev entri possibl,code/design_debt,267,train
sure alway null constructor,code/design_debt,268,train
todo use super class valu,code/design_debt,269,train
custom trustmanag ignor certif error todo implement condit check log deriv authsslx509trustmanag httpclient contrib directori,code/design_debt,271,train
map contain page form encod todo realli need share proxi instanc,code/design_debt,272,train
note sourc line argument nonsens call way make argument sensibl,code/design_debt,273,train
except wrap javascriptexcept,code/design_debt,274,train
todo empti block,code/design_debt,275,train
todo perhap fatal error,code/design_debt,276,train
clone produc correct type todo need clone list,code/design_debt,277,train
todo call userparameterxmlparsergetxmlparamet deprec class,code/design_debt,278,train
todo probabl need,code/design_debt,279,train
todo need synch probabl chang thread start jmeter home directori exclud trail separ jmeter bin directori exclud trail separ,code/design_debt,281,train
todo clear relev entri possibl,code/design_debt,283,train
todo,code/design_debt,284,train
todo equal hashcod depend field count,code/design_debt,285,train
todo sync realli need,code/design_debt,286,train
todo correct,code/design_debt,287,train
todo cpercent cmedian pass distributionlin,code/design_debt,288,train
todo equal hashcod depend field count,code/design_debt,289,train
todo method signatur method chang match superimplement use testel paramet instead abstractlistenerel would requir instanceof check ad listen would also make behavior bit obvious subclass java rule deal situat arent alway intuit subclass may think call version method realli call superclass version instead,code/design_debt,291,train
todo method synchron function execut,code/design_debt,292,train
todo engin static,code/design_debt,293,train
todo getmin,code/design_debt,295,train
fix bug arg1arg2 caus pars error howev defin arg1arg2 seem parser skip termin long option short option,code/design_debt,296,train
todo improv error handl,code/design_debt,297,train
todo improv error handl,code/design_debt,298,train
add logtarget root logger fixm what clean way add logtarget afterward param logtarget logtarget array,code/design_debt,299,train
hack reduc need load everi class nongui mode need function todo perhap use bcel scan class file instead class name contain string class name contain string,code/design_debt,300,train
todo exact order requir test chang comparison set compar necessari,code/design_debt,301,train
todo field alway true,code/design_debt,302,train
todo improv check,code/design_debt,303,train
todo could return,code/design_debt,304,train
todo field alway true,code/design_debt,305,train
wrong,code/design_debt,306,train
todo failur,code/design_debt,308,train
wrapper convert junit4 class testcas todo work convert junit4 assert treat failur rather error,code/design_debt,309,train
method broken anyway,code/design_debt,310,train
todo realli return specif longest match,code/design_debt,311,train
todo possibl,code/design_debt,314,train
todo use gui,code/design_debt,316,train
current use,code/design_debt,317,train
note handl simpl doublequot could formal accur cant imagin session contain either whole set express quick hack anyway care,code/design_debt,319,train
todo fix real implement,code/design_debt,320,train
todo improv string version better match browser behaviour browser regard httphost httphost80 would better reflect string,code/design_debt,321,train
hack skip process,code/design_debt,323,train
todo find way avoid cost creat string probabl new patternmatcherinput work byte would better,code/design_debt,324,train
todo setbaseforscript call rather,code/design_debt,325,train
java 16022 longer allow contentlength set dont check see httpbugssuncombugdatabaseviewbugdobugid6996110 todo point check header,code/design_debt,326,train
sampleev pass jmetervari dont make sens proxi record todo correct threadgroup name,code/design_debt,327,train
todo need clean,code/design_debt,328,train
nonnls1 todo variabl,code/design_debt,329,train
hack skip process,code/design_debt,330,train
todo replac repeat substr effici method,code/design_debt,331,train
wont work writeerrortoclienthttpreplyhdrforminternalerror generat result nec popul hack skip process,code/design_debt,333,train
hack,code/design_debt,335,train
todo hack remov later,code/design_debt,337,train
todo lfon eol allow,code/design_debt,339,train
dircontext todo perhap return,code/design_debt,340,train
todo specifi collect type without break caller,code/design_debt,342,train
todo eever happen,code/design_debt,343,train
form paramet alway textplain mime type todo make paramet,code/design_debt,344,train
nonnls1 todo obtain file somehow,code/design_debt,345,train
appear use,code/design_debt,346,train
allow serializ test work todo serializ test necessari jmetertreenod longer gui compon,code/design_debt,348,train
todo null correct,code/design_debt,349,train
todo handl thread stop,code/design_debt,350,train
slight hack need ensur testclass reset previous call,code/design_debt,351,train
todo call basedir null,code/design_debt,352,train
may replac later,code/design_debt,353,train
todo could convert generic class,code/design_debt,354,train
todo use,code/design_debt,356,train
todo make static,code/design_debt,357,train
hack allow entir url provid host field,code/design_debt,358,train
todo assertequalscontentencod sgetcontentencod check argument one argument valu equal post bodi,code/design_debt,359,train
todo belong elsewher,code/design_debt,361,train
todo happen,code/design_debt,362,train
todo need current done sampl complet jmeterthread catch toplevel sampl,code/design_debt,363,train
todo bit fragil,code/design_debt,364,train
todo correct first file cant write header simplic alway save even one file,code/design_debt,365,train
rememb chang class chang,code/design_debt,366,train
todo return someth els,code/design_debt,367,train
nonnls1 todo variabl,code/design_debt,369,train
todo correct default,code/design_debt,370,train
todo need add charset file content nonnls1,code/design_debt,372,train
todo merg put post method far possibl post check multipart formfil invok senddatahttpentityenclosingrequestbas,code/design_debt,373,train
get content length tell much data read todo mayb support chunk encod cannot reli content length,code/design_debt,374,train
todo correct default,code/design_debt,375,train
todo correct default,code/design_debt,376,train
todo field public dont appear use extern also differ httpconstantsget etc case seem use method name tomcat log howev rmethod field use valu httpsamplerbasemethod httpconstant approri,code/design_debt,378,train
notus orgapachejmetermonitormodelstatus todo charset,code/design_debt,379,train
rememb chang class chang,code/design_debt,380,train
todo find retriev script present script use sampleresult method set nonnls1 nonnls1,code/design_debt,381,train
todo process warn set code messag success,code/design_debt,382,train
todo encod configur nonnls1,code/design_debt,383,train
todo method refer realli use,code/design_debt,385,train
todo method refer realli use,code/design_debt,386,train
mayb consid creat global cach random file make jmeter effici,code/design_debt,387,train
mayb consid creat global cach random file make jmeter effici,code/design_debt,388,train
jmetertreenod testbeangui special gui class arent intend ad menus todo find better way check,code/design_debt,389,train
menubar relat method todo realli need menubar method duplic perhap make menu bar access guipackag,code/design_debt,390,train
use javanamingsecurityprincipalcredenti creat queueconnect,code/design_debt,391,train
todo set differ status enough messag found,code/design_debt,392,train
todo fix real implement,code/design_debt,393,train
allow serializ test work todo serializ test necessari jmetertreenod longer gui compon,code/design_debt,394,train
fixm broken code,code/design_debt,395,train
notus privat string chosenfil,code/design_debt,396,train
find bean check resourc properti file check nondefault properti file dont extra key check necessari properti defin least default properti file except bean whose name contain experiment alpha todo check properti file dont duplic key import,code/design_debt,397,train
could perhap variabl name,code/design_debt,398,train
resultssetresponsecod todo code set,code/design_debt,399,train
add separ,code/design_debt,400,train
todo skip process,code/design_debt,401,train
todo add real test split remov,code/design_debt,402,train
use transient protect threadgroup threadgroup null anyway suppos class javalang jmeterthread,code/design_debt,403,train
other could privat,code/design_debt,404,train
todo ever happen,code/design_debt,405,train
todo fetch list languag file chang languag list need reflect resourcespackagetestjava,code/design_debt,406,train
todo move util class jmeterutil,code/design_debt,407,train
todo need implement kind connect pool connect share thread share connect destin crossthread share,code/design_debt,408,train
todo ought filechoos,code/design_debt,409,train
set content type todo need string multipartcontenttyp multipartgetcontenttypegetvalu postsetheaderheadercontenttyp multipartcontenttyp,code/design_debt,410,train
todo assum redirect respons alway immedi follow origin respons may alway true better way,code/design_debt,411,train
todo best way httpsissuesapacheorgbugzillashowbugcgiid55634,code/design_debt,412,train
keep unexpand path todo allow directori end jar remov check,code/design_debt,413,train
todo work current situat hack get editor report whether want grow bigger whether properti label left top editor,code/design_debt,414,train
hack save packag transact control,code/design_debt,415,train
mani class assign todo must nicer way,code/design_debt,416,train
testbean hidden,code/design_debt,417,train
hack make userdefin variabl testplan element dynam,code/design_debt,419,train
hack forc control load tree,code/design_debt,420,train
might use also make avail request tab post json,code/design_debt,421,train
header save data nonnls1,code/design_debt,422,train
header save data nonnls1,code/design_debt,423,train
show larg string cost avoid respons data larger 200000 todo instead could delay resultsettext call user choos respons data tab plus could warn user happen revert choic doesnt confirm hes readi wait,code/design_debt,424,train
need implement visual testbeangui find correct gui class,code/design_debt,425,train
todo string resourc,code/design_debt,426,train
resultseterrortru todo correct strategi throw except allow assert pass,code/design_debt,427,train
call guiinstancecleartestplan reason clear everyth,code/design_debt,428,train
use,code/design_debt,429,train
todo move jorphanutil,code/design_debt,430,train
notus yet privat jtextfield filenam,code/design_debt,431,train
mayb move vector problem occur,code/design_debt,432,train
todo call super,code/design_debt,433,train
todo document reason,documentation_debt,434,train
todo cant see anyth spec,documentation_debt,435,train
todo cant see anyth spec,documentation_debt,436,train
todo somehow show progress,requirement_debt,437,train
todo support multipl signer,requirement_debt,438,train
todo fetch per var,requirement_debt,439,train
todo add delet current support nonnls1,requirement_debt,440,train
todo use setdon todo use setfirst,requirement_debt,442,train
set overal status transact sampl todo improv ad count sampleresult class,requirement_debt,443,train
exit end test appli server host nonnul,requirement_debt,444,train
reach report boundari need allow margin error otherwis miss slot also need check weve hit window alreadi,requirement_debt,445,train
allow mimetyp file control content type obvious gui upload file send content nameless paramet todo need multipl file upload scenerio,requirement_debt,447,train
remind convert arg list vector,requirement_debt,448,train
chunk transfer encod realli support yet read without block know stop read cannot block todo properi implement support chunk transfer know read whole request therefor allow read block,requirement_debt,449,train
allow mimetyp file control content type obvious gui upload file send content nameless paramet todo need multipl file upload scenerio,requirement_debt,450,train
allow mimetyp file control content type obvious gui upload file send content nameless paramet todo need multipl file upload scenerio,requirement_debt,451,train
allow mimetyp file control content type obvious gui upload file send content nameless paramet todo need multipl file upload scenerio,requirement_debt,452,train
todo handl filenam,requirement_debt,453,train
yet handl,requirement_debt,454,train
todo check error log,requirement_debt,455,train
todo perhap note connect disconnect end test,requirement_debt,457,train
todo enabl proper test,test_debt,458,train
todo make separ test,test_debt,459,train
todo need lot test,test_debt,460,train
todo need lot test,test_debt,461,train
todo add test savegraph,test_debt,462,train
todo add test reportsavegraph,test_debt,464,train
todo done even full test plan load fail,test_debt,465,train
todo assert separ test,test_debt,466,train
todo need test,test_debt,467,train
todo add test check name clash long option abbrevi match shortest uniqu abbrevi,test_debt,469,train
todo mvw done gef,code/design_debt,470,train
todo temporari crutch use fig updat use constructor accept diagramset object,code/design_debt,471,train
todo cyclic depend selectionrerouteedg figedgemodelel,code/design_debt,472,train
todo probabl worthwhil abstract factor chooser directori stuff file handl come sure,code/design_debt,474,train
setfontfamilydialog todo need,code/design_debt,477,train
todo move toolbar project,code/design_debt,478,train
todo temporari method make sure model updat loss focus combo box long term attempt updat model keypress see javaawteventfocuslistenerfocuslostjavaawteventfocusev,code/design_debt,479,train
todo super constrcutor take graphmodel,code/design_debt,481,train
workaround miss abil pars,code/design_debt,482,train
todo need tidi stabl releas graph model creat constructor,code/design_debt,483,train
wrong call null handl workaround return empti collect,code/design_debt,484,train
todo navig direct tfm,code/design_debt,485,train
todo doesnt look right review tfm,code/design_debt,486,train
return statemachin todo method call fig introduc depend cycl would much better could use link orgargoumlumldiagramargodiagramgetown thing,code/design_debt,487,train
constructor todo method handl set keydefaultshadowwidth miss,code/design_debt,489,train
todo perform critic method,code/design_debt,490,train
todo need work must determin fig enclos pool within bound fig translat,code/design_debt,491,train
todo optim root model case tfm,code/design_debt,492,train
todo realli need carri old behavior,code/design_debt,493,train
todo seem like brute forc workaround indirect one appear need though fix problem proper tfm 20070904,code/design_debt,495,train
todo realli need,code/design_debt,496,train
todo uml spec requir client supplier model tfm,code/design_debt,497,train
todo unus,code/design_debt,498,train
todo temporari let tree expand implicit tfm,code/design_debt,500,train
todo split inherit attr critic local attr critic,code/design_debt,501,train
may actual make differ present code behind addtrigg need work,code/design_debt,503,train
todo handl multipl top level packag,code/design_debt,504,train
todo better wrap profileexcept throw,code/design_debt,506,train
creat bandbuff small slice imag todo use fix height buffer could smarter comput height would fit memori budget allow use taller buffer narrow imag minim overhead multipl render pass,code/design_debt,507,train
todo support iter declar,code/design_debt,508,train
return return default stereotyp view todo enumer,code/design_debt,509,train
todo shouldnt depend current project make sure defin undo manag,code/design_debt,511,train
remov diagram exist todo move gef,code/design_debt,512,train
todo need manag undo perproject basi instead use gef global undo manag,code/design_debt,513,train
class give critic access part uml model design defin gen function return children given part uml model basic goe project model modelel argo critic agenc use appli critic appropri todo think know composit associ uml metamodel incomplet updat uml done use inform metamodel rather hardwir code tfm 20070205 see orgargoumlcognitiveag see orgargoumlcognitivedesign author jrobbin,code/design_debt,515,train
todo defin constant magic number,code/design_debt,516,train
todo consid inherit associ todo self loop doubl count,code/design_debt,517,train
todo multipl associ pair element need special case dont overlap tfm 20060228,code/design_debt,518,train
get current threshold todo protect return current threshold,code/design_debt,519,train
need work send receiv icon,code/design_debt,522,train
todo offend need strong type tfm 20070630,code/design_debt,524,train
express implement one combobox select todo euml modul project,code/design_debt,525,train
must overridden make sens didnt want make abstract might requir,code/design_debt,528,train
todo use default valu appropri type,code/design_debt,530,train
todo fire event projectbrows regist listen,code/design_debt,531,train
superclass longer method perhap whole thing remov tfm superupdatelistenersnewown,code/design_debt,532,train
todo actual hack diagram type like statechart diagram access current diagram get info might caus problem there anoth statechart diagram activ remov current project load new one,code/design_debt,533,train
todo handl multipl top level packag,code/design_debt,534,train
follow specif realize todo correct gef use interfacer abstract,code/design_debt,535,train
todo still use argouml string hardwir,code/design_debt,536,train
languag must uniqu todo model dont use dialog chang first,code/design_debt,538,train
todo cyclic depend persistancemanag,code/design_debt,539,train
todo instanc variabl creat discard need,code/design_debt,540,train
check duplic name renam necessari,code/design_debt,541,train
creat new ocl critic param oclconstraint ocl express param headlin headlin param descript descript param moreinfourl info url param knowledgetyp knowledg type param supporteddecis decis param prioriti prioriti throw invalidoclexcept ocl valid todo need list simpl collect,code/design_debt,542,train
todo insid block forgotten els branch question eului 20090816,code/design_debt,543,train
todo mayb separ name,code/design_debt,544,train
todo minim updat strategi would better minim work event fire may better deprec method forc call manag updat sinc probabl usual want add remov singl element tfm 20061108,code/design_debt,545,train
todo progressmgr use come,code/design_debt,546,train
todo show user messag load project use notat current avail fall back default notat done mayb implement persistencemanag,code/design_debt,547,train
todo parent remov see orgargoumlumldiagramuifignodemodelelementupdatebound,code/design_debt,548,train
todo handl access import,code/design_debt,550,train
todo probabl need qualif tfm,code/design_debt,552,train
todo method obsolet use getinputmap etc,code/design_debt,553,train
todo check semant tfm,code/design_debt,554,train
todo move gef,code/design_debt,555,train
todo super constrcutor take graphmodel,code/design_debt,558,train
stereotyp todo arent stereotyp handl elsewher,code/design_debt,559,train
todo fire event projectbrows regist listen tfm,code/design_debt,560,train
todo support one bodylanguag,code/design_debt,561,train
todo remov old implement 022 demonstr need tfm,code/design_debt,562,train
todo find better way hard code colour,code/design_debt,563,train
public object getgoalinfostr goal return goalsgetpropertygo todo need better represent goal,code/design_debt,565,train
local variabl,code/design_debt,566,train
todo realli separ class,code/design_debt,567,train
modelel chang give prioriti check critic asap todo synchronis todo object first creat param design materi param reason reason,code/design_debt,568,train
todo could general initi stuff need,code/design_debt,569,train
todo call see javabeansvetoablechangelistenervetoablechangejavabeanspropertychangeev,code/design_debt,570,train
todo chang use undomanag instanc per project gef enhanc,code/design_debt,572,train
hack item check isleafnod includ empti folder realli need alwaysleafnod,code/design_debt,573,train
todo next line code long,code/design_debt,574,train
todo unus,code/design_debt,575,train
method insuffici inform call buildextensionpoint thus well need creat one pray whomev call know kind mess got,code/design_debt,576,train
todo need set input encod done todo pars none member type inputsourc inputsourc new inputsourc new inputstreamreaderinputstream argo getencod,code/design_debt,577,train
todo execut remov need tfm,code/design_debt,578,train
load project display nice progressmonitor param file project open param showui whether show gui todo need refactor gui independ tfm,code/design_debt,579,train
todo asargu,code/design_debt,581,train
todo creat depend critic subsystem instead subsystem regist desir menus action,code/design_debt,583,train
todo get rid magic number figur repres line width pad offset,code/design_debt,584,train
refer action need mac hack,code/design_debt,585,train
may actual make differ present code behind addtrigg need work,code/design_debt,588,train
todo class part depend cycl projectbrows,code/design_debt,589,train
todo wont use pathcompar take care uniqu,code/design_debt,591,train
get classifi import packag todo probabl happen automat getallmodelelementsofkind tfm,code/design_debt,593,train
todo add open recent project command command state decoupl user set,code/design_debt,594,train
todo magic number,code/design_debt,596,train
