text,classification
xxx follow run javadoc4 execut null,code/design_debt
mac previous todo idea get someon must fix,code/design_debt
todo noth appear read set use public setter,code/design_debt
xxx commit combiningchar extend,code/design_debt
xxx fail load class proper print warn,code/design_debt
xxx could perhap also call threadstop sure anyon care,code/design_debt
xxx perhap shouldnt use properti three option emac mode warn pedant includ javac direct,code/design_debt
xxx mayb use reflect addpathel pattern,code/design_debt
todo problem constructor rbc provid rule constructor setter avail,code/design_debt
probabl best choic solv problem relat path classpath,code/design_debt
fix invalid charact think add list,code/design_debt
fallback case troubl load class dont know handl easi way know idl mode would generat suppos make ant alway recompil class file name exist,code/design_debt
check also ugli,code/design_debt
cant get head around encod treatment need,code/design_debt
quick dirti make nest map pset work,code/design_debt
xxx code still necessari port pull zip packag directori,code/design_debt
develop know,code/design_debt
xxx unfortun jdk12 add entryset keyset valu implement requir small hack add later,code/design_debt
first develop could use littl help,code/design_debt
xxx throw except instead,code/design_debt
xxx throw except instead,code/design_debt
xxx throw except instead,code/design_debt
xxx silent catch possibl except tri load differ implement,code/design_debt
xxx silent catch possibl except tri load differ implement,code/design_debt
sinc java return normalizedpathsplit workaround java 1213,code/design_debt
hammer end inlin maingtu,code/design_debt
array realli shouldnt histor purpos pfixm array privat packag privat locat sinc could modifi malici codep,code/design_debt
move separ public class api add listen etc,code/design_debt
becom singl empti argument 5906,code/design_debt
nice job,code/design_debt
provid public visibl,code/design_debt
use public theoret must remain,code/design_debt
supervalidateattribut dont want call method,code/design_debt
xxx,code/design_debt
keep someth delet later test,code/design_debt
copi concattest,code/design_debt
sure whether clean method declar throw except,code/design_debt
set prefix fileset pass need,code/design_debt
noth,code/design_debt
deal assembl programm write littl byte chunk know must assembl complet record write review mayb tarbuff could help elimin buffer copi,code/design_debt
new better way use classespath instead sourcespath code current need class file directori use jar file,code/design_debt
xxx simpli new filedir filenam,code/design_debt
ugli check root folder,code/design_debt
todo parameteris call compil class dont want fork use classic compil parameteris,code/design_debt
xxx get packag accord weblog standard written better hacki care similar code scandir slight differ,code/design_debt
stolen writemanifest,code/design_debt
jarfil alreadi exist whack recreat probabl think eleg way handl case error dont leav peopl wors start,code/design_debt
xxx follow realli necessari thread group,code/design_debt
find cleaner way put output,code/design_debt
old way deprec classespath right way,code/design_debt
script exampl modifi ide task target work ugli refer replac runtimeconfigur,code/design_debt
dont call superclos reader use place,code/design_debt
report error someth weird happensthi diagnost,code/design_debt
sorri otherwis get classcastexcept mockcach load two differ classload,code/design_debt
hack ask creat instanc voluntarili provid illeg argument forc run class static initi time run valid constructor,code/design_debt
singleton may chang perclassload,code/design_debt
xxx shouldnt alway return fals isol mode,code/design_debt
delet file valid file,requirement_debt
todo comment field doesnt includ option yet,requirement_debt
delet file valid file,requirement_debt
method check timestamp file list code ejbfilescod compar timestamp codejarfil code codejarfilecod timestamp recent ejb file codetruecod return otherwis codefals code return todo find way check manifestfil found name convent param ejbfil hashtabl ejb class file ad complet jar file param jarfil jar file contain ejb class file return boolean indic whether codejarfilecod date,requirement_debt
think lazi initi jhm compar new javatextrulebasedcol,requirement_debt
todo comment field doesnt includ option yet,requirement_debt
todo method yet getclassnam todo method newinst use reverseclassload,requirement_debt
displaynam variabl store valu displaynam element standard ejb descriptor futur enhanc task may determin name ejb jar file use displaynam implement yet,requirement_debt
output stream compress bzip2 format without file header char anoth stream pthe compress requir larg amount memori thus call link close close method soon possibl forc ttcbzip2outputstreamtt releas alloc memoryp pyou shrink amount alloc memori mayb rais compress speed choos lower blocksiz turn may caus lower compress ratio avoid unnecessari memori alloc avoid use blocksiz bigger size input pyou comput memori usag compress follow formulap pre code400000 blocksizecod pre pto get memori requir decompress link cbzip2inputstream cbzip2inputstream usep pre code65000 blocksizecod pre tabl width100 border1 colgroup col width33 col width33 col width33 colgroup colspan3memori usag blocksizeth trtr alignrightblocksizeth alignrightcompressionbrmemori usageth alignrightdecompressionbrmemori usageth trtr alignright100000td alignright1300000td alignright 565000td trtr alignright200000td alignright2200000td alignright1065000td trtr alignright300000td alignright3100000td alignright1565000td trtr alignright400000td alignright4000000td alignright2065000td trtr alignright500000td alignright4900000td alignright2565000td trtr alignright600000td alignright5800000td alignright3065000td trtr alignright700000td alignright6700000td alignright3565000td trtr alignright800000td alignright7600000td alignright4065000td trtr alignright900000td alignright8500000td alignright4565000td tabl pfor decompress ttcbzip2inputstreamtt alloc less memori bzip input smaller one blockp pinstanc class threadsafep todo updat bzip2 101,requirement_debt
xxx log error throw except,requirement_debt
todo allow user request system parent,requirement_debt
text add fragment todo check could modifi posprev seem like current version could stick empti string list,requirement_debt
xxx add except,requirement_debt
todo duplic testresult inform time part result wed better deriv new class testresult deal,test_debt
sure whether test need cost noth put hope review anybodi compet,test_debt
testcas link xsltprocess task xxx merg link xslttest version 20030805,test_debt
doesnt work depend compress engin use compress byte may differ fals error would report asserttruefil content mismatch fileutilscontentequalsprojectresolvefileexpectedasflogohugetarbz2 projectresolvefileasflogohugetarbz2,test_debt
wrong test remot openvm doesnt seem way detect,test_debt
process doesnt die proper combin thus test fail workaround,test_debt
junit3 test assertequalserror junittestrunnerfailur runnergetretcod fixm report origin stacktrac asserttrueerror errorindexofthrown purpos,test_debt
properti id thing either properti path need make sure object creat given dont adequ way test actual valu path object though,test_debt
test case gone,test_debt
attribut name valu xml spec doesnt requir preserv order afaik ant test reli exact order follow code copi attributeimpl could also use sax2 attribut convert sax1 dom attribut node also store sax2 attribut xxx jdk use linkedhashmap purpos jglick except order treatment refid number datatyp check refid set attribut set check work build script attribut refid attribut ant refid attribut process first,test_debt
todo turn paramet,code/design_debt
todo call super,code/design_debt
todo improv,code/design_debt
todo contenttyp andor dataencod belong httpsampleresult instead,code/design_debt
todo need work,code/design_debt
mayb move vector problem occur,code/design_debt
todo method doesnt appear use,code/design_debt
todo realli necessari,code/design_debt
program error bail,code/design_debt
todo throw error,code/design_debt
program error bail,code/design_debt
houston problem,code/design_debt
todo replac proper except,code/design_debt
todo charset todo realli request data none,code/design_debt
millisecond todo properti,code/design_debt
todo move jorphanutil,code/design_debt
need implement visual testbeangui find correct gui class,code/design_debt
null sure,code/design_debt
todo implement nontext type,code/design_debt
todo popul current,code/design_debt
need implement visual testbeangui find correct gui class todo remov unsharedcompon probabl make sens testbean,code/design_debt
nonnls1 todo use differ format,code/design_debt
notus long longsampl getsampl load node,code/design_debt
lead code smell meh care,code/design_debt
todo ever use,code/design_debt
todo best way,code/design_debt
program error bail,code/design_debt
mayb move vector problem occur,code/design_debt
key messagesproperti lowercas histor reason,code/design_debt
use protect doubl data null,code/design_debt
program error bail,code/design_debt
program error bail,code/design_debt
todo effici,code/design_debt
todo use setfirst,code/design_debt
program error bail,code/design_debt
dom tree panel display respons tree view author hrefmailtodmaungmdlcomdav maunga todo implement find node tree use treepath,code/design_debt
todo method need public isnt current call outsid class,code/design_debt
system support unc path may need fix later,code/design_debt
use,code/design_debt
todo indetermin todo indetermin nonnls1 nonnls1,code/design_debt
hack skip process,code/design_debt
todo allow null nonprimit type,code/design_debt
todo sure best method,code/design_debt
todo need,code/design_debt
todo call start stop,code/design_debt
use,code/design_debt
todo believ follow code end method obsolet sinc namepanel longer seem gui compon,code/design_debt
method broken anyway,code/design_debt
todo sensibl number nonnls1,code/design_debt
todo work search xml pane,code/design_debt
todo sensibl,code/design_debt
return fragment text rather text fragment,code/design_debt
clear caus conflict version perhap,code/design_debt
todo replac proper except return error,code/design_debt
todo valid contenttyp reason type,code/design_debt
mask valu testtyp todo remov either match contain mutual exckus,code/design_debt
todo ought filechoos,code/design_debt
allow jmeter render frame relat imag must done setcontenttyp,code/design_debt
todo use apart test code,code/design_debt
todo cleardata,code/design_debt
provid descript timer class todo ever use cant rememb remov isnt todo obtain text bean displaynam shortdescript return descript timer class,code/design_debt
provid dummi implement suppress download display relat resourc frame imag todo creat better dummi display todo suppress link somehow,code/design_debt
todo jtlsaver seem call monitorhealthvisualz,code/design_debt
todo make run indic class instead jbutton,code/design_debt
child transactioncontrol throughputcontrol tpc sampl children todo warn level,code/design_debt
nonnls1 agre todo perhap share code time function nonnls1 nonnls2 nonnls1 nonnls2,code/design_debt
hack allow autom test find test end transient boolean testend fals,code/design_debt
todo could done earlier,code/design_debt
hack resolv modulecontrol non gui mode,code/design_debt
add system properti sampler check see jmeter run nongui mode nonnls1 todo creat new instanc,code/design_debt
run beanshel script startup nonnls1,code/design_debt
littl hack add listen start list ensur thread run show first listen modifi certain valu listen call,code/design_debt
todo move compon reason core use guinea pig coupl test,code/design_debt
todo bit code need tidi unfortun modulecontrol compon core bug 47165,code/design_debt
todo class look lot like argumentspanel exact differ could combin note seem class actual use,code/design_debt
todo appear use,code/design_debt
ensur sampl variabl correct initialis run todo best way done elsewher,code/design_debt
add fix deadlock see see httpsissuesapacheorgbugzillashowbugcgiid48350,code/design_debt
hack allow extern control,code/design_debt
todo use space,code/design_debt
todo also clear isdynam rawparamet permanentresult,code/design_debt
todo level debug,code/design_debt
todo level debug,code/design_debt
effect savertoxmlobject writer except get provid datahold dont know method xstream class,code/design_debt
todo fix nimbus laf,code/design_debt
fixm searchtf get focus correct setvisiblefals,code/design_debt
todo appear use,code/design_debt
menubar relat method todo realli need menubar method duplic perhap make menu bar access guipackag,code/design_debt
hack get full modifi valu,code/design_debt
todo method doesnt appear use,code/design_debt
todo use space,code/design_debt
todo consid remov method provid method wrapper instead would allow gui packag addit clearup requir done cleartestplan,code/design_debt
mayb noth,code/design_debt
notus privat void initbuttonmap,code/design_debt
todo believ follow code end method obsolet sinc namepanel longer seem gui compon,code/design_debt
avoid error ant task test good way,code/design_debt
appear use call mainframeseteditaddmenu call,code/design_debt
aggreg sampl result use statist remot batch mode sampl aggreg key defin getkey todo merg error count parent class,code/design_debt
todo error thrown back rmi,code/design_debt
jmetertreenod testbeangui special gui class arent intend ad menus todo find better way check,code/design_debt
use,code/design_debt
use,code/design_debt
use,code/design_debt
use,code/design_debt
todo perhap save item header,code/design_debt
todo class implement samplelisten,code/design_debt
set readresolv set servercli valu appropri todo would nice make final 100 sure volatil need chang creation,code/design_debt
sampl aggreg thread name thread group default,code/design_debt
make easier enter tab use tab awkward,code/design_debt
use,code/design_debt
todo turn method,code/design_debt
appear use yet,code/design_debt
guardedbysamplestor todo perhap use concurrenthashmap,code/design_debt
sampl aggreg thread name thread group default,code/design_debt
todo clazz probabl alway testclass,code/design_debt
todo restor,code/design_debt
todo provid proper name,code/design_debt
todo matter empti line termin loop csv output file never contain empti line probabl need check whether reader eof,code/design_debt
todo convert work like upgradepropertiesnameupdaterjava special process carri header class string properti testelementnam convert headernam exampl elementprop nameuserag elementtypeorgapachejmeterprotocolhttpcontrolhead stringprop nameheadervaluemozilla2f4028compatible3bmsie553bwindows9829stringprop stringprop nametestelementnameuseragentstringprop elementprop becom elementprop nameuserag elementtypeorgapachejmeterprotocolhttpcontrolhead stringprop nameheadervaluemozilla2f4028compatible3bmsie553bwindows9829stringprop stringprop nameheadernameuseragentstringprop elementprop,code/design_debt
must set readingwrit xml rather hack save chang method call includ extra variabl afaik variabl access one thread need synchron,code/design_debt
todo restor,code/design_debt
todo use make privat,code/design_debt
todo appear duplic threadnam field sampleresult,code/design_debt
yuck tiffimageencod use error report runtim problem,code/design_debt
check case,code/design_debt
todo right thing,code/design_debt
use,code/design_debt
resultssetresponsecod todo code set,code/design_debt
todo implement supportscustomeditor,code/design_debt
check case,code/design_debt
use testresult element generat resultcollector class,code/design_debt
check string valid jmeter express current implement basic accept string contain valid express todo improv keep return true,code/design_debt
todo use remov,code/design_debt
guess happen result bad file read case would better replac incorrect valu anyth valid default valu properti time prefer awar problem occur like program error ill bail note cant bail newli creat element blank valu must get default also load previous version jmeter test script valu may right get default valu todo review possibl chang,code/design_debt
todo work yet need determin sampl type,code/design_debt
program error bail,code/design_debt
temporari fix allow default protocol chang,code/design_debt
todo consid use privat log deriv class,code/design_debt
appear use yet,code/design_debt
rememb chang class chang,code/design_debt
todo temporari hack avoid unnecessari bug report subclass,code/design_debt
todo yet anoth ambigu name need chang see also clearabl jmeterguicompon,code/design_debt
todo silent except intend,code/design_debt
rememb chang class chang,code/design_debt
follow variabl set standardjmeterengin done start call valu publish thread safe todo consid pass constructor made final avoid ad lot paramet perhap paramet wrapper object,code/design_debt
todo set thread name subsampl might effici fetch name elseweher,code/design_debt
set samplingstart contol initialis allow access run valu function variabl howev seem help listen,code/design_debt
todo remov useless entri paramet,code/design_debt
todo fix real implement,code/design_debt
todo clear relev entri possibl,code/design_debt
sure alway null constructor,code/design_debt
todo use super class valu,code/design_debt
todo appear call direct,code/design_debt
custom trustmanag ignor certif error todo implement condit check log deriv authsslx509trustmanag httpclient contrib directori,code/design_debt
map contain page form encod todo realli need share proxi instanc,code/design_debt
note sourc line argument nonsens call way make argument sensibl,code/design_debt
except wrap javascriptexcept,code/design_debt
todo empti block,code/design_debt
todo perhap fatal error,code/design_debt
clone produc correct type todo need clone list,code/design_debt
todo call userparameterxmlparsergetxmlparamet deprec class,code/design_debt
todo probabl need,code/design_debt
todo move jorphanutil,code/design_debt
todo need synch probabl chang thread start jmeter home directori exclud trail separ jmeter bin directori exclud trail separ,code/design_debt
hack bsh20b5jar bshscriptengin implement compil throw javalangerror unimpl,code/design_debt
todo clear relev entri possibl,code/design_debt
todo,code/design_debt
todo equal hashcod depend field count,code/design_debt
todo sync realli need,code/design_debt
todo correct,code/design_debt
todo cpercent cmedian pass distributionlin,code/design_debt
todo equal hashcod depend field count,code/design_debt
todo method need public isnt current call outsid class,code/design_debt
todo method signatur method chang match superimplement use testel paramet instead abstractlistenerel would requir instanceof check ad listen would also make behavior bit obvious subclass java rule deal situat arent alway intuit subclass may think call version method realli call superclass version instead,code/design_debt
todo method synchron function execut,code/design_debt
todo engin static,code/design_debt
common ioutil equival method ad includ todo perhap deprec favour common,code/design_debt
todo getmin,code/design_debt
fix bug arg1arg2 caus pars error howev defin arg1arg2 seem parser skip termin long option short option,code/design_debt
todo improv error handl,code/design_debt
todo improv error handl,code/design_debt
add logtarget root logger fixm what clean way add logtarget afterward param logtarget logtarget array,code/design_debt
hack reduc need load everi class nongui mode need function todo perhap use bcel scan class file instead class name contain string class name contain string,code/design_debt
todo exact order requir test chang comparison set compar necessari,code/design_debt
todo field alway true,code/design_debt
todo improv check,code/design_debt
todo could return,code/design_debt
todo field alway true,code/design_debt
wrong,code/design_debt
rememb chang class chang,code/design_debt
todo failur,code/design_debt
wrapper convert junit4 class testcas todo work convert junit4 assert treat failur rather error,code/design_debt
method broken anyway,code/design_debt
todo realli return specif longest match,code/design_debt
todo done embed usag note element configtestel use standalon cannot use ftpsampler access method,code/design_debt
todo replac url2 mess proper method areequivalenturl1 url2 would also ignor case protocol host name etc use method cookiemanag,code/design_debt
todo possibl,code/design_debt
holder store cach detail perhap add origin respons later,code/design_debt
todo use gui,code/design_debt
current use,code/design_debt
todo correct url,code/design_debt
note handl simpl doublequot could formal accur cant imagin session contain either whole set express quick hack anyway care,code/design_debt
todo fix real implement,code/design_debt
todo improv string version better match browser behaviour browser regard httphost httphost80 would better reflect string,code/design_debt
code also allow sure perhap test code use,code/design_debt
hack skip process,code/design_debt
todo find way avoid cost creat string probabl new patternmatcherinput work byte would better,code/design_debt
todo setbaseforscript call rather,code/design_debt
java 16022 longer allow contentlength set dont check see httpbugssuncombugdatabaseviewbugdobugid6996110 todo point check header,code/design_debt
sampleev pass jmetervari dont make sens proxi record todo correct threadgroup name,code/design_debt
todo need clean,code/design_debt
nonnls1 todo variabl,code/design_debt
hack skip process,code/design_debt
todo replac repeat substr effici method,code/design_debt
todo perhap make specif point pars anyth els gif,code/design_debt
wont work writeerrortoclienthttpreplyhdrforminternalerror generat result nec popul hack skip process,code/design_debt
todo done client creat detail need ad part httpclientkey,code/design_debt
hack,code/design_debt
may replac later,code/design_debt
todo hack remov later,code/design_debt
could drop sync,code/design_debt
todo lfon eol allow,code/design_debt
dircontext todo perhap return,code/design_debt
nonnls1 todo chang use url version affect test plan,code/design_debt
todo specifi collect type without break caller,code/design_debt
todo eever happen,code/design_debt
form paramet alway textplain mime type todo make paramet,code/design_debt
nonnls1 todo obtain file somehow,code/design_debt
appear use,code/design_debt
notus guipackag guipack,code/design_debt
allow serializ test work todo serializ test necessari jmetertreenod longer gui compon,code/design_debt
todo null correct,code/design_debt
todo handl thread stop,code/design_debt
slight hack need ensur testclass reset previous call,code/design_debt
todo call basedir null,code/design_debt
may replac later,code/design_debt
todo could convert generic class,code/design_debt
todo appear use,code/design_debt
todo use,code/design_debt
todo make static,code/design_debt
hack allow entir url provid host field,code/design_debt
todo assertequalscontentencod sgetcontentencod check argument one argument valu equal post bodi,code/design_debt
todo downcas upper case nonfin variabl,code/design_debt
todo belong elsewher,code/design_debt
todo happen,code/design_debt
todo need current done sampl complet jmeterthread catch toplevel sampl,code/design_debt
todo bit fragil,code/design_debt
todo correct first file cant write header simplic alway save even one file,code/design_debt
rememb chang class chang,code/design_debt
todo return someth els,code/design_debt
dont allow overrid contentlength help soapsampl hack todo header allow,code/design_debt
nonnls1 todo variabl,code/design_debt
todo correct default,code/design_debt
may replac later,code/design_debt
todo need add charset file content nonnls1,code/design_debt
todo merg put post method far possibl post check multipart formfil invok senddatahttpentityenclosingrequestbas,code/design_debt
get content length tell much data read todo mayb support chunk encod cannot reli content length,code/design_debt
todo correct default,code/design_debt
todo correct default,code/design_debt
todo allow mimetyp,code/design_debt
todo field public dont appear use extern also differ httpconstantsget etc case seem use method name tomcat log howev rmethod field use valu httpsamplerbasemethod httpconstant approri,code/design_debt
notus orgapachejmetermonitormodelstatus todo charset,code/design_debt
rememb chang class chang,code/design_debt
todo find retriev script present script use sampleresult method set nonnls1 nonnls1,code/design_debt
todo process warn set code messag success,code/design_debt
todo encod configur nonnls1,code/design_debt
nonnls1 todo probabl wrong,code/design_debt
todo method refer realli use,code/design_debt
todo method refer realli use,code/design_debt
mayb consid creat global cach random file make jmeter effici,code/design_debt
mayb consid creat global cach random file make jmeter effici,code/design_debt
jmetertreenod testbeangui special gui class arent intend ad menus todo find better way check,code/design_debt
menubar relat method todo realli need menubar method duplic perhap make menu bar access guipackag,code/design_debt
use javanamingsecurityprincipalcredenti creat queueconnect,code/design_debt
todo set differ status enough messag found,code/design_debt
todo fix real implement,code/design_debt
allow serializ test work todo serializ test necessari jmetertreenod longer gui compon,code/design_debt
fixm broken code,code/design_debt
notus privat string chosenfil,code/design_debt
find bean check resourc properti file check nondefault properti file dont extra key check necessari properti defin least default properti file except bean whose name contain experiment alpha todo check properti file dont duplic key import,code/design_debt
could perhap variabl name,code/design_debt
resultssetresponsecod todo code set,code/design_debt
add separ,code/design_debt
todo skip process,code/design_debt
todo add real test split remov,code/design_debt
use transient protect threadgroup threadgroup null anyway suppos class javalang jmeterthread,code/design_debt
other could privat,code/design_debt
todo ever happen,code/design_debt
todo fetch list languag file chang languag list need reflect resourcespackagetestjava,code/design_debt
todo move util class jmeterutil,code/design_debt
todo need implement kind connect pool connect share thread share connect destin crossthread share,code/design_debt
todo ought filechoos,code/design_debt
set content type todo need string multipartcontenttyp multipartgetcontenttypegetvalu postsetheaderheadercontenttyp multipartcontenttyp,code/design_debt
todo assum redirect respons alway immedi follow origin respons may alway true better way,code/design_debt
todo best way httpsissuesapacheorgbugzillashowbugcgiid55634,code/design_debt
keep unexpand path todo allow directori end jar remov check,code/design_debt
todo work current situat hack get editor report whether want grow bigger whether properti label left top editor,code/design_debt
hack save packag transact control,code/design_debt
mani class assign todo must nicer way,code/design_debt
testbean hidden,code/design_debt
todo lower case use default local,code/design_debt
hack make userdefin variabl testplan element dynam,code/design_debt
hack forc control load tree,code/design_debt
might use also make avail request tab post json,code/design_debt
header save data nonnls1,code/design_debt
header save data nonnls1,code/design_debt
show larg string cost avoid respons data larger 200000 todo instead could delay resultsettext call user choos respons data tab plus could warn user happen revert choic doesnt confirm hes readi wait,code/design_debt
need implement visual testbeangui find correct gui class,code/design_debt
todo string resourc,code/design_debt
resultseterrortru todo correct strategi throw except allow assert pass,code/design_debt
call guiinstancecleartestplan reason clear everyth,code/design_debt
use,code/design_debt
todo move jorphanutil,code/design_debt
notus yet privat jtextfield filenam,code/design_debt
mayb move vector problem occur,code/design_debt
todo call super,code/design_debt
todo document reason,documentation_debt
todo cant see anyth spec,documentation_debt
todo cant see anyth spec,documentation_debt
todo somehow show progress,requirement_debt
todo support multipl signer,requirement_debt
todo fetch per var,requirement_debt
todo add delet current support nonnls1,requirement_debt
fix path allow use unc url,requirement_debt
todo use setdon todo use setfirst,requirement_debt
set overal status transact sampl todo improv ad count sampleresult class,requirement_debt
exit end test appli server host nonnul,requirement_debt
reach report boundari need allow margin error otherwis miss slot also need check weve hit window alreadi,requirement_debt
todo save hostnam save sampl type plain http,requirement_debt
allow mimetyp file control content type obvious gui upload file send content nameless paramet todo need multipl file upload scenerio,requirement_debt
remind convert arg list vector,requirement_debt
chunk transfer encod realli support yet read without block know stop read cannot block todo properi implement support chunk transfer know read whole request therefor allow read block,requirement_debt
allow mimetyp file control content type obvious gui upload file send content nameless paramet todo need multipl file upload scenerio,requirement_debt
allow mimetyp file control content type obvious gui upload file send content nameless paramet todo need multipl file upload scenerio,requirement_debt
allow mimetyp file control content type obvious gui upload file send content nameless paramet todo need multipl file upload scenerio,requirement_debt
todo handl filenam,requirement_debt
yet handl,requirement_debt
todo check error log,requirement_debt
dont allow overrid contentlength todo header allow,requirement_debt
todo perhap note connect disconnect end test,requirement_debt
todo enabl proper test,test_debt
todo make separ test,test_debt
todo need lot test,test_debt
todo need lot test,test_debt
todo add test savegraph,test_debt
todo improv test nonnls1 nonnls2 miss variabl name,test_debt
todo add test reportsavegraph,test_debt
todo done even full test plan load fail,test_debt
todo assert separ test,test_debt
todo need test,test_debt
todo invalid sequenc test need,test_debt
todo add test check name clash long option abbrevi match shortest uniqu abbrevi,test_debt
todo mvw done gef,code/design_debt
todo temporari crutch use fig updat use constructor accept diagramset object,code/design_debt
todo cyclic depend selectionrerouteedg figedgemodelel,code/design_debt
todo need rethrow except type much chang moment,code/design_debt
todo probabl worthwhil abstract factor chooser directori stuff file handl come sure,code/design_debt
todo complet implement tfm,code/design_debt
todo vari base type tagdefinit,code/design_debt
setfontfamilydialog todo need,code/design_debt
todo move toolbar project,code/design_debt
todo temporari method make sure model updat loss focus combo box long term attempt updat model keypress see javaawteventfocuslistenerfocuslostjavaawteventfocusev,code/design_debt
method base graphev need replac specic meaning request diagram interfac model,code/design_debt
todo super constrcutor take graphmodel,code/design_debt
workaround miss abil pars,code/design_debt
todo need tidi stabl releas graph model creat constructor,code/design_debt
wrong call null handl workaround return empti collect,code/design_debt
todo navig direct tfm,code/design_debt
todo doesnt look right review tfm,code/design_debt
return statemachin todo method call fig introduc depend cycl would much better could use link orgargoumlumldiagramargodiagramgetown thing,code/design_debt
todo need clean objecttoid base modelel delet notif,code/design_debt
constructor todo method handl set keydefaultshadowwidth miss,code/design_debt
todo perform critic method,code/design_debt
todo need work must determin fig enclos pool within bound fig translat,code/design_debt
todo optim root model case tfm,code/design_debt
todo realli need carri old behavior,code/design_debt
todo elementownership modelsubsi,code/design_debt
todo seem like brute forc workaround indirect one appear need though fix problem proper tfm 20070904,code/design_debt
todo realli need,code/design_debt
todo uml spec requir client supplier model tfm,code/design_debt
todo unus,code/design_debt
may actual make differ present code behind addtrigg need work,code/design_debt
todo temporari let tree expand implicit tfm,code/design_debt
todo split inherit attr critic local attr critic,code/design_debt
todo throw string good,code/design_debt
may actual make differ present code behind addtrigg need work,code/design_debt
todo handl multipl top level packag,code/design_debt
wizard adjust threshold critic todo make treshold set adjust without use wizard make persist mayb use configur button brows critic dialog see orgargoumlumlcognitivecriticsabstractcrtoomani author mkl,code/design_debt
todo better wrap profileexcept throw,code/design_debt
creat bandbuff small slice imag todo use fix height buffer could smarter comput height would fit memori budget allow use taller buffer narrow imag minim overhead multipl render pass,code/design_debt
todo support iter declar,code/design_debt
return return default stereotyp view todo enumer,code/design_debt
todo figassociationclass,code/design_debt
todo shouldnt depend current project make sure defin undo manag,code/design_debt
remov diagram exist todo move gef,code/design_debt
todo need manag undo perproject basi instead use gef global undo manag,code/design_debt
todo defin constant magic number,code/design_debt
class give critic access part uml model design defin gen function return children given part uml model basic goe project model modelel argo critic agenc use appli critic appropri todo think know composit associ uml metamodel incomplet updat uml done use inform metamodel rather hardwir code tfm 20070205 see orgargoumlcognitiveag see orgargoumlcognitivedesign author jrobbin,code/design_debt
todo defin constant magic number,code/design_debt
todo consid inherit associ todo self loop doubl count,code/design_debt
todo multipl associ pair element need special case dont overlap tfm 20060228,code/design_debt
get current threshold todo protect return current threshold,code/design_debt
todo cyclic depend class figconcurrentregion,code/design_debt
todo move mmutil common place merg umlcomboboxentryfindnamespac,code/design_debt
need work send receiv icon,code/design_debt
object tag owner figedgenot knowledg sourc destin figedgenot sourc destin modelel least one comment may comment todo there ton special case code scatter around argouml one class sinc owner figedgemodelel uml element find way general thisp todo issu 3031 requir class replac similar mechan nari associ class node edg shall owner uml comment object sinc jul 2004 author jaapbranderhorstxs4allnl,code/design_debt
todo offend need strong type tfm 20070630,code/design_debt
express implement one combobox select todo euml modul project,code/design_debt
