,text,label,document_index
56,not enough data much stop all values must positive,ALGORITHM,56
57,this happen,DEFECT,57
58,create trend season missing data tsvar if data formula,DESIGN,58
59,tsvar if data formula nonseasonal data season requested,DESIGN,59
61,check regressors included newdata not working removed,DEFECT,61
62,todo,CODE,62
63,what x,CODE,63
65,probably redundant check,CODE,65
66,use aic npar aicc wo nt work tiny samples,CODE,66
67,not sure ever happen,DEFECT,67
69,future currently implemented,REQUIREMENTS,69
70,this probably grossly inefficient i ca nt think better way right,ARCHITECTURE,70
71,calculate accuracy sd accross folds include,CODE,71
73,forecasts transformed manually boxcox match forecasts lambda passed argument,DEFECT,73
74,forecasts transformed manually boxcox match forecasts lambda passed argument,DEFECT,74
75,tests run travis parallel expectoutput print tbats woolyrnq numcores regexp tbats expectoutput print tbats elecsales numcores usetrend false regexp bats,TEST,75
76,originally x sort leaf always left x nt want assume leaf left,CODE,76
77,add graph attributes directed are officially supported,CODE,77
78,adhoc use freedmandiaconis binwidth rescale time accordingly,DESIGN,78
80,todo print tree,REQUIREMENTS,80
82,this tedious graph big always n1 internal nodes restrict say level default,ARCHITECTURE,82
83,todo make faster nt need whole matrix usually,ARCHITECTURE,83
84,nop,CODE,84
85,todo rewrite c make faster,ARCHITECTURE,85
86,c drops names zero length vectors why,DEFECT,86
87,todo better generic mechanism modifiers,CODE,87
89,todo speed,ARCHITECTURE,89
90,todo speed,ARCHITECTURE,90
92,we might need rename attributes,CODE,92
93,ca nt onload,CODE,93
94,old values,CODE,94
96,different kinds arrows drawn separately arrows handle vector code argument,CODE,96
97,could also parameters arrow width arrow length,CODE,97
98,new style parameters ca nt yet,CODE,98
99,todo checkscalarstring shape checkfunction clip checkfunction plot checklist parameters namedtrue,DEFECT,99
100,plot anything,DEFECT,100
101,need create separate image every different vertex color,REQUIREMENTS,101
102,todo getoption maxprint,CODE,102
104,so many items print,REQUIREMENTS,104
105,todo list adding edges graph exporting graphics scroll bar graph list area impossible right list window title error dialog keyboard shortcuts implement min max tkigraphdialog,REQUIREMENTS,105
106,bug currect igraph version workaround,DEFECT,106
107,todo,CODE,107
108,newest implementation hopefully correct c implementation nt need,CODE,108
109,ignored anyway,CODE,109
111,grid canvas object implemented tcltk,BUILD,111
112,would need update,CODE,112
113,todo different types objects selected,REQUIREMENTS,113
114,we nt need stored environment,CODE,114
115,drop alpha channel tcltk nt support,BUILD,115
116,for future right warn even message,CODE,116
117,todo,CODE,117
120,todo weighted closeness,DESIGN,120
123,todo special functions,TEST,123
124,todo checks cliques,TEST,124
126,todo check minimal,TEST,126
127,us scan0 unweighted directed todo,TEST,127
128,us scan2 unweighted directed todo,TEST,128
132,todo consider setting verbose false,CODE,132
133,todo using authtoken provided argument s passed along,CODE,133
134,todo honor default branch,CODE,134
135,creates backdoor exploit tests,ARCHITECTURE,135
136,errors token nt check,DEFECT,136
138,todo rework ui functions make possible better,CODE,138
139,todo make attractive,CODE,139
140,ca nt label level ie oldlabelname newlabelname fails newlabelname already exists https githubcomrlibusethisissues551 must first patch issues sort labels,DEFECT,140
141,todo honor defaultbranch,VERSIONING,141
142,todo used usable gitsitrep currently uses oneoff code checking token,VERSIONING,142
143,assumptions issue number called issuenumber make sure tweak endpoint necessary full check github remote config done userfacing caller here determine repospec naive local way the remote config check also expose lack pat,VERSIONING,143
144,todo suggest git rm r cache docs ca nt currently detect git known files directory,VERSIONING,144
145,todo honor default branch,VERSIONING,145
146,todo turn interactive choice if uncommitted changes i think branch switch always fail otoh s harm letting happen ie risk something partially,DEFECT,146
147,todo honor default branch,VERSIONING,147
148,todo honor default branch,VERSIONING,148
149,todo honor default branch,VERSIONING,149
150,have done check ve cached prurl git config,VERSIONING,150
151,todo honor default branch,VERSIONING,151
152,todo honor default branch,VERSIONING,152
153,todo checking re master default branch,VERSIONING,153
154,todo address home directory help clarify fs issues windows homeusethis fs pathhome homer normalizepath,ARCHITECTURE,154
155,approaches based availablepackages andor installedpackages present several edge cases requirements gotchas application hardwiring seems good enough,BUILD,155
156,todo uiinform,CODE,156
157,todo jennybc correct case selection cancelling,CODE,157
158,the following block used usethis automatically manage roxygen namespace tags modify care usethis namespace start,BUILD,158
159,todo present useful overview situation,DOCUMENTATION,159
160,todo properly pluralize commit i switch cli,VERSIONING,160
161,todo consider offering push,VERSIONING,161
162,assuming s origin upstream,VERSIONING,162
163,todo say whether user push parent upstream,VERSIONING,163
164,work,CODE,164
165,cleanup,CODE,165
166,delete private test repo github browser wish todo nice add gh code,TEST,166
167,repo chosen first one listed cran gh user day i made ie s totally arbitrary,TEST,167
168,make sure local copy exist error nt preexist,DEFECT,168
169,work,CODE,169
170,work,CODE,170
172,if session temp directory appears within project large scale spurious test failures the ide sometimes leaves rproj files behind session temp directory one parents delete files manually,TEST,172
173,cran s mac builder sets home readonly ram disk tests fail even tickle something might try lock s config file operation eg git simply test writeability,TEST,173
174,testing editxxx user travis appveyor i nt want risk creating userlevel files de novo actual user would obligate nervewracking clean,TEST,174
175,run manually already files happy delete,TEST,175
176,run manually already files happy delete,TEST,176
177,run manually already files happy delete,TEST,177
178,ever depend recommended package could beef test bit,TEST,178
179,test started fail usethis imported lifecycle currently gert branch nt seem worth digging skip good enough,DEFECT,179
180,github remote configuration sparse start somewhere,VERSIONING,180
181,we ve already encountered wild here s happens rpkgsgh created user forks clones origin usergh upstream rpkgsgh parent repo becomes rlibgh due transfer ownership owner name change now upstream looks like point fork parent,DEFECT,181
182,hand vs via withr windows appears unwilling delete current working directory,DEFECT,182
183,empty values temperature file cause errors excuting if calculate max window,DEFECT,183
187,hack remove warning message cuz nt listen suppress messages,CODE,187
188,narm true remove warnings na cf statcount xwidth control size tiles,CODE,188
189,the following block used usethis automatically manage roxygen namespace tags modify care usethis namespace start,DOCUMENTATION,189
190,could theoretically work like mtc mtcars mtc asfactor mtc mtc cyl asfactor mtc cyl ggfacet mtc columnsy c columnsx c cyl fn function data mapping ggplot data mapping geomboxplot,CODE,190
191,copied old code want replace something like,CODE,191
194,fix missing min10 box goes true min,DEFECT,194
195,user interested ordering variation one class rest add later,CODE,195
196,unresolved bug character vector to explored,DEFECT,196
197,this file takes long,ARCHITECTURE,197
200,could nt get correct error message variables colour non standard format totalbill tip expecterror ggpairs tips mapping ggplot2 aes color totalbill tip variables colour non standard format nolint expecterror ggduo tips mapping ggplot2 aes color totalbill tip variables colour non standard format nolint,DEFECT,200
202,might confusing gridx grid lines xaxis vertical,USABILITY,202
203,trick coordinates,CODE,203
205,types always work,DEFECT,205
206,need automatic check change default,TEST,206
207,raster shape reprojected,ALGORITHM,207
209,todo convert fact tolerance,CODE,209
210,trick also used v12 prevent clipping frame border,CODE,210
211,shortcut used tmapsave,CODE,211
212,tidy eg removenafacets function g type aes xs g xs lapply g xs function gi gi ef drop false lname sapply aes function paste legendlabels sep oname unlist lapply aes function paste c legendlabels legendvalues hname paste aes legendhistmisc sep vname unlist lapply aes function paste c legendshow legendtitle fname paste type nonemptyfacets sep g lname lapply g lname function gi truncatelabels gi ef g oname lapply g oname function gi truncateother gi ef g hname local gi g hname gi values truncateother gi values ef gi breaks truncateother gi breaks ef gi g vname lapply g vname function gi gi ef g fname g fname ef g xs lapply g xs function gi truncatevec gi ef gfill removenafacets gfill fill fill xfill glines removenafacets glines line c linecol linelwd c xline xlinelwd gsymbol removenafacets gsymbol symbol c symbolcol symbolsize symbolshape c xcol xsize xshape,CODE,212
214,layer control include base layers true basemaps namesgroups specified,ALGORITHM,214
216,possible check provider options since leaflet providers exported,BUILD,216
217,checking make sure qc labels unique qcinx toupper substr smplnms qc old code delete,CODE,217
219,subset argument rlm work correctly number levels diminished result get singular matrix solution take unused levels fitdf object,DEFECT,219
220,https cranrprojectorgwebpackagessoftimputevignettessoftimputehtml an n matrix nas todo tune parameters rankmax lambda,CODE,220
222,ok,CODE,222
223,yuliya use pres matrix deal anyways need narrow peptides,ALGORITHM,223
224,need done,CODE,224
225,take observed values may needed r works,CODE,225
226,use try entirely sure need modt need solve lm,CODE,226
227,rownames rv normalized row names assumed unique peptide ids unique,CODE,227
228,need wrapper diag min n,CODE,228
229,yuliya sept i get around without using h,CODE,229
232,tom,PEOPLE,232
233,need diag,CODE,233
234,yuliya check pvalues tom mean value,PEOPLE,234
235,psv ii mean dstat0 ii dstat ii compared mean should dstat0 ii,CODE,235
236,else shall allow at least objects class linkglm,ALGORITHM,236
237,update case norm filtered,CODE,237
238,error model converged,DEFECT,238
239,nt seem need asvector,CODE,239
242,todo make sense train matrices2dtables eg z,CODE,242
243,todo provide better way clean highlevel attrs,CODE,243
244,map special plotly arguments plotlyjs trace attributes note symbollinetype modify mode applied first todo use legends create legends discrete mappings https githubcomplotlyplotlyjsissues1668,CODE,244
245,annotations shapes must array objects todo add anything else,CODE,245
246,fix warning removed new version,BUILD,246
247,check need filtered reference metabolome todo address following filtering smpdb needed,ARCHITECTURE,247
249,got error incorrect number dimensions added dropfalse avoid vector conversion,DEFECT,249
251,need update cls labels,CODE,251
252,need update cls labels,CODE,252
254,removed setcurrentdata never used,CODE,254
255,map enids kegg orthologs todo run function specific species,CODE,255
256,todo refactor following part code better readability,CODE,256
257,todo map based specific selection species,REQUIREMENTS,257
260,todo change inf specific value based type uploaded scores,CODE,260
261,todo check need compound filtering eg dokeggcmpdfiltering,CODE,261
262,todo fix code handle case length currentcmpdset length currentgeneset then start loop currentcmpdset,DEFECT,262
264,todo avoid attach hmdb matched ids list compound nodes,CODE,264
266,left old fix error later,DEFECT,266
267,this could be place to add noise filter to make speed faster,ARCHITECTURE,267
268,corner case error options,DEFECT,268
269,corner case error measurements identical,DEFECT,269
271,error,DEFECT,271
272,and,CODE,272
274,remove features missing x samples per group valid group comparisons,DEFECT,274
276,workaround localmax fails otherwise,CODE,276
281,for nt allow nas x,CODE,281
282,restrict ms data,ALGORITHM,282
283,calculate error,REQUIREMENTS,283
284,sort im fix bug high ppm mzabs values todo find better solution give feedback user,DEFECT,284
285,todo change generell ajc interface,CODE,285
287,spectrum annotated isotope peaks without monoisotopic peak give error warning,USABILITY,287
288,intrinsic charge todo not working moment,DEFECT,288
289,bhan color choosen makes error,DEFECT,289
290,bhan color choosen blackwhite makes error names uniqcols legendnm,DEFECT,290
291,get coef table error class unbalanced,DEFECT,291
292,bhan color choosen blackwhite makes error names uniqcols legendnm,DEFECT,292
293,na gives error w hclust,DEFECT,293
295,names may long,CODE,295
296,names may long,CODE,296
298,names long,CODE,298
299,permute factor faster permute data matrix,ARCHITECTURE,299
300,aalen s additive regression model originally tried call coxph certain options but found passing model method nt work optional things like weights so first portion essentially coxph set coxphdetail for distribution variance test omitted not aspects yet supported downstream printing,DEFECT,300
302,frailties nt work due mutability,DEFECT,302
303,avoid error message qgamma,CODE,303
304,special trickery matched casecontrol data number strata huge n per strata small compute time becomes excessive make data one strata disjoint time intervals,CODE,304
306,cargs trick nice one copies arguments present if ranks specified default false set we keep arg list match documentation,REQUIREMENTS,306
308,a special case null model trick c code requires least one variable creating one iterations beta0,CODE,308
309,interger data just case,CODE,309
310,rval residuals resid good enough code expects order components coxph object never change residuals right means,ARCHITECTURE,310
311,avoid grabbing accident due partial matching x fit x get fit xlevels good,CODE,311
312,confusion fit strata,CODE,312
314,verbose return messages useful debugging,CODE,314
315,depricated use ratetable function,CODE,315
316,this already checked pyears survexp,CODE,316
318,adding front trick check term,CODE,318
320,per subject strata needed,ALGORITHM,320
321,tedious build coef matrix term time,CODE,321
323,case length,CODE,323
324,toss useless,CODE,324
325,why ca nt i fudge object call quantilesurvfit because code uses subscripted objects class chimeric object nt work operation but importantly i nt know quantile would defined,DESIGN,325
326,case cmap columns i nt need i nt think happen,ALGORITHM,326
327,i think impossible debugging line,ALGORITHM,327
329,why temp1 instead pmax temp1 line when temp1 zeros first expression gives vector shorter temp1 ifelse nt work right due mismatched lengths,CODE,329
330,compute number risk if stime ptime310 temp1 nrisk looking ahead approx nt work stime length,DEFECT,330
331,the cbindrbind methods cause trouble solve,CODE,331
332,this common code survpenalfit coxpenalfit it s bookkeeping set penalized callbacks this code development yet used anything false keeps distribution,BUILD,332
333,next line debug code survcheck2 visible users survival call directly,DESIGN,333
335,automatically generated noweb directory replaced concordancer code frozen eventually deprecated,CODE,335
336,save copy call documentation deprecated concordance,DOCUMENTATION,336
337,old style argument,CODE,337
339,throw away status s never used,CODE,339
340,if model interactions print long warning message people may hate i nt see another way stamp bad curves without backwardsincompatability i probably complain factors never strata cluster term,USABILITY,340
342,ndots length simplest avail r ndots length list fails missing eg fit workaround,DEFECT,342
343,it s hard get next error message malice eg survfit wtsurv time status,CODE,343
344,case someone integer weights,CODE,344
345,soon first issue deprecated coxsurvfit survival,CODE,345
346,will right censored counting the calling routine used strata x factor unused levels but case user called,CODE,346
347,fix scale output,DEFECT,347
348,fix scale output,DEFECT,348
349,otherwise influence pstate nt align ndots length simplest avail r ndots length list fails missing eg fit workaround,DEFECT,349
350,columns strata id,CODE,350
351,aitkin nt work,DEFECT,351
352,lines debugging change true turn printing,CODE,352
353,beware strata covariate interactions needed modelmatrix later,CODE,353
354,the algebra behind glim trick nt work use intercept fit zeros coef order frailty intercept covariates sigmas,ALGORITHM,354
355,case gave list object,DESIGN,355
356,comment next line function uses variance isfunction dlist variance errlist c errlist missing invalid variance function,CODE,356
357,the tcount matrix useful debugging,CODE,357
358,we nt look topt id what user idclinic starting data set also variable named id we want clinic first call,REQUIREMENTS,358
359,fix times,DEFECT,359
361,needed,CODE,361
362,now hand,CODE,362
365,difftimes pita,CODE,365
366,they agree right,CODE,366
367,i nt match answers i think i m right,CODE,367
370,the line tricky took long time realize s necessity the range age1 range age that age2 range females the basis functions pspline based age if i used datalung subset sex2 fit3b earlier form test pspline function called subset occurs fit3b different basis second spline fit3 leading failure allequal tests a theta one basis exactly theta coefficients within,ARCHITECTURE,370
371,old form,CODE,371
372,this next fails with startstop data number risk intermediate endpoints known precisely since underlying routine report time points addition occured,DEFECT,372
373,quite close fitfg2,CODE,373
376,todo can configure documentation yaml,DOCUMENTATION,376
378,todo objects changed,CODE,378
380,todo maybe copy files html rmd,CODE,380
381,work directory ignored,CODE,381
382,tell r cmd check treat bstsoptions global variable avoid false positives long bsts version 07x published todo alhauser remove bsts version 07x published,BUILD,382
383,todo kbrodersen compare summary intervals,CODE,383
384,todo alhauser check content error message assertthat produces meaningful messages r currently error message r says actual error message invalid,TEST,384
386,suppress r cmd check note,BUILD,386
387,trick r cmd check,BUILD,387
388,essential cbindrbind work properly,CODE,388
389,dummies trick r cmd check,BUILD,389
390,todo type specified set type na wait final call ascognostics infer type make sure,CODE,390
392,add name make extra descriptive todo remove visual grouping done,CODE,392
393,character vector facet columns todo need work facettrelliscope disp,CODE,393
394,todo check sort state,CODE,394
396,hacky way check rmarkdown notebook,CODE,396
398,todo check wwwdir tempdir handle warn appropriately based selfcontained etc,CODE,398
400,hacky way get condcols ideally d use groups dplyr peels one group summarise know grouped variables show first iterate combination unique,CODE,400
401,hacky way see tbl sorted summarise none facet variables still sorted another variable user must sorted variable note detect firstorder sorting,CODE,401
402,todo add also correlation filter significance require least nsignif correlations,CODE,402
403,construct example data df ensure samples given order metadata hitchip data fixme removed official phyloseq package fixed retain factor level ordering,DEFECT,403
404,todo add averaging replicates this challenging decide merge metadata to safe side could merged identical replicates will require checks,CODE,404
405,todo add optional renormalization core member abundances would sum,REQUIREMENTS,405
406,todo add support taxonomic levels,REQUIREMENTS,406
407,as far i understand problem running error limit not fault user instead i d argue responsibility package developers make sure unregister registered dlls package unloaded a developer adding following package onunload function libpath librarydynamunload utils packagename libpath,DEFECT,407
408,todo neatmap options xo neat mat method nmds distance euclidean firstrow vdp03231 firstcol paraprevotella,CODE,408
409,rearrange matrix fixme could better done cast,CODE,409
410,todo harmonize completely matrices vs phyloseqs,CODE,410
411,define new sample ordering based ordination quick fix scores function fails otherwise,DEFECT,411
412,fixme capitalize arguments rename groups groups factor factor,CODE,412
413,todo add option calculate pca different distances using distance argument assumes default altered,CODE,413
414,todo add robust pca pcrob princomp stackloss covmat mass covrob stackloss,ARCHITECTURE,414
415,fixme most time log10 used microbial abundances log change consistency,CODE,415
416,fixme bw assumed this may far optimal should determined automatically,CODE,416
417,todo add optional renormalization core member abundances would sum,ALGORITHM,417
419,fix sample metadata original input,DEFECT,419
420,todo make readphyloseq well,CODE,420
421,hacky global switch uses fact blocks parsed one another set markdown onoff block,CODE,421
422,cmark bug reporting source positions multiline code tags count indenting space continuation lines however bug might get fixed later simply error multiline inline code,DEFECT,422
423,fixme check empty exports ie name,BUILD,423
424,if nt exist nt document,DOCUMENTATION,424
425,workaround dupes occur perhaps nt cf https githubcomrlibroxygen2commit83d125dce50a072534988787d49ffe206d19b232 commitcomment6742169,CODE,425
426,wrapusage uses u a0 unicode nonbreaking space necessarily valid windows locales usebytes quick hack fix problem,CODE,426
427,need fix link point file,CODE,427
429,update anymore,TEST,429
430,todo include predictfun type,CODE,430
431,todo include predictfun type,CODE,431
433,a bit stupid adding rug special handle categorical feature numeric feauture plot,USABILITY,433
435,extra fix caret renames target data,CODE,435
436,currently used,CODE,436
437,todo implement weight recordings weighttfidf attr weighting chr term frequency inverse document frequency tfidf attr weighting chr term frequency inverse document frequency normalized tfidf weighttf attr weighting chr term frequency tf weightsmart attr weighting chr smart ntc smart eg,REQUIREMENTS,437
438,normalize eol windows old macintosh,CODE,438
439,treat fixed glob character detected,CODE,439
440,todo replace ntoken,CODE,440
441,todo replace ntype,CODE,441
442,clean,CODE,442
443,needs two spaces clean,CODE,443
444,clean clean,CODE,444
445,glob treated fixed neither found,CODE,445
446,internalonly aliases backward compatibility todo removed year april,CODE,446
447,todo consider removing,CODE,447
448,function exported exist violates grammatrical rules quanteda inputs character outputs tokens starts tokens,DESIGN,448
449,necessary currently subset yet implemented dfm objects,CODE,449
450,united states america occurance,CODE,450
451,fails expectequivalent dtmq dfmtm,TEST,451
452,rbinddfm todo test classes returned,DEFECT,452
453,todo add function testing equality dfms,TEST,453
455,wrong,DEFECT,455
456,raises error mincount high,CODE,456
457,fails expectequivalent textstatdist mt method maximum asmatrix asdist stats dist asmatrix mt method maximum,TEST,457
458,fails,TEST,458
460,fails,TEST,460
461,fails,TEST,461
462,stats chisqtest wrong small tables,DEFECT,462
463,proxy dist also incorrectly produces symmetric matrix,DEFECT,463
465,debug https scheme supported internal method methodauto may resolve issue if method autho chosen default on unixlike method libcurl used except internal file scheme on windows wininet method used apart ftps scheme,ARCHITECTURE,465
466,fixedme better expr macos,DEFECT,466
467,fixedme better expr linux,DEFECT,467
468,fix break dependencies,BUILD,468
469,fix break dependencies v c object xmin object xmax object ymin object ymax c3 isinfinite v c3 stop invalid extent infinite value return c1 c2 c3,BUILD,469
470,apparently happen,DEFECT,470
471,assuming values,ALGORITHM,471
472,keep correct ids future versions rgeos intermediate step wo nt necessary,CODE,472
473,old function used,CODE,473
474,backward compatibility issues non fatal mistakes,CODE,474
477,keep canprocessinmemory debugging need test see much igraph deal,TEST,477
478,pixeltype work gdal perhpas arcgis see http listsosgeoorgpipermailgdaldev2006october010416html,ARCHITECTURE,478
479,to do make function block combines data single histogram,CODE,479
480,development,CODE,480
481,allow index vector,CODE,481
483,need better,CODE,483
484,probably probably,CODE,484
485,not used,CODE,485
486,todo warnings thought nsidc work,CODE,486
487,relevant consistency,CODE,487
488,implemented,CODE,488
490,etc,CODE,490
492,tested much,TEST,492
493,barely tested,TEST,493
496,check,TEST,496
498,creates problems large integers perhaps needed causes problems merge uniquecells asinteger uniquecells using round,ARCHITECTURE,498
501,removed,CODE,501
503,could wild guesses avoid problems software sure cure would worse could option,CODE,503
504,hack make sure arcgis assume values integers first values decimal point,CODE,504
506,backward compatibility,CODE,506
507,for follow code need update later create possible wpa values,CODE,507
508,for treat overtime adjust accordingly afterwards overtime plays,CODE,508
509,do not export,DESIGN,509
510,do not export,DESIGN,510
511,do not export,DESIGN,511
512,do not export,DESIGN,512
513,do not export,DESIGN,513
515,for hard coded fix drive patriots vs tb game empty drive list,CODE,515
516,gamepbp scrapehtmlplaybyplay gameid checkurl this added later,CODE,516
517,tackle loss information tricky one,CODE,517
518,solo tackler information tricky one,CODE,518
519,nocov nocov,TEST,519
520,nocov nocov nocov,TEST,520
523,nocov nocov nocov,TEST,523
525,nocov nocov,TEST,525
526,nocov nocov,TEST,526
527,nocov nocov,TEST,527
528,nocov nocov,TEST,528
529,nocov nocov,TEST,529
530,nocov nocov,TEST,530
531,nocov nocov,TEST,531
532,nocov nocov,TEST,532
533,nocov nocov,TEST,533
534,nocov nocov,TEST,534
535,nocov nocov,TEST,535
536,nocov nocov,TEST,536
539,get groups samples bind together grouping information always retained ll recreate full set groups data frames bind,ALGORITHM,539
540,nothing moment,CODE,540
541,nocov,TEST,541
542,nocov,TEST,542
543,nocov nocov,TEST,543
544,nocov,TEST,544
545,get groups samples join together grouping information lost actually groups first data frame join retained ll recreate full set groups data frames join,CODE,545
546,specs containing empty dimensions eg mu mu k produce dimensionnames ca nt use empty variable names replace drop placeholder drop columns later todo probably better way,ARCHITECTURE,546
547,must give blank dimension column unique name otherwise spread wo nt work,CODE,547
548,nocov,TEST,548
550,nocov,TEST,550
552,nocov,TEST,552
553,get test pass brms versions nt output levels anymore,TEST,553
554,runjags progress output i ca nt seem turn hence captureoutput also seems break wrt nchains run global environment nchains set hence evalq garbage,CODE,554
555,codasamples progress output i ca nt seem turn hence captureoutput,CODE,555
556,test model kind dumb jagsui nt seem allow input data i feeling lazy modifying test models runjags rjags work api,TEST,556
557,adjust filename fixme adjust also directory names hb,CODE,557
559,note fields setdiff fields excludefields also remove duplicates,CODE,559
560,not needed anymore,CODE,560
561,nothing todo,CODE,561
564,not needed anymore,CODE,564
565,not needed anymore,CODE,565
566,not needed anymore,CODE,566
567,not needed anymore,CODE,567
568,workaround tools compactpdf paths compresses pdfs paths length paths working temporary directory,CODE,568
569,workaround tools compactpdf paths handle spaces filenames,CODE,569
570,not needed anymore,CODE,570
571,ad hoc it may happen case drive letters differ,CODE,571
572,to please r cmd check object x,BUILD,572
573,not needed anymore,CODE,573
574,if expr ii missing ignore error this happens instance expressions like x fixme is better way hb,ARCHITECTURE,574
575,not needed anymore,CODE,575
577,this actually redundant fileexists test keep make explicit,CODE,577
578,try list directory will take lot time,ARCHITECTURE,578
579,note identifying mapped drives introduces delay should memomized hb,CODE,579
580,ad hoc needed instance xml attached,CODE,580
581,backward compatibility treat empty path specially,CODE,581
583,treat current working directory backward compatibility,CODE,583
584,warning error,CODE,584
585,nothing todo,CODE,585
587,2a workaround fileinfo c gives na use c instead see r problem cf https bugsrprojectorgbugzilla3showbugcgi id15302,CODE,587
588,bug,DEFECT,588
589,not needed anymore,CODE,589
590,should take care case,CODE,590
591,write output temporary file fixme do worry encoding hb,CODE,591
592,workaround r,BUILD,592
593,the working least windows may induce negative where seek nt seem work hb starting positions double order address larger vectors offset seek concon origin start rw read get current file offset offset idxs idxs offset,DEFECT,593
594,not needed anymore,CODE,594
597,should colclasses found using regular expression patterns,CODE,597
598,not needed anymore,CODE,598
600,not needed anymore,CODE,600
601,not needed anymore,CODE,601
602,not needed anymore,CODE,602
605,might slow,ARCHITECTURE,605
606,workaround some web browser wo nt open files mapped windows drives here undo mappings eg x foobarhtml c pathtofoobarhtml,DEFECT,606
607,workaround browseurl foobarhtml work windows calls shellexec foobarhtml works s shellexec foobarhtml,DEFECT,607
608,not needed anymore,CODE,608
609,workaround windows,DEFECT,609
610,nothing todo,CODE,610
611,workaround symbolic file links windows only files zero size candidates symbolic links,CODE,611
612,nothing todo,CODE,612
614,not needed anymore,CODE,614
615,reset previous options example old userepos later userepos old,CODE,615
616,nothing todo,CODE,616
617,nothing todo,CODE,617
618,workaround put standalone else together previous statement this solves problem described r help thread deparse else statement yihui xie http tolstoynewcastleeduaure8help09114204html deparse puts else new line iff ifelse statement enclosed expression eg cat deparse substitute t else sep n gives t else whereas deparse substitute t else gives t else hb,CODE,618
620,workaround sink type message allow sink unopen file,ARCHITECTURE,620
623,not needed anymore,CODE,623
624,patch default parse depending r version env asenvironment package rutils setmethods3 parse default appendvarargs base parse conflict quiet assign parsedefault parsedefault pospos assigninnamespace parsedefault parsedefault pospos,BUILD,624
627,workaround on windows filesymlink translate forward slashes fixed pr r64711,CODE,627
628,odd different results sourcing r cmd check ing test script hb stopifnot bfr res foobaryaa n rutils use rutils n x 2n 3n,TEST,628
629,this script crashes 40s r patched r roo it methods attached it crash r patched r65057 beyond it appears crash r cmd check run via rscript similar hb,DEFECT,629
630,rz this hack realtime adobe realtime api returns true save method jsonlite within httr content function nt like,ARCHITECTURE,630
631,hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,631
632,hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,632
633,hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,633
634,hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,634
635,hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,635
637,hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,637
638,hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,638
640,hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,640
641,hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,641
