project,sha,text,label,indicator,document_index,subset
spark,45864faaf2c9837a2ca48c456d3c2300736aa1ba,"[SPARK-31862][SQL] Remove exception wrapping in AQE
### What changes were proposed in this pull request?
This PR removes the excessive exception wrapping in AQE so that error messages are less verbose and mostly consistent with non-aqe execution. Exceptions from stage materialization are now only wrapped with `SparkException` if there are multiple stage failures. Also, stage cancelling errors will not be included as part the exception thrown, but rather just be error logged.
### Why are the changes needed?
This will make the AQE error reporting more readable and debuggable.
### Does this PR introduce _any_ user-facing change?
No.
### How was this patch tested?
Updated existing tests.
Closes #28668 from maryannxue/spark-31862.",code_debt,low_quality_code,46,train
jmeter,6aebb3bb8a51fa87edb2819f4dcee3d00bfc100e,temporary test code,test_debt,lack_of_tests,47,train
cloudstack,87d4086a64a6ebf387bda03509e0c03dac685cae,CLOUDSTACK-6181 Specify GB for the value of rootdisksize parameter. Add some Bytes/GB for log or exception messages. Fix Gb->GB.,code_debt,low_quality_code,48,train
daffodil,e61bad5e7d11d55b8686900a23f0877f0913969c,"Optimize longestMatch delimiter algorithm
The longestMatch function is called everytime after delimiters are found. On
some file types, this function was a noticable hotspot.
Although not very likely, in the worst case, the current longestMatch algorithm
could go over the entire matches list 3 times: Once for finding the location of
earliest match, once for remove any matches that start later than that
location, and once for finding longest length of those that remain. In addition,
the use of various scala functions will cause new lists to be allocated,
causing slower performance.
This modifies the algorithm to only go over the matches list once, while
keeping track of the first longest match that it has seen. Additionally, all
functional code is replace with iterative code to be more performant. Lastly,
replace the Seq with an ArrayBuffer so that we are guaranteed constant append
and constant random access on the matches sequence.
This also adds an early return in the case where there is only one match, which
is probably the most likely case.
DFDL-992",code_debt,slow_algorithm,49,train
ignite,8dbea36704f2b3ce4844f700350b45dbf06f6184,IGNITE-12339: [ML] Remove outdated property isDistributed in Vector and Matrix classes (#7026),code_debt,dead_code,50,train
attic-apex-core,38581ae47fc273cd304d09a13c030bebb776ea6b,SPOI-2486 #resolve #comment workaround for MapRFileSystem.getScheme(),code_debt,non-optimal_design,51,train
druid,df3c1075a8e7f352e21e7abbe5b048e166bd8bd5,"Update docs for extensions (#9218)
* Update docs for s3 and avro extensions
* More doc updates - google + cleanup",documentation_debt,low_quality_documentation,52,train
tomee,660113bc6e7005f648e91562f5a741d05408955d,Cleanup xbean versions,code_debt,low_quality_code,53,train
hive,025e46799b13816ec5c6935cf75f2a6b046bf7dd,"HIVE-9381 : HCatalog hardcodes maximum append limit to 1000 (Sushanth Sowmyan, reviewed by Daniel Dai)",code_debt,low_quality_code,54,train
hadoop,004207996c6610d67d1a202da5e51d7bc7890484,"HDDS-1597. Remove hdds-server-scm dependency from ozone-common (#969)
* HDDS-1597. Remove hdds-server-scm dependency from ozone-common. Contributed by Elek, Marton.
* checkstyle fixes
* revert the import reorder of HddsUtil
* add javadoc
* switch back to the commons-lang2
* fix typo
* fix metrics core classpath problem (+rebase fix)",documentation_debt,low_quality_documentation,56,train
storm,03bd9558bb44da6f4f4ebe1a81f320f8ad6c9538,more debug logging,code_debt,low_quality_code,57,train
hbase,5c5854578779719ce763c0d8ab9ed591254ec5bc,HBASE-7066 Some HMaster coprocessor exceptions are being swallowed in try catch blocks - Revert,code_debt,low_quality_code,58,train
shardingsphere,a7b1215ad2b1118cdc5d9203b97c90bcfc865f05,for multiple thread safety,requirement_debt,non-functional_requirements_not_fully_satisfied,59,train
beam,7bb4dd9cb8cc415d30d8865f22f6d5e6acaf9997,"Merge pull request #4724: Adds more logging around BigQuery jobs
Adds more logging around BigQuery jobs",code_debt,low_quality_code,60,train
geode,6267809086a0ccd8d04263ea95c52bafed156965,"GEODE-3290: Removed effectively-dead classes FilterChain, LocalFilterChain, and RemoteFilterChain.
* this closes #653",code_debt,dead_code,61,train
usergrid,46299415f908b999fad6be581e4c5fda79bba38d,Removed retry logic that doesn't work correctly.  Results in 50x retries.  This doesn't make any sense given that a single call to mutation.execute results in a 10x retry policy.,code_debt,non-optimal_design,63,train
gobblin,ea0111f1f175a0d9b131ddd17c85b4caff9a249c,Add a pattern to ignore URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD FindBugs warnings,code_debt,low_quality_code,64,train
jmeter,5fd20849204dc6abb10e645a1017cb6a2ecf82ae,Unused import,code_debt,low_quality_code,65,train
spark,fac6085cd774a4dba73ad1618537ef1817b2bcf3,"[SPARK-1397] Notify SparkListeners when stages fail or are cancelled.
[I wanted to post this for folks to comment but it depends on (and thus includes the changes in) a currently outstanding PR, #305.  You can look at just the second commit: https://github.com/kayousterhout/spark-1/commit/93f08baf731b9eaf5c9792a5373560526e2bccac to see just the changes relevant to this PR]
Previously, when stages fail or get cancelled, the SparkListener is only notified
indirectly through the SparkListenerJobEnd, where we sometimes pass in a single
stage that failed.  This worked before job cancellation, because jobs would only fail
due to a single stage failure.  However, with job cancellation, multiple running stages
can fail when a job gets cancelled.  Right now, this is not handled correctly, which
results in stages that get stuck in the “Running Stages” window in the UI even
though they’re dead.
This PR changes the SparkListenerStageCompleted event to a SparkListenerStageEnded
event, and uses this event to tell SparkListeners when stages fail in addition to when
they complete successfully.  This change is NOT publicly backward compatible for two
reasons.  First, it changes the SparkListener interface.  We could alternately add a new event,
SparkListenerStageFailed, and keep the existing SparkListenerStageCompleted.  However,
this is less consistent with the listener events for tasks / jobs ending, and will result in some
code duplication for listeners (because failed and completed stages are handled in similar
ways).  Note that I haven’t finished updating the JSON code to correctly handle the new event
because I’m waiting for feedback on whether this is a good or bad idea (hence the “WIP”).
It is also not backwards compatible because it changes the publicly visible JobWaiter.jobFailed()
method to no longer include a stage that caused the failure.  I think this change should definitely
stay, because with cancellation (as described above), a failure isn’t necessarily caused by a
single stage.
Closes #309 from kayousterhout/stage_cancellation and squashes the following commits:
5533ecd [Kay Ousterhout] Fixes in response to Mark's review
320c7c7 [Kay Ousterhout] Notify SparkListeners when stages fail or are cancelled.",code_debt,non-optimal_design,66,train
activemq-artemis,6bdfe95f665d19b868b8246358941b72419512ab,ARTEMIS-350 small improvement on the writable logic,code_debt,non-optimal_design,69,train
camel,dfa25dbfb11a2745e7d99d601c4fe1d9d1887f44,added the missing license and notice file to the camel-cm-sms component,documentation_debt,outdated_documentation,70,train
tinkerpop,ecbb8e8f1874a8b393c62d7eaa838f71ea3da964,Added ElementHelper.legalKeyValues() to Parameters to give a better exception message to Gremlin users with traversals that use parameterized-steps. E.g. addV(). Fixed #TINKERPOP-1324. CTR.,code_debt,low_quality_code,71,train
spark,b2f595f55248236f780e5ef332dde691ae1ee6e6,Test more graph ops and skipStale,test_debt,low_coverage,72,train
skywalking,069b99bdbcd0a3364a371a6d79fcb568ee6ae075,"Add file change detection mechanism (#4475)
* Add file change detection mechanism
* Fix format.
* Make file content changed monitor easier.
* Add secondary round change and check the result.
* Update to support multiple files change monitoring.",code_debt,low_quality_code,73,train
servicecomb-java-chassis,984eea5e438bd744d91df399e3f85e75f9046566,JAV-163 simplified tracing collector address config,code_debt,complex_code,74,train
jmeter,60cd3913f7e61f7df424717d5ceea5561d99da47,"Get rid of noinspect comment
By moving the result of the expression in the if statement into the assumption,
we are using the assumption call as intended and there is no need for noinspect
anymore.",documentation_debt,low_quality_documentation,75,train
reef,9d2dab5c12574ab0fe42bee1fa2a71a2152064ce,More javadocs.,documentation_debt,low_quality_documentation,76,train
hadoop,0f1899ee19ab13d5128801063b0ce17612c0e96f,HDFS-4216. Do not ignore QuotaExceededException when adding symlinks.,code_debt,low_quality_code,78,train
karaf,d9f7fbf733f3f36add6528852bb2d4e7800ad2e1,[KARAF-1951]Remove workaround for KARAF-1117,code_debt,non-optimal_design,79,train
storm,dbcb138603f55fc9f234d2d3b2404a2bfc92e4d9,"Updated RateTracker to be thread safe, more accurate, and very fast.  removed subsampling of rate calculation in disruptor, because sub-sampling was more expensive than just doing the calculation.",requirement_debt,non-functional_requirements_not_fully_satisfied,81,train
ambari,623c36d2e0832d9a0bc60bc9ff19b302d5e3cefa,AMBARI-18324: Externalize skip repo url check to ambari.properties instead of hardcoding it in Ambari Java code (dili),code_debt,low_quality_code,82,train
lucene-solr,40a1d7e22c46f4a48372579a9fd1c7bf95b21d2d,SOLR-6892: Improve the way update processors are used and make it simpler,code_debt,complex_code,83,train
trafficserver,e215be0a830e28b0034abbb5d471701d54b8b722,"TS-637 Remove update_records.cc
Also cleanup some discrepancies with how we use LOCAL_MANAGER
define. This is sort of a mess honestly, we ought to clean this
up better long term.",code_debt,low_quality_code,85,train
lucene-solr,04558dada33f662a3fb92ecd90b8960f76f1bfe4,"LUCENE-2037: Add support for LuceneTestCase.getName() for backwards compatibility when reporting failed tests. Also removed The InterceptTestCaseEvents class and added as anonymous class (simplified, no reflection)",code_debt,complex_code,86,train
incubator-mxnet,7e5d88d1dbe9459d40d1fbd6b49c1af1664ef2a2,Disable flaky test test_conv in gluon (#11507),test_debt,flaky_test,87,train
flink,3f62d5d78a3f792e3fb984ff88d38190dabad586,[hotfix][table-common] Fix minor typos in ObjectIdentifier,documentation_debt,low_quality_documentation,88,train
camel,c548d27660551d3d9c172397aa19a16633de57f5,CAMEL-15865: camel-github - Authentication with username/password removed as its no longer possible on github.,code_debt,dead_code,90,train
trafficserver,0850f4c3a833a76779be65b769fc0e239e6fc93f,TS-1146: consistently apply 2char indentation,code_debt,low_quality_code,91,train
accumulo,7662198f076324564ff2ab700f9a13256a9177d0,"Fix Auditing for new Bulk Import / remove warnings (#523)
* Fix Auditing for new Bulk Import / remove warnings
* Fix a bunch of warnings
* Ensure new Bulk Import requests are audited
* Remove unneeded deprecation of internal impl code for old bulk import
* Remove unnecessary Serializable for new Bulk code mapping information
* Use new bulk import in some tests when not specifically testing an old bulk import behavior
* Remove some unused variables from tests (left commented out for
  reference to ongoing improvements to client configuration code)",code_debt,low_quality_code,92,train
attic-apex-core,13d0904bb65dea042c0d350a3c35eaaa4c974702,reorg imports,code_debt,low_quality_code,93,train
trafficcontrol,7f4f970c521fd5741959c9e93d75ee74d5437ca6,"Change cdn.name to cdn.domain_name in DeliveryServiceInfoForDomainList
Looks like this is a typo - I'm trying to get the Delivery Service domain name on the mid cache and it's coming out as the CDN name...",documentation_debt,low_quality_documentation,94,train
beam,d30c981b21f17520322f9ea121df62153aef13c0,"Remove debug statement from test
----Release Notes----
[]
-------------
MOE_MIGRATED_REVID=114886024",code_debt,low_quality_code,95,train
flink,f4a0458bc583ac520c086b4c2735c75751598343,"[hotfix][table-planner-blink] Fix the redundant line break in the plan XML
This copied XmlOutput from Calcite which removes the redundant line
for each CDATA section. This file should be removed once bump to
Calcite 1.22.",code_debt,low_quality_code,96,train
myfaces-tobago,27cd25fcd4f2f539290f64dc667a18691acd1a19,"TOBAGO-1212: Using JSR 269: Pluggable Annotation Processing API
 - Test to check the  overwritten methods
 - treeNode has some deprecated attributes",code_debt,low_quality_code,97,train
thrift,709b69f14c7c69b83e1752212bf51b4da67db834,"THRIFT-926. cpp: Fix destructor behavior of TFileTransport
Set closing_ to true before we wake up the writer thread in the
destructor.  This way the writer thread flushes the data and exits when
it is woken up.
Previously the writer thread could end up going through 2 full timeout
cycles before exiting.  The writer thread could wake up, notice it has
nothing to do since closing_ is not set, and immediately go back to
sleep.  The destructor would then proceed to call flush(), which would
wait for the writer thread to wake up (1 full time out) and clear the
forceFlush_ flag.  After flush returns, the destructor would set
closing_.  It could take the writer thread another full timeout to wake
up again and process this flag.
There were also some points where the worker threads would detect the
closing_ state in their loops and automatically close the file, but did
not zero out the file descriptor, then the destructer attempted to close
the same file.  Fix by simply zeroing out the fd_ at these points.",code_debt,complex_code,98,train
hbase,d60908dcf9c8c0cfb3701d1b9b5f52e8239691df,HADOOP-1868 Make default configuration more responsive,code_debt,low_quality_code,99,train
beam,365f2afe4c1cb20c0bb02c1cf8ad08e2d85122a2,Delete debugging comment,documentation_debt,outdated_documentation,100,train
accumulo,f0dcf1e5570c12098e716ec58ea2f4bc3321053b,"ACCUMULO-2789 Added parameter to control the number of cells within a row
When running the stress test, it is now possible to configure the writer to
send mutations for rows that contain a random amount of column updates. This is
controlled via the --min-row-width, --max-row-width and --row-width-seed
parameters.
I did some internal shuffling to make randomly generating numbers within a
range more convenient. See the new RandomWithinRange class for details.",code_debt,non-optimal_design,101,train
cassandra,349956bccd829d3420cde9d8832f40c0aaa5bb8c,extract newSystemTable method and r/m unused code in CFMetaData.  patch by jbellis,code_debt,dead_code,102,train
camel,7f24229223408d68669e57b1f752de3075006e21,Make ServceNow test configuration easier,code_debt,non-optimal_design,103,train
trafficcontrol,c929d8933c720f451d459b7b7dbd4a287eb888e5,cleaned up the cdns to account for the cdn package,code_debt,low_quality_code,104,train
camel,f9bf17b73a0a807cca76a6532c7b2ca87faa996b,Polished camel-ftp. Added missing unit test. Trying to close Apache FTP Server so Bamboo is happy. Better handling of exception thrown during ftp consumer if its stopping etc.,test_debt,lack_of_tests,105,train
systemds,693afd414b69b3e550930b4d96d3ef09f932a768,"[SYSTEMML-1357] Fix value type promotion scalar-scalar operations
This patch fixes various inconsistencies of value type promotion for
scalar-scalar binary operations as shown up recently on sanity tests
that were not included in our testsuite. Furthermore, this also includes
a rework of all function and scalar objects to (1) force proper
implementation of subclasses (e.g., comparison and index functions), (2)
remove unnecessary redundancy (e.g., double-long execute, cloning,
language-depending string handling), and (3) remove unnecessary
exception handling. Finally, we now also include the problematic
testcase in our testsuite by referencing the current data generation and
algorithm scripts.",code_debt,low_quality_code,106,train
geode,b826b4b0077dc159cbcee68775cc197b025d5586,"implementation of AvailablePort.isPortAvailable for multicast
The AvailablePort utility has not had support for finding a free multicast
port since feature/GEODE-77 was merged to the develop branch.  This change-
set enables the old multicast code in AvailablePort and implements the
check & response for its datagrams in JGroupsMessenger.  The JGroups
transport method for receiving packets is overridden to look for these
datagrams and respond to them.
I also renamed AvailablePort.JGroups to AvailablePort.MULTICAST, which
describes the kind of port that's being tested a little better.",code_debt,low_quality_code,110,train
cassandra,c7378a035796348ac33078ab2744a08be055413e,convert internal_insert to use more-efficient RowMutation constructor,code_debt,slow_algorithm,111,train
usergrid,0666e3527a59af4b2ca158567fba885498839b45,cleanup,code_debt,low_quality_code,112,train
beam,a7d111f896f5f8e14f6211d01811a618b905ec32,[BEAM-9543] fixed code style,code_debt,low_quality_code,113,train
camel,2ca4d8d7e89f8c265ff160c494451e6f2af21223,added more predicates and a helper header() method to build easier and more powerful expressions and predicates,code_debt,non-optimal_design,114,train
spark,0f45477be16254971763cbc07feac7460cffd0bd,Change indentation,code_debt,low_quality_code,115,train
cxf,6bb6b76edbcfd46d2334a3ec448da3dd170dab35,Cleanup stax dependencies that are no longer needed.,code_debt,dead_code,117,train
hbase,6b9b5dbd998bd84768634960cb79a66b56539eed,HBASE-4054 Usability improvement to HTablePool,code_debt,non-optimal_design,118,train
lucene-solr,3b5a225b7b374885592ce04ab73fae1e01942fbb,- Indentation,code_debt,low_quality_code,119,train
hadoop,bb8ad096e785f7127a5c0de15167255d9b119578,HADOOP-16157. [Clean-up] Remove NULL check before instanceof in AzureNativeFileSystemStore,code_debt,low_quality_code,120,train
madlib,4907fd3a4f95d38e41c0c2e52bc3befcdcbdbca6,"Matrix: Fix starting index in extract functions
JIRA: MADLIB-1006",code_debt,low_quality_code,121,train
madlib,059c01112223599f3dadd429832e9de257990bf0,"Preliminary Version of Naive Bayes. (Todo: Translate to Python, Resolve Security Issues/Code Injections)",requirement_debt,requirement_partially_implemented,122,train
guacamole-client,5a6623540f1594fa5c49e851e5fd1265bf2105fe,"GUAC-676: Conversion to Guacamole.Display wasn't finished - ""transfer"" and others still directly used layer.",requirement_debt,requirement_partially_implemented,123,train
kafka,4a027a0af10bc10bb223856100fdc19c6186a405,Fix typo in MockProducer JavaDoc (#4606),documentation_debt,low_quality_documentation,124,train
camel,d7ba926794b4df826c0fc8c57e4ce5afb72bb0e2,CAMEL-7731: fix typo,documentation_debt,low_quality_documentation,125,train
camel,cfb9dea39723c4bcbd2b2a9646626d02ec705760,fixing typo in documentation,documentation_debt,low_quality_documentation,126,train
spark,9b214cea896056e7d0a69ae9d3c282e1f027d5b9,"[SPARK-11443] Reserve space lines
The trim_codeblock(lines) function in include_example.rb removes some blank lines in the code.
Closes #9400 from yinxusen/SPARK-11443.",code_debt,low_quality_code,127,train
flink,c298ef1b460b55de34074582d05da8e38987b122,[streaming] streamrecord remake + cleanup,code_debt,low_quality_code,130,train
brooklyn-server,8b6bbbef0e70d14b617b534f02639f12595f4df9,"add an AbstractTransformingEnricher, to make it easy to write enrichers which combine sensors; and amend type hierarchy for other enrichers, and update ShellUtils",code_debt,non-optimal_design,131,train
incubator-mxnet,ce62873ae24299242a9c809fd7b83060a0374163,"Add quantization support for GluonCV (#15754)
* enhance quantization api
* integrate gluoncv solution
* support gluon ssd
* enhance api
* enhance example script
* add wildcard match for exclude layers
* support int8 dtype parameter
* enable dataiter api
* use try method
* add unit test for quantize gluon
* fix lint
* fix lint 2
* fix temporary directory in python2
* fix lint
* fix try import and add todo
* trigger",requirement_debt,requirement_partially_implemented,132,train
couchdb,85360855a777d5b7fbcc8342e43ae006a57b84eb,Remove dead _all_docs code,code_debt,dead_code,133,train
camel,4e83d8b376808006eeab013f679eabdd1b27291a,camel-sap-netweaver component. Work in progress.,requirement_debt,requirement_partially_implemented,134,train
cxf,318501bf351df22e3cdde6fc58f4c67d4e8ab3d2,Adding some more SAML SSO tests,test_debt,lack_of_tests,135,train
arrow,92433c8ad3d38aa54f682e4abbdf20ac2cb8a281,"ARROW-3882: [Rust] Cast Kernel for most types
This is an implementation of a cast kernel for most Arrow types.
Limitations (when PR is complete):
* Casting to or from `StructArray` not supported
* Casting `ListArray` to non-list array not supported
* Casting of incompatible primitive types not supported (e.g. temporal to boolean)
Closes #3797 from nevi-me/ARROW-3882 and squashes the following commits:
67c3ab3 <Wakahisa> Merge branch 'master' into ARROW-3882
0f42cd1 <Neville Dipale> replace cast macros with generic functions
66acfb3 <Neville Dipale> move cast_kernels > kernels/cast
9784313 <Neville Dipale> fix doc comment
04c7307 <Neville Dipale> boolean casts, documentation, error handling
4a8906b <Neville Dipale> cast binary -> numeric
c3b8961 <Neville Dipale> use arrow cast in datafusion
ae9509c <Neville Dipale> ARROW-3882:  Cast Kernel for most types",requirement_debt,requirement_partially_implemented,136,train
camel,54eb007491087f8ff0739556a8e171a68da8a085,Polished,code_debt,low_quality_code,137,train
druid,cfb7a893e7892bfefb6b22fba4d575f0aaa012e6,"fill out missing test coverage for druid-datasketches postaggs (#9730)
* fill out missing test coverage for druid-datasketches postaggs
* fixup
* fixup merge
* oops
* oops again",test_debt,low_coverage,138,train
lucene-solr,979b89ce0fbbd30c34e742dbeef1554858d0bdd5,"mark test slow for now, can take nearly a minute",test_debt,expensive_tests,139,train
systemds,b84a2d16e1796a6d68baf9e16b7ab87982c8e34d,"[SYSTEMDS-2650] Re-computation from lineage with dedup
This patch adds the below changes.
  - We now compile all the dedup patches into functions,
  - The main program places a function call for each dedupOp
    and calls the corresponding function,
  - Move the recomputation related code to a new class,
  - Add a new test class to match the recomputed results
    with the original outputs.
Current code doesn't support multiple loops. Future commits
will add optimizations to construct multi-return functions
of equivalent function calls into loops.",requirement_debt,requirement_partially_implemented,140,train
incubator-brooklyn,0b9b2e3172e2f35f27d77d867c316e98eba61290,"support isNull on Maybe, including an ""absent because null"" semantics.
simplifies api usage when contexts handle null differently, but a present null is confusing.",code_debt,complex_code,144,train
