text,label,document_index
if session temp directory appears within project large scale test the sometimes files session temp directory one delete files manually,TEST,138
cran sets disk tests fail even something might try config file operation eg git simply test,TEST,139
testing user travis nt want risk creating files actual user would clean,TEST,140
run manually already files happy delete,TEST,141
run manually already files happy delete,TEST,142
run manually already files happy delete,TEST,143
ever depend package could test bit,TEST,144
test started fail usethis currently branch nt seem worth skip good enough,DEFECT,145
github remote sparse start somewhere,VERSIONING,146
we ve already here happens created user origin upstream parent repo becomes due name change now upstream looks like point parent,DEFECT,147
hand vs via windows appears delete current working directory,DEFECT,148
empty values temperature file cause errors if calculate max window,DEFECT,149
hack remove warning message nt suppress messages,CODE,150
narm true remove warnings na cf control size,CODE,151
the following block used usethis automatically namespace tags modify care usethis namespace start,DOCUMENTATION,152
could theoretically work like mtc mtc mtc mtc mtc mtc function data mapping ggplot data mapping,CODE,153
copied old code want replace something like,CODE,154
fix missing box goes true min,DEFECT,155
user ordering one class rest add later,CODE,156
bug character vector to,DEFECT,157
this file takes long,ARCHITECTURE,158
could nt get correct error message variables colour non standard format expecterror mapping ggplot2 aes color variables colour non standard format nolint expecterror mapping ggplot2 aes color variables colour non standard format nolint,DEFECT,159
might confusing grid lines vertical,USABILITY,160
trick coordinates,CODE,161
types always work,DEFECT,162
need automatic check change default,TEST,163
raster,ALGORITHM,164
todo convert fact tolerance,CODE,165
trick also used prevent frame,CODE,166
used,CODE,167
eg removenafacets function type aes xs xs lapply xs function gi gi ef drop false sapply aes function paste sep unlist lapply aes function paste paste aes sep unlist lapply aes function paste paste type sep lapply function gi gi ef lapply function gi gi ef local gi gi values gi values ef gi breaks gi breaks ef gi lapply function gi gi ef ef xs lapply xs function gi gi ef removenafacets fill fill removenafacets line removenafacets,CODE,168
layer control include base true specified,ALGORITHM,169
possible check options since exported,BUILD,170
subset argument work correctly number levels result get singular matrix solution take unused levels object,DEFECT,172
https matrix nas todo parameters lambda,CODE,173
ok,CODE,174
yuliya use matrix deal need,ALGORITHM,175
need done,CODE,176
take observed values may needed works,CODE,177
use try sure need need solve lm,CODE,178
rownames normalized row names assumed unique ids unique,CODE,179
need wrapper diag min,CODE,180
yuliya get around without using,CODE,181
tom,PEOPLE,182
need diag,CODE,183
update case filtered,CODE,187
error model,DEFECT,188
nt seem need,CODE,189
todo make sense eg,CODE,190
todo provide better way clean,CODE,191
map special arguments trace attributes note modify mode applied first todo use create https,CODE,192
fix warning removed new version,BUILD,194
check need filtered reference todo address following filtering needed,ARCHITECTURE,195
got error incorrect number dimensions added dropfalse avoid vector conversion,DEFECT,196
need update cls labels,CODE,197
map todo run function specific species,CODE,200
todo map based specific selection species,REQUIREMENTS,202
todo change inf specific value based type scores,CODE,203
todo fix code handle case length length then start loop,DEFECT,205
todo avoid matched ids list nodes,CODE,206
left old fix error later,DEFECT,207
case error options,DEFECT,209
case error measurements identical,DEFECT,210
error,DEFECT,211
and,CODE,212
workaround localmax fails otherwise,CODE,214
restrict data,ALGORITHM,216
calculate error,REQUIREMENTS,217
todo change interface,CODE,219
peaks without peak give error warning,USABILITY,220
color makes error,DEFECT,222
color makes error names,DEFECT,223
get coef table error class,DEFECT,224
color makes error names,DEFECT,225
na gives error,DEFECT,226
names may long,CODE,227
names may long,CODE,228
names long,CODE,229
nt work due,DEFECT,232
avoid error message,CODE,233
special matched data number strata per strata small compute time becomes make data one strata time intervals,CODE,234
trick nice one arguments present if specified default false set we keep arg list match documentation,REQUIREMENTS,235
special case null model trick code requires least one variable creating one iterations,CODE,236
data just case,CODE,237
avoid due partial matching fit get fit good,CODE,239
use function,CODE,242
this already checked,CODE,243
adding trick check term,CODE,244
per strata needed,ALGORITHM,245
build coef matrix term time,CODE,246
case length,CODE,247
why ca nt object call because code uses objects class object nt work operation but nt know quantile would defined,DESIGN,249
think debugging line,ALGORITHM,251
why temp1 instead temp1 line when temp1 zeros first expression gives vector temp1 ifelse nt work right due,CODE,252
the methods cause solve,CODE,254
this common code it set this code development yet used anything false distribution,BUILD,255
next line debug code visible users survival call directly,DESIGN,256
automatically generated directory replaced code eventually deprecated,CODE,257
old style argument,CODE,259
throw away never used,CODE,260
if model print long warning message people may nt see another way bad without probably complain factors never strata cluster term,USABILITY,261
ndots length ndots length list fails missing eg fit workaround,DEFECT,262
case someone integer weights,CODE,264
will right censored the calling used strata factor unused levels but case user called,CODE,266
fix scale output,DEFECT,267
fix scale output,DEFECT,268
otherwise nt align ndots length ndots length list fails missing eg fit workaround,DEFECT,269
nt work,DEFECT,271
lines debugging change true turn printing,CODE,272
the trick nt work use intercept fit zeros coef order intercept,ALGORITHM,274
comment next line function uses variance variance missing invalid variance function,CODE,276
now hand,CODE,281
they right,CODE,282
nt match think right,CODE,283
the line tricky long time the range range age that range the functions based age if used subset earlier form test function called subset occurs different second leading failure allequal tests theta one exactly theta coefficients within,ARCHITECTURE,284
old form,CODE,285
quite close,CODE,287
todo can documentation,DOCUMENTATION,288
todo objects changed,CODE,289
todo maybe copy files,CODE,290
work directory ignored,CODE,291
tell cmd check treat global variable avoid false positives long version published todo remove version published,BUILD,292
todo compare summary intervals,CODE,293
suppress cmd check note,BUILD,295
trick cmd check,BUILD,296
trick cmd check,BUILD,298
todo type specified set type na wait final call type make sure,CODE,299
add name make extra todo remove grouping done,CODE,300
todo check sort state,CODE,302
hacky way check rmarkdown,CODE,303
todo check handle warn based etc,CODE,304
hacky way see sorted none variables still sorted another variable user must sorted variable note detect sorting,CODE,306
construct example data df ensure samples given order metadata data fixme removed official package fixed retain factor level ordering,DEFECT,308
todo add this decide merge metadata to safe side could merged identical will require checks,CODE,309
todo add optional core abundances would sum,REQUIREMENTS,310
todo add support taxonomic levels,REQUIREMENTS,311
as far understand problem running error limit not user instead package developers make sure registered package developer adding following package function utils,DEFECT,312
matrix fixme could better done,CODE,314
todo completely matrices vs,CODE,315
define new sample ordering based quick fix scores function fails otherwise,DEFECT,316
todo add option calculate pca different distances using distance argument assumes default,CODE,318
todo add robust pca,ARCHITECTURE,319
fixme time log10 used abundances log change consistency,CODE,320
fixme assumed this may far optimal should determined automatically,CODE,321
fix sample metadata original input,DEFECT,323
todo make well,CODE,324
hacky global switch uses fact blocks one another set block,CODE,325
bug source positions code tags count space lines however bug might get fixed later simply error code,DEFECT,326
fixme check empty ie name,BUILD,327
workaround occur perhaps nt cf https,CODE,329
uses nonbreaking space necessarily valid windows locales quick hack fix problem,CODE,330
need fix link point file,CODE,331
update anymore,TEST,332
todo include type,CODE,333
bit stupid adding special handle categorical feature numeric plot,USABILITY,335
extra fix target data,CODE,336
currently used,CODE,337
windows old,CODE,339
treat fixed glob character,CODE,340
todo replace,CODE,342
clean,CODE,343
needs two spaces clean,CODE,344
clean clean,CODE,345
glob treated fixed found,CODE,346
backward compatibility todo removed year,CODE,347
todo consider removing,CODE,348
function exported exist rules inputs character outputs tokens tokens,DESIGN,349
necessary currently subset yet implemented objects,CODE,350
states,CODE,351
fails expectequivalent,TEST,352
todo test classes returned,DEFECT,353
todo add function testing equality,TEST,354
wrong,DEFECT,355
error high,CODE,356
fails expectequivalent mt method maximum asmatrix stats asmatrix mt method maximum,TEST,357
fails,TEST,358
fails,TEST,359
stats wrong small tables,DEFECT,361
also produces symmetric matrix,DEFECT,362
better expr,DEFECT,365
fix break dependencies,BUILD,366
fix break dependencies object object object object stop invalid infinite value return,BUILD,367
keep correct ids future versions step wo nt necessary,CODE,370
old function used,CODE,371
backward compatibility issues non fatal,CODE,372
keep debugging need test see much deal,TEST,373
work gdal see http,ARCHITECTURE,374
development,CODE,376
need better,CODE,378
todo warnings work,CODE,381
relevant consistency,CODE,382
implemented,CODE,383
etc,CODE,384
tested,TEST,386
check,TEST,387
creates problems large integers perhaps needed causes problems merge asinteger using round,ARCHITECTURE,388
removed,CODE,389
could avoid problems sure would worse could option,CODE,390
backward compatibility,CODE,392
for code need update later create possible values,CODE,393
for treat adjust,CODE,394
do not export,DESIGN,395
do not export,DESIGN,396
do not export,DESIGN,398
for hard coded fix vs empty list,CODE,400
this added later,CODE,401
information tricky one,CODE,402
information tricky one,CODE,403
nocov nocov,TEST,404
nocov nocov nocov,TEST,405
nocov nocov nocov,TEST,406
nocov nocov,TEST,407
nocov nocov,TEST,408
nocov nocov,TEST,409
nocov nocov,TEST,410
nocov nocov,TEST,411
nocov nocov,TEST,412
nocov nocov,TEST,413
nocov nocov,TEST,414
nocov nocov,TEST,415
nocov nocov,TEST,416
nocov nocov,TEST,417
get groups samples together grouping information always ll full set groups data,ALGORITHM,419
nothing moment,CODE,420
nocov,TEST,421
nocov,TEST,422
nocov nocov,TEST,423
nocov,TEST,424
get groups samples join together grouping information lost actually groups first data frame join ll full set groups data join,CODE,425
containing empty dimensions eg mu mu produce ca nt use empty variable names replace drop drop columns later todo probably better way,ARCHITECTURE,426
must give blank dimension column unique name otherwise wo nt work,CODE,427
nocov,TEST,429
nocov,TEST,430
get test pass brms versions nt output levels anymore,TEST,431
progress output ca nt seem turn hence captureoutput,CODE,433
adjust filename fixme adjust also directory names hb,CODE,435
note fields fields also remove duplicates,CODE,436
not needed anymore,CODE,437
nothing todo,CODE,438
not needed anymore,CODE,439
not needed anymore,CODE,440
not needed anymore,CODE,441
not needed anymore,CODE,442
workaround tools paths paths length paths working temporary directory,CODE,443
workaround tools paths handle spaces,CODE,444
not needed anymore,CODE,445
ad hoc it may happen case differ,CODE,446
to please cmd check object,BUILD,447
not needed anymore,CODE,448
if expr ii missing ignore error this happens instance like fixme is better way hb,ARCHITECTURE,449
not needed anymore,CODE,450
try list directory will take lot time,ARCHITECTURE,452
note mapped introduces should hb,CODE,453
backward compatibility treat empty path,CODE,455
treat current working directory backward compatibility,CODE,456
warning error,CODE,457
nothing todo,CODE,458
bug,DEFECT,460
not needed anymore,CODE,461
should take care case,CODE,462
write output temporary file fixme do worry encoding hb,CODE,463
the working least windows may negative where nt seem work hb starting positions double order address larger vectors offset origin start read get current file offset offset idxs idxs offset,DEFECT,465
not needed anymore,CODE,466
should found using regular expression patterns,CODE,467
not needed anymore,CODE,468
not needed anymore,CODE,469
not needed anymore,CODE,470
not needed anymore,CODE,471
might slow,ARCHITECTURE,472
workaround foobarhtml work windows calls foobarhtml works foobarhtml,DEFECT,474
nothing todo,CODE,477
workaround file links windows only files zero size links,CODE,478
nothing todo,CODE,479
reset previous options example old later old,CODE,481
nothing todo,CODE,483
workaround put else together previous statement this problem help thread deparse else statement http deparse else new line ifelse statement expression eg cat deparse substitute else sep gives else deparse substitute else gives else hb,CODE,484
workaround sink type message allow sink file,ARCHITECTURE,485
not needed anymore,CODE,486
default parse depending version env package parse default base parse conflict quiet assign parsedefault parsedefault parsedefault parsedefault,BUILD,487
workaround on windows translate forward fixed,CODE,488
this script it methods attached it crash it appears crash cmd check run via similar hb,DEFECT,490
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,492
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,493
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,496
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,498
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,501
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,503
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,504
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,506
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,507
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,508
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,509
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,510
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,511
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,512
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,513
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,515
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,516
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,517
ugly hack format column,CODE,518
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,519
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,520
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,523
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,525
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,526
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,527
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,528
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,529
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,530
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,531
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,532
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,533
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,534
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,535
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,536
this hack results error occurs signals end results,CODE,539
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,540
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,541
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,542
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,543
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,544
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,545
todo check token expired whether matches,ARCHITECTURE,546
create sparse matrix appears work provides wrapper around error appears related deprecated functions,DEFECT,547
line working function create weighted matrix,DEFECT,548
true previous statement,CODE,550
hack moment ordered indices ok,CODE,552
evaluate indices directly working,CODE,553
todo set path data set stored todo make possible sort multiple columns cat data result speed see,REQUIREMENTS,554
fix matrix nt factors,CODE,555
fix matrix nt factors,CODE,556
plot hacked stats,CODE,557
one problematic problematic returns,CODE,559
drop quality scores needed anymore,CODE,560
not needed anymore,CODE,561
not needed anymore,CODE,564
not needed anymore,CODE,565
not needed anymore,CODE,566
not needed anymore,CODE,567
not needed anymore,CODE,568
todo encoding param ignored xml true stop you must xml installed read xml files,CODE,569
because xml nt impute column types match behaviour,CODE,570
todo files need currently listfiles uses lot space temporary files lot,ARCHITECTURE,571
todo stop using rownames errors duplicated,DEFECT,572
the implementation listfiles might seem lot the main design made user able pass many different types string listfiles get consistent result list local one additional two functions listfiles this ensure ever called length argument even though return multiple for purposes there possible types values simple filename remote url glob pattern vector combination listfiles recursive design arguments resolve arguments need processing eg remote url could resolve zip file needs the condition recursion argument passed local single file needs processing eg something like however possible determine given argument path single file glob pattern matches multiple files without actually trying match this result expression could potentially need processing recursion needs end we ca nt know rules systems might treat either filename path depending whether support glob we could tested return value see whether system given string glob pattern simple filename unfortunately return character either glob pattern matches files filename file nt exist nt work either we also ca nt test whether pattern regular file looking extension zip glob expression zip extension,DEFECT,573
todo docs todo check remove codes todo file eg remote zip file todo csv seem require,ARCHITECTURE,574
it would nice able test glob special characters filename check allow file name exist package this still pass run test manually created file supports expectequal length txt,TEST,575
todo refactor loop,TEST,577
todo what happens supply,TEST,578
todo test vector filename url,TEST,579
todo nt remove add,CODE,580
todo decide packages,BUILD,581
todo need set options repos well work,CODE,583
must source directory rstudio work properly probably fixed,BUILD,584
todo decide packages,BUILD,585
todo could sure helpers somewhere though accept binary skip anyway appropriate setting,CODE,587
todo things like belong this needs sorting driver,ARCHITECTURE,588
todo great deal use using local cache passed null already storr environment cache,ARCHITECTURE,589
todo use config data use internal details,CODE,590
this error options ca nt supported never use driver anything,CODE,591
for current work long vectors we work around future versions use support the workaround use directly connection this far ideal faster previous approach raw vector file approach vs one we need make sure keep file write otherwise existence object later causing upstream,DEFECT,592
todo branch,CODE,593
this theory checks nocov,TEST,594
nocov,TEST,596
this duplicates much code,CODE,597
behaviour driver support binary todo get covr,TEST,598
eval call parentframe problem,BUILD,600
todo implement boot,CODE,601
nt nt needed unless normal store anyway code better,CODE,602
todo files yet supported check variable used check values attributes may changed creation object file tables,CODE,605
probably better return,CODE,606
using,BUILD,607
to do make function block data single histogram,CODE,608
otherwise fails,TEST,609
work around onload problem,CODE,610
note working signature missing calling one way around,CODE,611
probably use line removed round digits,CODE,612
temporary fix rstudio bug reported https to replicate error use loc normalizepath assign loc envirenvironment,BUILD,614
todo search hierarchy,DESIGN,615
theoretically added table import word works less well therefore ve workaround top cells,CODE,616
the nt work well word import well nothing really works well word,DEFECT,617
remove duplicated,CODE,618
we removed original call need nasty hack get parameter parent function,DESIGN,620
order things bit tricky,ALGORITHM,623
axis format this sets text size colour axis test well setting margins removes lines ticks in cases axis lines axis ticks things would want examples,DOCUMENTATION,624
s4 classes created package need removed special way,DESIGN,627
todo add check not giving warning version not possible testthat,BUILD,628
this ok error,DEFECT,629
loading work,TEST,630
loading reset work,TEST,631
check classes this test fails reason bug but nt cause problems,TEST,632
error indices used,DEFECT,633
hack visible,CODE,634
define variables fix visible binding check bit hack,CODE,635
define variables fix visible binding check bit hack,CODE,637
define variables fix visible binding check bit hack,CODE,638
todo preserve later convert inside,REQUIREMENTS,640
todo add tests different lambda setting todo add tests updating new data note done total test time still skip cran,TEST,641
todo add tests saving better parameter setting place todo add tests different settings,TEST,642
tests these included functions object avoid object todo add smaller example object included could loaded make tests,TEST,643
todo add tests functions including functionality related new slot,TEST,644
ad hoc use common class new class,DESIGN,645
workaround when running covr package tested may actually installed library path used covr we add path covr used hb,TEST,647
ad case skip connection internal hb,ALGORITHM,648
fixme add method future possible also return something hb,CODE,650
fixme special case every cases need support hb,CODE,651
backward compatibility for value results later want future use result hb,CODE,652
setting inside future fixme how hb,CODE,653
note we nt want use local body evaluation local optional cf argument local if could instead use trycatch statement hb,CODE,654
workaround if name promise eg future assignment end recursive evaluation resulting error promise already evaluation recursive default argument reference earlier problems to avoid make sure import functions explicitly hb,CODE,655
note to self we ideally envir argument also cf future however yet clear need search globals current environment order globals arguments fun args cf hb,BUILD,656
drop ignore globals fixme this really implemented globals,CODE,657
resolve globals fixme should resolve package names spaces should we assume contain we turns expensive maybe environments certain flag set hb,BUILD,658
fixme locally using loop,CODE,659
ad note calls rmpi may because drop class attribute avoid calling method calling rmpi rmpi may also see also implementation reference https,DESIGN,660
ad hoc warn windows bug rev,BUILD,661
apply connection time limit rest current computation note regardless true false still seems need undo manually hb,ARCHITECTURE,662
note in issue parallel could fix seems still get warning even removing,DEFECT,664
tell use single thread note is issue have got reports fixme how get current settings hb 1l,ARCHITECTURE,665
fixme it seem multisession examples gives errors cmd check eg open file because use,DEFECT,666
no need request reverse wo nt happen case,CODE,667
not needed anymore,CODE,668
names supported,BUILD,669
names supported,BUILD,670
special by default nt add error object may break things,CODE,672
nothing todo,CODE,673
installed fails,DEFECT,674
fixme the number single server this could improved back additional cf https,ARCHITECTURE,675
trim drop empty results case,CODE,678
fixme some elements may exist although returns exists say exist cf issue hb note possible test existence use trycatch,TEST,679
workaround the image name column may contain spaces making hard second column instead common number column count many columns drop end order find second last,ALGORITHM,680
warning slow windows,ARCHITECTURE,681
options fixme does make sense hb,CODE,682
fixme make plan cluster workers null work actually tested,TEST,684
fixme why nt work it causes future parallel stopcluster,DEFECT,685
bug now instead fails find,DEFECT,686
create future process this is the tricky part two globals env resolved however object env element environment env therefore resolved since future unless environment env resolved issue,CODE,687
workaround on base may return elements empty names hb,CODE,689
fixme print calls resolved triggers result future resolved this means future may worker so nt resolve print,CODE,690
do nt test cran comment in future would left worker process would main process in future try detect fails,TEST,691
fixme on cran number future error 1l true,CODE,692
issue when using connection worker due sink global con connection expression because test na,TEST,693
workaround captureoutput argument split,CODE,694
skip test causes issues least,TEST,695
fixme should value,CODE,696
todo add,DESIGN,698
theory spreadsheet default format locale spreadsheet user unclear,DESIGN,699
nocov end,TEST,701
todo make method todo deal merged cells todo ensure returns integer columns appropriate,CODE,702
todo remote store case change,CODE,703
todo time day really implemented yet,REQUIREMENTS,704
todo really implemented yet,REQUIREMENTS,705
todo yet body function cell na true cell map na na asposixct,REQUIREMENTS,706
todo would way could make better use logic,DESIGN,707
cell field todo adapt becomes class,CODE,708
inputs character method range means nt matter never sheet range skip a1 b2 weird guess roll a1 b2 a1 b2 a1 b2,CODE,709
todo something,DOCUMENTATION,710
todo come back deal data,CODE,711
todo open question whether explicitly title,CODE,712
todo necessary could meaningful checks,CODE,713
wrong thing everything ie returns na but make valid a1 api many cases must,DESIGN,714
to think even allowed perhaps must use sheet argument range clear re passing sheet name name named range without a1 type range suffix,CODE,715
todo still enough detect strings length less numbers less digits valid,ALGORITHM,716
hack slow things ci,BUILD,717
todo revisit means factor,TEST,718
todo revisit means factor,TEST,719
think bug start row,DEFECT,720
cell tibble work tibble todo maybe use even object helpers better,DESIGN,722
workaround,CODE,723
workaround,CODE,724
hardcoded maximum number ideal,CODE,725
version hardcoded argument window analysis done so argument also documentation,CODE,726
what minimum number axis needed criteria order data needs hard coded avoid extracting information file,ALGORITHM,727
todo check file format version,CODE,728
analysis stops trick stop cat reading enough data,CODE,729
no idea what rest noise is for actigraph test needed,TEST,730
if null timestamp offset therefore undo,CODE,731
todo create automatic extraction information actigraph id stored binary file header id body location serial number,REQUIREMENTS,732
fall without measurement,DEFECT,733
use filename identifier,CODE,734
speed testing read first blocks data analysis stops trick stop,TEST,736
it seems store timestamp consistent position therefore need search data,CODE,737
used apparently sometimes using,CODE,740
needed first timestamp time,CODE,741
this function is not used anymore by,CODE,745
format probably incorrect,CODE,747
impute to do also implement catch available,DESIGN,751
day plot sleep,REQUIREMENTS,752
data reading now load last page whether may something wrong block data implemented temporary fix would better source error address inside function for example page,DEFECT,753
todo create automatic extraction information actigraph,REQUIREMENTS,754
todo create automatic extraction information,REQUIREMENTS,755
moved need deleted back,CODE,756
note argument used anymore,CODE,757
default keep hardcoded,CODE,758
hard coded assumption dynamic range,CODE,759
hard coded assumption dynamic range,CODE,760
adjustment needed for actigraph,ALGORITHM,761
adjustment needed for,ALGORITHM,762
adjustment needed for,ALGORITHM,763
measurement started minutes used nasty hack measurements start minutes fixed,DEFECT,764
we metrics enough memory,TEST,765
error using the column variable redundant prevent rbind,DEFECT,766
query constraints type nt attributes skip should test null instead,TEST,767
combine fuzzy simplicial set another fuzzy simplicial set generated categorical data using categorical distances the target data assumed categorical label data vector labels update fuzzy simplicial set label data todo optional based weighting distance the input fuzzy simplicial set target the categorical labels use the distance unknown label assumed point the distance labels return the resulting fuzzy simplicial set,REQUIREMENTS,768
possible,DESIGN,769
no way compare python implementation due differences random number well floating point comparison differences so ll check output ok,TEST,770
nocov,TEST,772
todo would make sense vectorize eg foo bar,CODE,773
dummy package name required,BUILD,774
todo would nice cache files like,BUILD,775
this real package ca nt actually build,BUILD,777
has fails,CODE,778
this python ie package work components additional functionality components present,REQUIREMENTS,779
get warning,USABILITY,780
test based bug report in bug ignored converted na specific values python link,TEST,781
error legacy slot detection,DEFECT,782
check matrices note previous versions result metadata objects contain,CODE,783
this check fails nolint start identical rownames rownames object nolint end,BUILD,784
nocov end,TEST,785
sample metrics note sample metrics used qc plots currently generated using fast this depends counts generated,ARCHITECTURE,786
nocov start this step tests,TEST,787
nocov start nolint start,TEST,788
