comment,debt
todo make faster nt need whole matrix usually,ARCHITECTURE
nop,CODE
todo rewrite c make faster,ARCHITECTURE
c drops names zero length vectors why,DEFECT
todo better generic mechanism modifiers,CODE
todo speed,ARCHITECTURE
todo speed,ARCHITECTURE
todo speed,ARCHITECTURE
todo speed,ARCHITECTURE
we might need rename attributes,CODE
ca nt onload,CODE
old values,CODE
new style parameters ca nt yet,CODE
different kinds arrows drawn separately arrows handle vector code argument,CODE
could also parameters arrow width arrow length,CODE
new style parameters ca nt yet,CODE
todo checkscalarstring shape checkfunction clip checkfunction plot checklist parameters namedtrue,DEFECT
plot anything,DEFECT
need create separate image every different vertex color,REQUIREMENTS
todo getoption maxprint,CODE
todo getoption maxprint,CODE
so many items print,REQUIREMENTS
todo list adding edges graph exporting graphics scroll bar graph list area impossible right list window title error dialog keyboard shortcuts implement min max tkigraphdialog,REQUIREMENTS
bug currect igraph version workaround,DEFECT
todo,CODE
newest implementation hopefully correct c implementation nt need,CODE
ignored anyway,CODE
new style parameters ca nt yet,CODE
grid canvas object implemented tcltk,BUILD
would need update,CODE
todo different types objects selected,REQUIREMENTS
we nt need stored environment,CODE
drop alpha channel tcltk nt support,BUILD
for future right warn even message,CODE
todo,CODE
todo tests typically hard cases,TEST
todo subsetting,DESIGN
todo weighted closeness,DESIGN
not meaningful tests they good testing functions run much,TEST
todo,TEST
todo special functions,TEST
todo checks cliques,TEST
todo check largest,TEST
todo check minimal,TEST
us scan0 unweighted directed todo,TEST
us scan2 unweighted directed todo,TEST
todo find way detect connect timeout specifically https githubcomjeroencurlissues154 https echaxxseusingcurlusingcurltimeouts failing connect within given time cause curl exit timeout exit code however note timeouts lead exit code https echaxxseusingcurlusingcurlreturns operation timeout the specified timeout period reached according conditions curl offers several timeouts exit code tells one timeout limits reached https githubcomcurlcurlblob272282a05416e42d2cc4a847a31fd457bc6cc827libstrerrorc l143l144 timeout reached actual message could potentially match,ARCHITECTURE
to do jennybc element named filename preferred i m sure parse yet targetting filename https toolsietforghtmlrfc6266,CODE
i know i could use regex lookahead easier maintain,CODE
todo consider setting verbose false,CODE
todo using authtoken provided argument s passed along,CODE
todo honor default branch,CODE
creates backdoor exploit tests,ARCHITECTURE
errors token nt check,DEFECT
todo forward info credentials package available https githubcomrlibcredentialsissues6,DESIGN
todo rework ui functions make possible better,CODE
todo make attractive,CODE
ca nt label level ie oldlabelname newlabelname fails newlabelname already exists https githubcomrlibusethisissues551 must first patch issues sort labels,DEFECT
todo honor defaultbranch,VERSIONING
todo used usable gitsitrep currently uses oneoff code checking token,VERSIONING
assumptions issue number called issuenumber make sure tweak endpoint necessary full check github remote config done userfacing caller here determine repospec naive local way the remote config check also expose lack pat,VERSIONING
todo suggest git rm r cache docs ca nt currently detect git known files directory,VERSIONING
todo honor default branch,VERSIONING
todo turn interactive choice if uncommitted changes i think branch switch always fail otoh s harm letting happen ie risk something partially,DEFECT
todo honor default branch,VERSIONING
todo honor default branch,VERSIONING
todo honor default branch,VERSIONING
have done check ve cached prurl git config,VERSIONING
todo honor default branch,VERSIONING
todo honor default branch,VERSIONING
todo checking re master default branch,VERSIONING
todo address home directory help clarify fs issues windows homeusethis fs pathhome homer normalizepath,ARCHITECTURE
approaches based availablepackages andor installedpackages present several edge cases requirements gotchas application hardwiring seems good enough,BUILD
todo uiinform,CODE
todo jennybc correct case selection cancelling,CODE
the following block used usethis automatically manage roxygen namespace tags modify care usethis namespace start,BUILD
todo present useful overview situation,DOCUMENTATION
todo properly pluralize commit i switch cli,VERSIONING
todo consider offering push,VERSIONING
assuming s origin upstream,VERSIONING
todo say whether user push parent upstream,VERSIONING
work,CODE
cleanup,CODE
delete private test repo github browser wish todo nice add gh code,TEST
repo chosen first one listed cran gh user day i made ie s totally arbitrary,TEST
make sure local copy exist error nt preexist,DEFECT
work,CODE
work,CODE
annoyingly slow automated tests mention bit fragile,ARCHITECTURE
if session temp directory appears within project large scale spurious test failures the ide sometimes leaves rproj files behind session temp directory one parents delete files manually,TEST
cran s mac builder sets home readonly ram disk tests fail even tickle something might try lock s config file operation eg git simply test writeability,TEST
testing editxxx user travis appveyor i nt want risk creating userlevel files de novo actual user would obligate nervewracking clean,TEST
run manually already files happy delete,TEST
run manually already files happy delete,TEST
run manually already files happy delete,TEST
ever depend recommended package could beef test bit,TEST
test started fail usethis imported lifecycle currently gert branch nt seem worth digging skip good enough,DEFECT
github remote configuration sparse start somewhere,VERSIONING
we ve already encountered wild here s happens rpkgsgh created user forks clones origin usergh upstream rpkgsgh parent repo becomes rlibgh due transfer ownership owner name change now upstream looks like point fork parent,DEFECT
hand vs via withr windows appears unwilling delete current working directory,DEFECT
empty values temperature file cause errors excuting if calculate max window,DEFECT
create new x matrix need modify noise added variable blocks instead fixed blocks,DEFECT
todo make axis lines match date positions buildinfo ggplotbuild p geombar histbarperc buildinfo data ncount,CODE
function filter nt work,DEFECT
hack remove warning message cuz nt listen suppress messages,CODE
narm true remove warnings na cf statcount xwidth control size tiles,CODE
the following block used usethis automatically manage roxygen namespace tags modify care usethis namespace start,DOCUMENTATION
could theoretically work like mtc mtcars mtc asfactor mtc mtc cyl asfactor mtc cyl ggfacet mtc columnsy c columnsx c cyl fn function data mapping ggplot data mapping geomboxplot,CODE
copied old code want replace something like,CODE
fix args,CODE
copied directly reshape import difficulties rescalerdefault,BUILD
fix missing min10 box goes true min,DEFECT
user interested ordering variation one class rest add later,CODE
unresolved bug character vector to explored,DEFECT
this file takes long,ARCHITECTURE
turn progress quick plot todo turn test back uses message properly testthat expectmessage print pm2 progress true,TEST
problem here would vertexnames equal testlabels expectequal get data p layers label testlabels,DEFECT
could nt get correct error message variables colour non standard format totalbill tip expecterror ggpairs tips mapping ggplot2 aes color totalbill tip variables colour non standard format nolint expecterror ggduo tips mapping ggplot2 aes color totalbill tip variables colour non standard format nolint,DEFECT
note dropped colors stwarp fixed stars,CODE
might confusing gridx grid lines xaxis vertical,USABILITY
trick coordinates,CODE
todo hist fillhist isportrait,CODE
types always work,DEFECT
need automatic check change default,TEST
raster shape reprojected,ALGORITHM
todo update smoothmap sf,CODE
todo convert fact tolerance,CODE
trick also used v12 prevent clipping frame border,CODE
shortcut used tmapsave,CODE
tidy eg removenafacets function g type aes xs g xs lapply g xs function gi gi ef drop false lname sapply aes function paste legendlabels sep oname unlist lapply aes function paste c legendlabels legendvalues hname paste aes legendhistmisc sep vname unlist lapply aes function paste c legendshow legendtitle fname paste type nonemptyfacets sep g lname lapply g lname function gi truncatelabels gi ef g oname lapply g oname function gi truncateother gi ef g hname local gi g hname gi values truncateother gi values ef gi breaks truncateother gi breaks ef gi g vname lapply g vname function gi gi ef g fname g fname ef g xs lapply g xs function gi truncatevec gi ef gfill removenafacets gfill fill fill xfill glines removenafacets glines line c linecol linelwd c xline xlinelwd gsymbol removenafacets gsymbol symbol c symbolcol symbolsize symbolshape c xcol xsize xshape,CODE
for windows convert version work box install legacy files eg convertexe nt checked,DEFECT
layer control include base layers true basemaps namesgroups specified,ALGORITHM
to do add layerid layerid tmap401 number polygons,DEFECT
possible check provider options since leaflet providers exported,BUILD
checking make sure qc labels unique qcinx toupper substr smplnms qc old code delete,CODE
checking make sure qc labels unique qcinx toupper substr smplnms qc old code delete,CODE
subset argument rlm work correctly number levels diminished result get singular matrix solution take unused levels fitdf object,DEFECT
https cranrprojectorgwebpackagessoftimputevignettessoftimputehtml an n matrix nas todo tune parameters rankmax lambda,CODE
temporary var leftover old times…,CODE
ok,CODE
yuliya use pres matrix deal anyways need narrow peptides,ALGORITHM
need done,CODE
take observed values may needed r works,CODE
use try entirely sure need modt need solve lm,CODE
rownames rv normalized row names assumed unique peptide ids unique,CODE
need wrapper diag min n,CODE
yuliya sept i get around without using h,CODE
tom s code sticking tom s variable name,CODE
yuliya sure needed needed group normalizaiton res0 res0 h res0 yuliya sept removed line do think needs done center peptide around zero subtract mean across samples note changing matrix centerig pass svd,CODE
tom,PEOPLE
need diag,CODE
yuliya check pvalues tom mean value,PEOPLE
psv ii mean dstat0 ii dstat ii compared mean should dstat0 ii,CODE
else shall allow at least objects class linkglm,ALGORITHM
update case norm filtered,CODE
error model converged,DEFECT
nt seem need asvector,CODE
todo also override data used recent trace,CODE
todo generate matrix users z vector xy null throw error xyz vectors length x length length z convert z matrix,CODE
todo make sense train matrices2dtables eg z,CODE
todo provide better way clean highlevel attrs,CODE
map special plotly arguments plotlyjs trace attributes note symbollinetype modify mode applied first todo use legends create legends discrete mappings https githubcomplotlyplotlyjsissues1668,CODE
annotations shapes must array objects todo add anything else,CODE
fix warning removed new version,BUILD
check need filtered reference metabolome todo address following filtering smpdb needed,ARCHITECTURE
got error incorrect number dimensions added dropfalse avoid vector conversion,DEFECT
got error incorrect number dimensions added dropfalse avoid vector conversion,DEFECT
need update cls labels,CODE
need update cls labels,CODE
need update cls labels,CODE
redundant msetobj dataset copies,CODE
removed setcurrentdata never used,CODE
map enids kegg orthologs todo run function specific species,CODE
todo refactor following part code better readability,CODE
todo map based specific selection species,REQUIREMENTS
todo combine results hitsedge hitsnode without applying lapply hitsquery,CODE
todo change species,REQUIREMENTS
todo change inf specific value based type uploaded scores,CODE
todo check need compound filtering eg dokeggcmpdfiltering,CODE
todo fix code handle case length currentcmpdset length currentgeneset then start loop currentcmpdset,DEFECT
tested walktrap work method need compute weights edges node inx,TEST
todo avoid attach hmdb matched ids list compound nodes,CODE
other parameters none,CODE
left old fix error later,DEFECT
this could be place to add noise filter to make speed faster,ARCHITECTURE
corner case error options,DEFECT
corner case error measurements identical,DEFECT
estimating clustering based hard coded vexp threshold,CODE
error,DEFECT
and,CODE
todo change samplena samplenumber,CODE
remove features missing x samples per group valid group comparisons,DEFECT
have adjust,CODE
workaround localmax fails otherwise,CODE
fix issue,DEFECT
bug workaround,DEFECT
expand one side consistent old code,CODE
return null ve got less samples required total number peaks larger certain threshold note original implementation completely correct nsamp nsamp extrapeaks might correct,CODE
for nt allow nas x,CODE
restrict ms data,ALGORITHM
calculate error,REQUIREMENTS
sort im fix bug high ppm mzabs values todo find better solution give feedback user,DEFECT
todo change generell ajc interface,CODE
hydrogen part hard coded,CODE
spectrum annotated isotope peaks without monoisotopic peak give error warning,USABILITY
intrinsic charge todo not working moment,DEFECT
bhan color choosen makes error,DEFECT
bhan color choosen blackwhite makes error names uniqcols legendnm,DEFECT
get coef table error class unbalanced,DEFECT
bhan color choosen blackwhite makes error names uniqcols legendnm,DEFECT
na gives error w hclust,DEFECT
names may long,CODE
names may long,CODE
names may long,CODE
names may long,CODE
names long,CODE
permute factor faster permute data matrix,ARCHITECTURE
aalen s additive regression model originally tried call coxph certain options but found passing model method nt work optional things like weights so first portion essentially coxph set coxphdetail for distribution variance test omitted not aspects yet supported downstream printing,DEFECT
coefficient step aalen s plots if keep one row coefficent per death aalen s variance coef coef treating coef col vector if kept one row per death ndeath nvar nvar variance matrices would need kept so keep row per event things like plot end accumlating there cheat dfbeta kept unique deaths p p matrices special case covariate,DESIGN
frailties nt work due mutability,DEFECT
avoid error message qgamma,CODE
special trickery matched casecontrol data number strata huge n per strata small compute time becomes excessive make data one strata disjoint time intervals,CODE
case integer,CODE
cargs trick nice one copies arguments present if ranks specified default false set we keep arg list match documentation,REQUIREMENTS
a nuisance left continuous km,CODE
a special case null model trick c code requires least one variable creating one iterations beta0,CODE
interger data just case,CODE
rval residuals resid good enough code expects order components coxph object never change residuals right means,ARCHITECTURE
avoid grabbing accident due partial matching x fit x get fit xlevels good,CODE
confusion fit strata,CODE
fix later,DEFECT
verbose return messages useful debugging,CODE
depricated use ratetable function,CODE
this already checked pyears survexp,CODE
this check could sophisticated though i nt see we want make sure alldate line makes sense data types user passed,CODE
adding front trick check term,CODE
we ca nt use asinteger oldstrat index oldstrat factor variable unrepresented levels asinteger could give instance,CODE
per subject strata needed,ALGORITHM
tedious build coef matrix term time,CODE
coxphms object work around issue printcoefmat print group group,CODE
case length,CODE
toss useless,CODE
why ca nt i fudge object call quantilesurvfit because code uses subscripted objects class chimeric object nt work operation but importantly i nt know quantile would defined,DESIGN
case cmap columns i nt need i nt think happen,ALGORITHM
i think impossible debugging line,ALGORITHM
case harder since involves points case user nt,ALGORITHM
why temp1 instead pmax temp1 line when temp1 zeros first expression gives vector shorter temp1 ifelse nt work right due mismatched lengths,CODE
compute number risk if stime ptime310 temp1 nrisk looking ahead approx nt work stime length,DEFECT
the cbindrbind methods cause trouble solve,CODE
this common code survpenalfit coxpenalfit it s bookkeeping set penalized callbacks this code development yet used anything false keeps distribution,BUILD
next line debug code survcheck2 visible users survival call directly,DESIGN
automatically generated noweb directory replaced concordancer this code frozen deprecated,CODE
automatically generated noweb directory replaced concordancer code frozen eventually deprecated,CODE
save copy call documentation deprecated concordance,DOCUMENTATION
old style argument,CODE
if model interactions print long warning message people may hate i nt see another way stamp bad curves without backwardsincompatability i probably complain factors never strata cluster term,USABILITY
throw away status s never used,CODE
if model interactions print long warning message people may hate i nt see another way stamp bad curves without backwardsincompatability i probably complain factors never strata cluster term,USABILITY
a design decision long ago not include time returned survival curve a bad choice retrospect in code pstate less p0 even utime stime the curve immediate drop,ALGORITHM
ndots length simplest avail r ndots length list fails missing eg fit workaround,DEFECT
it s hard get next error message malice eg survfit wtsurv time status,CODE
case someone integer weights,CODE
soon first issue deprecated coxsurvfit survival,CODE
will right censored counting the calling routine used strata x factor unused levels but case user called,CODE
fix scale output,DEFECT
fix scale output,DEFECT
otherwise influence pstate nt align ndots length simplest avail r ndots length list fails missing eg fit workaround,DEFECT
columns strata id,CODE
aitkin nt work,DEFECT
lines debugging change true turn printing,CODE
beware strata covariate interactions needed modelmatrix later,CODE
the algebra behind glim trick nt work use intercept fit zeros coef order frailty intercept covariates sigmas,ALGORITHM
case gave list object,DESIGN
comment next line function uses variance isfunction dlist variance errlist c errlist missing invalid variance function,CODE
the tcount matrix useful debugging,CODE
we nt look topt id what user idclinic starting data set also variable named id we want clinic first call,REQUIREMENTS
fix times,DEFECT
needed,CODE
needed,CODE
now hand,CODE
graph useful debugging,CODE
older style call,CODE
difftimes pita,CODE
they agree right,CODE
i nt match answers i think i m right,CODE
graph useful debugging,CODE
data courtesy bercedis peterson duke university v4 survreg fails due groups subject coef easily gets hand in fact data set toughest test minimizer a shrinkage model coefficient therefore interesting,TEST
the line tricky took long time realize s necessity the range age1 range age that age2 range females the basis functions pspline based age if i used datalung subset sex2 fit3b earlier form test pspline function called subset occurs fit3b different basis second spline fit3 leading failure allequal tests a theta one basis exactly theta coefficients within,ARCHITECTURE
old form,CODE
this next fails with startstop data number risk intermediate endpoints known precisely since underlying routine report time points addition occured,DEFECT
quite close fitfg2,CODE
todo get names data object save separately provide function load,CODE
try creating even s old temp dir this nt ideal would like rather say s temporary directory use current one,ARCHITECTURE
todo can configure documentation yaml,DOCUMENTATION
todo objects changed,CODE
todo objects changed,CODE
todo test documented everything successfully files parsed successfully,DOCUMENTATION
todo maybe copy files html rmd,CODE
work directory ignored,CODE
tell r cmd check treat bstsoptions global variable avoid false positives long bsts version 07x published todo alhauser remove bsts version 07x published,BUILD
todo kbrodersen compare summary intervals,CODE
todo alhauser check content error message assertthat produces meaningful messages r currently error message r says actual error message invalid,TEST
commented firstlastgames week21 setnames rep asposixct asnumeric scheduledata week21 match1 origin c first last,TEST
suppress r cmd check note,BUILD
trick r cmd check,BUILD
essential cbindrbind work properly,CODE
dummies trick r cmd check,BUILD
todo type specified set type na wait final call ascognostics infer type make sure,CODE
todo make sure condcols unique keycol unique,CODE
add name make extra descriptive todo remove visual grouping done,CODE
character vector facet columns todo need work facettrelliscope disp,CODE
todo check sort state,CODE
todo check filter state,CODE
hacky way check rmarkdown notebook,CODE
todo warn width height small,CODE
todo check wwwdir tempdir handle warn appropriately based selfcontained etc,CODE
todo add state validation,TEST
hacky way get condcols ideally d use groups dplyr peels one group summarise know grouped variables show first iterate combination unique,CODE
hacky way see tbl sorted summarise none facet variables still sorted another variable user must sorted variable note detect firstorder sorting,CODE
todo add also correlation filter significance require least nsignif correlations,CODE
construct example data df ensure samples given order metadata hitchip data fixme removed official phyloseq package fixed retain factor level ordering,DEFECT
todo add averaging replicates this challenging decide merge metadata to safe side could merged identical replicates will require checks,CODE
todo add optional renormalization core member abundances would sum,REQUIREMENTS
todo add support taxonomic levels,REQUIREMENTS
as far i understand problem running error limit not fault user instead i d argue responsibility package developers make sure unregister registered dlls package unloaded a developer adding following package onunload function libpath librarydynamunload utils packagename libpath,DEFECT
todo neatmap options xo neat mat method nmds distance euclidean firstrow vdp03231 firstcol paraprevotella,CODE
rearrange matrix fixme could better done cast,CODE
todo harmonize completely matrices vs phyloseqs,CODE
define new sample ordering based ordination quick fix scores function fails otherwise,DEFECT
fixme capitalize arguments rename groups groups factor factor,CODE
todo add option calculate pca different distances using distance argument assumes default altered,CODE
todo add robust pca pcrob princomp stackloss covmat mass covrob stackloss,ARCHITECTURE
fixme most time log10 used microbial abundances log change consistency,CODE
fixme bw assumed this may far optimal should determined automatically,CODE
todo add optional renormalization core member abundances would sum,ALGORITHM
todo add automated recognition type,REQUIREMENTS
fix sample metadata original input,DEFECT
todo make readphyloseq well,CODE
hacky global switch uses fact blocks parsed one another set markdown onoff block,CODE
cmark bug reporting source positions multiline code tags count indenting space continuation lines however bug might get fixed later simply error multiline inline code,DEFECT
fixme check empty exports ie name,BUILD
if nt exist nt document,DOCUMENTATION
workaround dupes occur perhaps nt cf https githubcomrlibroxygen2commit83d125dce50a072534988787d49ffe206d19b232 commitcomment6742169,CODE
wrapusage uses u a0 unicode nonbreaking space necessarily valid windows locales usebytes quick hack fix problem,CODE
need fix link point file,CODE
ascharacterrd appears missing href twoargs code hacks body function add,CODE
update anymore,TEST
todo include predictfun type,CODE
todo include predictfun type,CODE
suppressing r cmd note,BUILD
a bit stupid adding rug special handle categorical feature numeric feauture plot,USABILITY
suppressing note r cmd check,BUILD
extra fix caret renames target data,CODE
currently used,CODE
todo implement weight recordings weighttfidf attr weighting chr term frequency inverse document frequency tfidf attr weighting chr term frequency inverse document frequency normalized tfidf weighttf attr weighting chr term frequency tf weightsmart attr weighting chr smart ntc smart eg,REQUIREMENTS
normalize eol windows old macintosh,CODE
treat fixed glob character detected,CODE
todo replace ntoken,CODE
todo replace ntype,CODE
clean,CODE
needs two spaces clean,CODE
clean clean,CODE
glob treated fixed neither found,CODE
internalonly aliases backward compatibility todo removed year april,CODE
todo consider removing,CODE
function exported exist violates grammatrical rules quanteda inputs character outputs tokens starts tokens,DESIGN
necessary currently subset yet implemented dfm objects,CODE
united states america occurance,CODE
fails expectequivalent dtmq dfmtm,TEST
rbinddfm todo test classes returned,DEFECT
todo add function testing equality dfms,TEST
also ordered expectation,CODE
wrong,DEFECT
raises error mincount high,CODE
fails expectequivalent textstatdist mt method maximum asmatrix asdist stats dist asmatrix mt method maximum,TEST
fails,TEST
fails,TEST
fails,TEST
fails,TEST
stats chisqtest wrong small tables,DEFECT
proxy dist also incorrectly produces symmetric matrix,DEFECT
debug,CODE
debug https scheme supported internal method methodauto may resolve issue if method autho chosen default on unixlike method libcurl used except internal file scheme on windows wininet method used apart ftps scheme,ARCHITECTURE
fixedme better expr macos,DEFECT
fixedme better expr linux,DEFECT
fix break dependencies,BUILD
fix break dependencies v c object xmin object xmax object ymin object ymax c3 isinfinite v c3 stop invalid extent infinite value return c1 c2 c3,BUILD
apparently happen,DEFECT
assuming values,ALGORITHM
,CODE
keep correct ids future versions rgeos intermediate step wo nt necessary,CODE
old function used,CODE
backward compatibility issues non fatal mistakes,CODE
match i think,CODE
done c,ARCHITECTURE
keep canprocessinmemory debugging need test see much igraph deal,TEST
pixeltype work gdal perhpas arcgis see http listsosgeoorgpipermailgdaldev2006october010416html,ARCHITECTURE
to do make function block combines data single histogram,CODE
development,CODE
allow index vector,CODE
cell set na na layer that ideal easier quicker,CODE
need better,CODE
probably probably,CODE
not used,CODE
todo warnings thought nsidc work,CODE
relevant consistency,CODE
implemented,CODE
removed released sp crs,CODE
etc,CODE
tested much,TEST
tested much,TEST
barely tested,TEST
old idrisi format,CODE
currently single layer,REQUIREMENTS
check,TEST
could done much efficiently,ARCHITECTURE
creates problems large integers perhaps needed causes problems merge uniquecells asinteger uniquecells using round,ARCHITECTURE
reverted slow,ARCHITECTURE
compare projections x,CODE
removed,CODE
hack make sure arcgis assume values integers first values decimal point,CODE
could wild guesses avoid problems software sure cure would worse could option,CODE
hack make sure arcgis assume values integers first values decimal point,CODE
backward compatibility,CODE
backward compatibility,CODE
for follow code need update later create possible wpa values,CODE
for treat overtime adjust accordingly afterwards overtime plays,CODE
do not export,DESIGN
do not export,DESIGN
do not export,DESIGN
do not export,DESIGN
do not export,DESIGN
do not export,DESIGN
for hard coded fix drive patriots vs tb game empty drive list,CODE
gamepbp scrapehtmlplaybyplay gameid checkurl this added later,CODE
tackle loss information tricky one,CODE
solo tackler information tricky one,CODE
nocov nocov,TEST
nocov nocov nocov,TEST
nocov nocov,TEST
nocov nocov,TEST
nocov nocov nocov,TEST
nocov nocov,TEST
nocov nocov,TEST
nocov nocov,TEST
nocov nocov,TEST
nocov nocov,TEST
nocov nocov,TEST
nocov nocov,TEST
nocov nocov,TEST
nocov nocov,TEST
nocov nocov,TEST
nocov nocov,TEST
nocov nocov,TEST
nocov nocov,TEST
nocov,TEST
nocov,TEST
get groups samples bind together grouping information always retained ll recreate full set groups data frames bind,ALGORITHM
nothing moment,CODE
nocov,TEST
nocov,TEST
nocov nocov,TEST
nocov,TEST
get groups samples join together grouping information lost actually groups first data frame join retained ll recreate full set groups data frames join,CODE
specs containing empty dimensions eg mu mu k produce dimensionnames ca nt use empty variable names replace drop placeholder drop columns later todo probably better way,ARCHITECTURE
must give blank dimension column unique name otherwise spread wo nt work,CODE
nocov,TEST
nocov,TEST
nocov,TEST
nocov,TEST
nocov,TEST
get test pass brms versions nt output levels anymore,TEST
runjags progress output i ca nt seem turn hence captureoutput also seems break wrt nchains run global environment nchains set hence evalq garbage,CODE
codasamples progress output i ca nt seem turn hence captureoutput,CODE
test model kind dumb jagsui nt seem allow input data i feeling lazy modifying test models runjags rjags work api,TEST
adjust filename fixme adjust also directory names hb,CODE
encode tilde unless first character fix me needed hb,CODE
note fields setdiff fields excludefields also remove duplicates,CODE
not needed anymore,CODE
nothing todo,CODE
nothing todo,CODE
this makes r rna is want hb,REQUIREMENTS
not needed anymore,CODE
not needed anymore,CODE
not needed anymore,CODE
not needed anymore,CODE
workaround tools compactpdf paths compresses pdfs paths length paths working temporary directory,CODE
workaround tools compactpdf paths handle spaces filenames,CODE
not needed anymore,CODE
ad hoc it may happen case drive letters differ,CODE
to please r cmd check object x,BUILD
not needed anymore,CODE
if expr ii missing ignore error this happens instance expressions like x fixme is better way hb,ARCHITECTURE
not needed anymore,CODE
this workaround make sure connection opened inside trycatch statement closed,CODE
this actually redundant fileexists test keep make explicit,CODE
try list directory will take lot time,ARCHITECTURE
note identifying mapped drives introduces delay should memomized hb,CODE
ad hoc needed instance xml attached,CODE
backward compatibility treat empty path specially,CODE
can replace base pathexpand hb does tilde expansion to avoid tmp tmp,CODE
treat current working directory backward compatibility,CODE
warning error,CODE
nothing todo,CODE
not needed anymore,CODE
2a workaround fileinfo c gives na use c instead see r problem cf https bugsrprojectorgbugzilla3showbugcgi id15302,CODE
bug,DEFECT
not needed anymore,CODE
should take care case,CODE
write output temporary file fixme do worry encoding hb,CODE
workaround r,BUILD
the working least windows may induce negative where seek nt seem work hb starting positions double order address larger vectors offset seek concon origin start rw read get current file offset offset idxs idxs offset,DEFECT
not needed anymore,CODE
not needed anymore,CODE
not needed anymore,CODE
should colclasses found using regular expression patterns,CODE
not needed anymore,CODE
not needed anymore,CODE
not needed anymore,CODE
not needed anymore,CODE
not needed anymore,CODE
workaround fact getanywhere accepting string,CODE
workaround base unlink support paths leading tilde cf https statethzchpipermailrhelp2010october254998html hb,CODE
might slow,ARCHITECTURE
workaround some web browser wo nt open files mapped windows drives here undo mappings eg x foobarhtml c pathtofoobarhtml,DEFECT
workaround browseurl foobarhtml work windows calls shellexec foobarhtml works s shellexec foobarhtml,DEFECT
not needed anymore,CODE
workaround windows,DEFECT
nothing todo,CODE
workaround symbolic file links windows only files zero size candidates symbolic links,CODE
nothing todo,CODE
nothing todo,CODE
not needed anymore,CODE
