comment,debt
reorgan test class,code/design_debt
spark31862sql remov except wrap aqe chang propos pull request remov excess except wrap aqe error messag less verbos most consist nonaq execut except stage materi wrap sparkexcept multipl stage failur also stage cancel error includ part except thrown rather error log chang need make aqe error report readabl debugg introduc userfac chang patch test updat exist test close 28668 maryannxuespark31862,code/design_debt
temporari test code,test_debt
cloudstack6181 specifi valu rootdisks paramet add bytesgb log except messag fix gbgb,code/design_debt
optim longestmatch delimit algorithm longestmatch function call everytim delimit found file type function notic hotspot although like worst case current longestmatch algorithm could entir match list time find locat earliest match remov match start later locat find longest length remain addit use various scala function caus new list alloc caus slower perform modifi algorithm match list keep track first longest match seen addit function code replac iter code perform last replac seq arraybuff guarante constant append constant random access match sequenc also add earli return case one match probabl like case dfdl992,code/design_debt
ignite12339 remov outdat properti isdistribut vector matrix class 7026,code/design_debt
spoi2486 resolv comment workaround maprfilesystemgetschem,code/design_debt
updat doc extens 9218 updat doc avro extens doc updat googl cleanup,documentation_debt
cleanup xbean version,code/design_debt
hive9381 hcatalog hardcod maximum append limit 1000 sushanth sowmyan review daniel dai,code/design_debt
acidptr tweak test bit robust,test_debt
hdds1597 remov hddsserverscm depend ozonecommon 969 hdds1597 remov hddsserverscm depend ozonecommon contribut elek marton checkstyl fix revert import reorder hddsutil add javadoc switch back commonslang2 fix typo fix metric core classpath problem rebas fix,documentation_debt
debug log,code/design_debt
hbase7066 hmaster coprocessor except swallow tri catch block revert,code/design_debt
multipl thread safeti,requirement_debt
merg pull request 4724 add log around bigqueri job add log around bigqueri job,code/design_debt
geode3290 remov effectivelydead class filterchain localfilterchain remotefilterchain close 653,code/design_debt
simplifi sql metadata storag,code/design_debt
remov retri logic doesnt work correct result 50x retri doesnt make sens given singl call mutationexecut result 10x retri polici,code/design_debt
add pattern ignor urfunreadpublicorprotectedfield findbug warn,code/design_debt
unus import,code/design_debt
spark1397 notifi sparklisten stage fail cancel want post folk comment depend thus includ chang current outstand 305 look second commit httpsgithubcomkayousterhoutspark1commit93f08baf731b9eaf5c9792a5373560526e2bccac see chang relev previous stage fail get cancel sparklisten notifi indirect sparklistenerjobend sometim pass singl stage fail work job cancel job would fail due singl stage failur howev job cancel multipl run stage fail job get cancel right handl correct result stage get stuck run stage window even though they re dead chang sparklistenerstagecomplet event sparklistenerstageend event use event tell sparklisten stage fail addit complet success chang public backward compat two reason first chang sparklisten interfac could altern add new event sparklistenerstagefail keep exist sparklistenerstagecomplet howev less consist listen event task job end result code duplic listen fail complet stage handl similar way note haven t finish updat json code correct handl new event i m wait feedback whether good bad idea henc wip also backward compat chang public visibl jobwaiterjobfail method longer includ stage caus failur think chang definit stay cancel describ failur isn t necessarili caus singl stage close 309 kayousterhoutstagecancel squash follow commit 5533ecd kay ousterhout fix respons mark review 320c7c7 kay ousterhout notifi sparklisten stage fail cancel,code/design_debt
bigtop1684 make contain executor configur make option contain executor configur work around executor crash startup bannedus set see httpsissuesapacheorgjirabrowseyarn2847 also synchronis yarnnodemanagerlinuxcontainerexecutorgroup set yarnsitexml what actual use filesystem containerexecutorcfg,code/design_debt
fix test relat index process 10631 fix test relat index process three bug fix index would announc segment server storag locat defin use work broken 9971 fix ad issegmentserv method servertyp updat segmentloaddrophandl alway announc method return true certain batch task type written way assum isreadi would call run guarante particular reli order initi tasklockhelp fix updat abstractbatchindextask ensur isreadi call run task unifiedindexerappenderatorsmanag proper handl complex datasourc introduc datasourceanalysi order fix test chang add new dockercomposecliindexeryml config spin index instead middlemanag introduc useindex environ variabl determin dockercompos start index middlemanag duplic jdk8 test run middlemanag index mode various adjust encourag failfast error docker build script various adjust speed integr test reduc memori usag add anoth macspecif approach determin machin use develop machin updat segmentcount check itcompactiontasktest elimin race condit look segment exist togeth briefli older mark unus javadoc updat abstractbatchindextask ad javadoc determinelockgranularityxxx make clear tasklockhelp initi side effect relat second bug task clarifi isreadi guarante call run alreadi impli explicit zkcoordin clarifi deprec messag datasegmentserverannounc clarifi deprec messag fix stopclust script fix saniti check script fix hashbang line test doc adjust addit test adjust test split back revert chang druidcoordinatorperiodindexingperiod set index capac match bump histor memori bump coordin overlord memori bump broker memori,test_debt
artemis350 small improv writabl logic,code/design_debt
ad miss licens notic file camelcmsm compon,documentation_debt
ad elementhelperlegalkeyvalu paramet give better except messag gremlin user travers use parameterizedstep addv fix tinkerpop1324 ctr,code/design_debt
test graph op skipstal,test_debt
add file chang detect mechan 4475 add file chang detect mechan fix format make file content chang monitor easier add secondari round chang check result updat support multipl file chang monitor,code/design_debt
jav163 simplifi trace collector address config,code/design_debt
get rid noinspect comment move result express statement assumpt use assumpt call intend need noinspect anymor,documentation_debt
javadoc,documentation_debt
hbase16680 reduc garbag bufferchain,code/design_debt
hdfs4216 ignor quotaexceededexcept ad symlink,code/design_debt
karaf1951remov workaround karaf1117,code/design_debt
trafodion2984 remov redund statement,code/design_debt
updat ratetrack thread safe accur fast remov subsampl rate calcul disruptor subsampl expens calcul,requirement_debt
ambari18324 extern skip repo url check ambariproperti instead hardcod ambari java code dili,code/design_debt
solr6892 improv way updat processor use make simpler,code/design_debt
spark20606ml remov deprec method chang propos pull request remov method deprec patch test exist test close 17867 yanboliangspark20606,code/design_debt
ts637 remov updaterecordscc also cleanup discrep use localmanag defin sort mess honest ought clean better long term,code/design_debt
lucene2037 add support lucenetestcasegetnam backward compat report fail test also remov intercepttestcaseev class ad anonym class simplifi reflect,code/design_debt
disabl flaki test testconv gluon 11507,test_debt
hotfixtablecommon fix minor typo objectidentifi,documentation_debt
redund type argument,code/design_debt
camel15865 camelgithub authent usernamepassword remov longer possibl github,code/design_debt
ts1146 consist appli 2char indent,code/design_debt
fix audit new bulk import remov warn 523 fix audit new bulk import remov warn fix bunch warn ensur new bulk import request audit remov unneed deprec intern impl code old bulk import remov unnecessari serializ new bulk code map inform use new bulk import test specif test old bulk import behavior remov unus variabl test left comment refer ongo improv client configur code,code/design_debt
reorg import,code/design_debt
chang cdnname cdndomainnam deliveryserviceinfofordomainlist look like typo tri get deliveri servic domain name mid cach come cdn name,documentation_debt
remov debug statement test releas note moemigratedrevid114886024,code/design_debt
hotfixtableplannerblink fix redund line break plan xml copi xmloutput calcit remov redund line cdata section file remov bump calcit 122,code/design_debt
tobago1212 use jsr 269 pluggabl annot process api test check overwritten method treenod deprec attribut,code/design_debt
thrift926 cpp fix destructor behavior tfiletransport set close true wake writer thread destructor way writer thread flush data exit woken previous writer thread could end go full timeout cycl exit writer thread could wake notic noth sinc close set immedi back sleep destructor would proceed call flush would wait writer thread wake full time clear forceflush flag flush return destructor would set close could take writer thread anoth full timeout wake process flag also point worker thread would detect close state loop automat close file zero file descriptor destruct attempt close file fix simpli zero point,code/design_debt
hadoop1868 make default configur respons,code/design_debt
delet debug comment,documentation_debt
accumulo2789 ad paramet control number cell within row run stress test possibl configur writer send mutat row contain random amount column updat control via minrowwidth maxrowwidth rowwidthse paramet intern shuffl make random generat number within rang conveni see new randomwithinrang class detail,code/design_debt
extract newsystemt method unus code cfmetadata patch jbelli,code/design_debt
make servcenow test configur easier,code/design_debt
clean cdns account cdn packag,code/design_debt
polish camelftp ad miss unit test tri close apach ftp server bamboo happi better handl except thrown ftp consum stop etc,test_debt
systemml1357 fix valu type promot scalarscalar oper patch fix various inconsist valu type promot scalarscalar binari oper shown recent saniti test includ testsuit furthermor also includ rework function scalar object forc proper implement subclass comparison index function remov unnecessari redund doublelong execut clone languagedepend string handl remov unnecessari except handl final also includ problemat testcas testsuit referenc current data generat algorithm script,code/design_debt
merg pull request 1246 dneuman64mast remov unus import,code/design_debt
fix hard code string stratosinstal setupsh script,code/design_debt
ts4196 memori leak mainthread shutdown close 467,code/design_debt
implement availableportisportavail multicast availableport util support find free multicast port sinc featuregeode77 merg develop branch chang set enabl old multicast code availableport implement check respons datagram jgroupsmesseng jgroup transport method receiv packet overridden look datagram respond also renam availableportjgroup availableportmulticast describ kind port that test littl better,code/design_debt
convert internalinsert use moreeffici rowmut constructor,code/design_debt
cleanup,code/design_debt
beam9543 fix code style,code/design_debt
ad predic helper header method build easier power express predic,code/design_debt
chang indent,code/design_debt
chang tm2 manag param multilin chang function definit call put param line manag larg number paramet make easier read make diff better fix 2012,code/design_debt
cleanup stax depend longer need,code/design_debt
hbase4054 usabl improv htablepool,code/design_debt
indent,code/design_debt
hadoop16157 cleanup remov null check instanceof azurenativefilesystemstor,code/design_debt
matrix fix start index extract function jira madlib1006,code/design_debt
preliminari version naiv bay todo translat python resolv secur issuescod inject,requirement_debt
guac676 convers guacamoledisplay wasnt finish transfer other still direct use layer,requirement_debt
fix typo mockproduc javadoc 4606,documentation_debt
camel7731 fix typo,documentation_debt
fix typo document,documentation_debt
spark11443 reserv space line trimcodeblocklin function includeexamplerb remov blank line code close 9400 yinxusenspark11443,code/design_debt
lucene4666 simplifi compressingstoredfieldsformat merg,code/design_debt
73744 csv perform improv text serial csv write output writabl densesparseempti serial,code/design_debt
stream streamrecord remak cleanup,code/design_debt
add abstracttransformingenrich make easi write enrich combin sensor amend type hierarchi enrich updat shellutil,code/design_debt
add quantize support gluoncv 15754 enhanc quantize api integr gluoncv solut support gluon ssd enhanc api enhanc exampl script add wildcard match exclud layer support int8 dtype paramet enabl datait api use tri method add unit test quantiz gluon fix lint fix lint fix temporari directori python2 fix lint fix tri import add todo trigger,requirement_debt
remov dead alldoc code,code/design_debt
camelsapnetweav compon work progress,requirement_debt
ad saml sso test,test_debt
arrow3882 rust cast kernel type implement cast kernel arrow type limit complet cast structarray support cast listarray nonlist array support cast incompat primit type support tempor boolean close 3797 nevimearrow3882 squash follow commit 67c3ab3 wakahisa merg branch master arrow3882 0f42cd1 nevill dipal replac cast macro generic function 66acfb3 nevill dipal move castkernel kernelscast 9784313 nevill dipal fix doc comment 04c7307 nevill dipal boolean cast document error handl 4a8906b nevill dipal cast binari numer c3b8961 nevill dipal use arrow cast datafus ae9509c nevill dipal arrow3882 cast kernel type,requirement_debt
polish,code/design_debt
fill miss test coverag druiddatasketch postagg 9730 fill miss test coverag druiddatasketch postagg fixup fixup merg oop oop,test_debt
mark test slow take near minut,test_debt
systemds2650 recomput lineag dedup patch add chang compil dedup patch function main program place function call dedupop call correspond function move recomput relat code new class add new test class match recomput result origin output current code doesnt support multipl loop futur commit add optim construct multireturn function equival function call loop,requirement_debt
1689 enhanc test coverag part10 dubboplugin modul 1976,test_debt
spark15953wipstream renam continuousqueri streamingqueri renam simplic obvious relat stream exist unit test close 13673 tdasspark15953,code/design_debt
lucene7099 improv test exercis searchaft,test_debt
support isnul mayb includ absent null semant simplifi api usag context handl null differ present null confus,code/design_debt
flink16661 move static job set applicationdispatcherbootstrap support static job id handinhand requir job graph stay fix across consecut execut addit job job execut cluster commit consolid logic context applic mode one place applicationdispatcherbootstrap,code/design_debt
separ dql dml support creat select optim code structur,code/design_debt
hack broken test wast hour jenkin time,test_debt
simplifi,code/design_debt
hotfix doc fix typo indexmd close 6193,documentation_debt
polish fix test slow server,test_debt
merg pull request 10999 beam9345 fix sourc test flaki flinksubmissiontest,test_debt
spark4516 avoid alloc netti pooledbytebufalloc unnecessarili turn alloc alloc pool everi transportcli mean number increas number node cluster realli reus one client patch expect great decreas offheap memori alloc appear make alloc proport number core close 3465 aarondavfewerpool squash follow commit 36c49da aaron davidson spark4516 avoid alloc unnecessarili netti pooledbytebufalloc,code/design_debt
nifi5390 ad document deletebyqueryelasticsearch close 2865,documentation_debt
typo,documentation_debt
89826 systemml engin cleanup instruct generationpars luqreigen use common operand delimit,code/design_debt
fix miss warn,code/design_debt
beam5600 beam2939 add splittablepardo expans logic runner core updat flink spark samza use remov unnecessari expans within python portabl runner,code/design_debt
accumulo1111 fix infinit loop clober stack,code/design_debt
merg pull request 1665 shapebluejsb4910vers chang databas upgrad script name consist 4910 releas chang name schema490to491 script schema490to4910 chang name upgrade490to491 class upgrade490to4910 modifi marvin setuppi script use version 4910snapshot rhtyd karuturi pr1665 renam 4904910 upgrad script match four posit version scheme,code/design_debt
updat exampl blueprint nodej todo applic,requirement_debt
use javaiotmpdir instead hardcod tmp,code/design_debt
karaf4660 fix typo wrapper instal output messag fix command use karafservic file instead complet path,documentation_debt
broker close topic remain fenc forc 8561 motiv day face problem topic remain fenc unavail topic remain unavail unload follow broker log time maintain zookeep server think phenomenon caus shutdown server howev causal relationship clarifi modif workaround close topic remain fenc period time reconnect client instanti new persistenttop topic topic back normal,code/design_debt
remov unus code renam packag name,code/design_debt
futon simplifi placehold fallback use jqueri live focus event,code/design_debt
temporari fix reset outputstream java standard consol close output systemerr initi effect stderr close whole applic,code/design_debt
nifi730 ad error messag fail drop flowfil queue,code/design_debt
kylin2266 reduc memori usag build global dict,code/design_debt
hdds3068 crash startup print error messag log 599,code/design_debt
spark2652 pyspark turn default config pyspark add sever default config pyspark relat serial jvm sparkseri orgapachesparkserializerkryoseri sparkserializerobjectstreamreset 100 sparkrddcompress true help reduc memori usag rddpartitionbi close 1568 daviesconf squash follow commit cd316f1 davi liu remov duplic line f71a355 davi liu rebas master add sparkrddcompress true 8f63f45 davi liu merg branch master conf 8bc9f08 davi liu fix unittest c04a83d davi liu default config pyspark,code/design_debt
ad unit test base stackoverflow question,test_debt
fix flaki offlineclusterintegrationtest 1700 multipl server way check guarante server get segment reload caus flaki test fix offlineclusterintegrationtest start one server ad multinodesofflineclusterintegrationtest keep coverag multipl broker multipl server,test_debt
minor fix typo javadoc code comment close 2595 vahidhashemianminorfixtypos1702,documentation_debt
correct integr test structur 2293 correct integr test structur correct build file,code/design_debt
typo,documentation_debt
code style,code/design_debt
ambari20277 ambari server perform alert get trigger repeat get cluster api call take second mpapirkovskyy,code/design_debt
better error emit mismatch rule,code/design_debt
test remov script refer previous remov content 2596,code/design_debt
packagesh clean format logic chang made test syntax error ad,code/design_debt
unnecessari fulli qualifi name,code/design_debt
camel6782 polish,code/design_debt
test lengthkind pattern work howev use featur yet implement string paddingtrim thing ad make work still exercis lengthkind pattern dodg paddingtrim use initatorstermin deal pad rewrot selfcontain tdml test file tresyscontribut delet old one,requirement_debt
spark6575sql convert parquet metastor tabl longer cach metadata httpsissuesapacheorgjirabrowsespark6575 close 5339 yhuaiparquetrelationcach squash follow commit 83d9846 yin huai remov unnecessari chang c0dc7a4 yin huai cach convert parquet relat,code/design_debt
remov redund wiki manipul code amend maven build remov refer code depend jar,code/design_debt
fix code style,code/design_debt
spark6752 stream revis allow streamingcontext recreat checkpoint exist sparkcontext revis earlier version see 5773 pass activ sparkcontext explicit new set java scala api drawback hard implement python new api introduc even confus sinc introduc getactiveorcr spark7553 furthermor direct way get exist activ sparkcontext creat new sparkcontextgetorcreateconf better use get sparkcontext rather new api explicit pass context remov new version streamingcontextgetorcr took sparkcontext ad abil pick exist sparkcontext streamingcontext tri creat sparkcontext close 6096 tdasspark6752 squash follow commit 53f4b2d tathagata das merg remotetrack branch apachegithubmast spark6752 f024b77 tathagata das remov extra api use sparkcontextgetorcr,code/design_debt
fix intellij warn,code/design_debt
log inform sampler caus error,code/design_debt
trafodion2481 improv ambari section provis guid add small screen cap better illustr ambari integr fix coupl typo projectnam macro thank anuradha review fix bug ambari integr code found exercis step doc,documentation_debt
code tidi complet merg old entityproperti activ attribut type chang activ attributemap,code/design_debt
chang sparkgremlin test integr test chang cut build time half system dicuss httpslistsapacheorgthreadhtml7a37a3967ad15e8cd30a2bc29e15bf266f44df040f482f94e09b1e8e3cdevtinkerpopapacheorg3 ctr,test_debt
hadoop8686 fix warn nativ code contribut colin patrick mccabe,code/design_debt
put trace info datat trace enabl 2052 fix issu trace info set datat even trace enabl encount except still put request data tabl clean trace anoth perform,code/design_debt
delet unus,code/design_debt
drill4690 initi support cor ad crossoriginfilt webserv base option httpenablecor fix issu relat style restrict header ad run filterchain filter orgeclipsejettyservlet enabl configur jetti version 915 restrict filter path cor default disabl reduc size depend reset maxsiz close 507,code/design_debt
fix typo,documentation_debt
samza1711 reenabl exist standalon integr test chang enabl exist standalon integr test except testzkstreamprocessorsessiontestzkstreamprocessorsess flaki spawn streamprocessor kill one streamprocessor zookeep session expir sleep second proceed valid rebalanc phase take longer sleep time valid fail remov zookeep unavail unit test localapplicationrunnerrac condit zookeep shutdown fail test delet test ad back separ test class increas zookeep server minimum session timeout second 120 second add assert valid kafka topic setup success unit test valid verifi run follow script top patch master branch result close 515 shanthooshturnallintegrationtestson,test_debt
unskip skip test,test_debt
fix fix style header sqllab 11980 fix style header flex refactor remov style import chang width contain add tooltip set fix width sidebar fix lint,code/design_debt
phoenix2599 phoenixrecordread handl staleregionboundarycacheexcept,code/design_debt
jacoco use httpsanalysisapacheorg remov unus code fix old todo,requirement_debt
minor format fix properti mention section grape close,code/design_debt
server doubl check host capac startmigr 3728 start migrat away host host mainten cloudstack check capac host choos one hundr host platform take second cloudstack choos host startmigr resourc consumpt host might chang normal happen startmigr multipl vms would better doubl check host capac start host includ fix cpucor capac startmigr,code/design_debt
bigtop260 mahout puppet modul need implement,requirement_debt
minor cleanup base feedback review request,code/design_debt
arrow7162 cleanup warn cmakemodulessetupcxxflagscmak close 5828 pitrouarrow7162cleanupclangwarn squash follow commit e6cb6cd2a antoin pitrou arrow7162 cleanup warn cmakemodulessetupcxxflagscmak,code/design_debt
ignite8347 memori leak restart ignit node enabl persist threadloc fix 3891,code/design_debt
fix possibl resourc leak checkpoint write thread,code/design_debt
merg pull request 430 hilongjwpatch1 doc correct spell error,documentation_debt
close 2413,code/design_debt
make grpc depend option,code/design_debt
minor remov unus field correct comment typo,code/design_debt
add current buff keep buffer sane pars syntax error add leftshift groovi execut support split command execut wee cleaner code,code/design_debt
add proper close s3pinotf s3client s3pinotfstest 5287 ad teardown method propoer uniniti chang annot beforemethod beforeclass need done temporarili disabl test seem give follow error environ block figur root caus 235948761 main error orgspringframeworkbootdiagnosticsloggingfailureanalysisreport applic fail start descript web server fail start port 1947 alreadi use action identifi stop process that listen port 1947 configur applic listen anoth port,test_debt
accumulo2224 make zoosess resili face transient dns issu retri host found 2xzk timeout ioexcept rather bail host name problem add util method get max time jvm cach host failur add test said method,code/design_debt
brooklyn108 use right installdir rebind,code/design_debt
merg pull request 555 lburgazzoligithub553 random http test port,code/design_debt
zeppelin502 python interpret group ad python interpret basic implement py4j exampl java processbuild object use instanti python repl interpret doesnt bring python binari use python specifi pythonpath configut thus still use specif instal python modul scikitlearn matplotlib interpret abl work python without chang python helper function zeppelinshow easili display matplotlib graph svg type featur todo jira issu zeppelin502httpsissuesapacheorgjirabrowsezeppelin502jqlproject203d20zeppelin20and20text202022python22 test interpret screen python section specifi pythonpath python binari want use paragraph use interpret python call help describ interpret functionn instal py4j pip instal py4j want use input form screenshot question licens file need updat yes binlicens py4j break chang older version need document yes close 869 hriviereprinterpreterpython squash follow commit 80b6e75 herv rivier zeppelin502 move bsd py4j licens zeppelindistributionsrcbinlicenselicens a4b82a5 herv rivier zeppelin502improv doc follow ahyoungryu review 3252353 herv rivier zeppelin502 format code respect project convent 54ec4f1 herv rivier zeppelin502improv doc follow ahyoungryu review 6a831bc herv rivier zeppelin502 add bsd py4j licens 11e1b9c herv rivier zeppelin502 minor chang pythonmd e5d0bdb herv rivier zeppelin502 chang pythonpath zeppelinpython c62ac98 herv rivier zeppelin502 improv pythonmd 5008125 herv rivier zeppelin502 improv pythonmd featur yet support technic descript 7d533e1 herv rivier zeppelin502 add test reform code help test write fecaf25 herv rivier zeppelin502 renam pythonpath python default usrbinpython python 02d1320 herv rivier zeppelin502 input form chang simpl input form nativ pyspark syntax 60d2956 herv rivier zeppelin502 indent pep8 convent 9bdb192 herv rivier zeppelin502 add pythonmd navigationhtml 7142aa5 herv rivier zeppelin502 catch except loggererror 1a86ad7 herv rivier zeppelin502 python interpret group,code/design_debt
camel3458 fix bindi fix length mode throw except field larger allow length ad option clip clip field happen workaround issu,code/design_debt
typo,documentation_debt
spark34585sql remov longer need batchwritehelp chang propos pull request followup spark34456 remov batchwritehelp complet chang need chang remov longer use code introduc userfac chang patch test exist test close 31699 aokolnychyispark34585,code/design_debt
camel8023 polish java doc,documentation_debt
solr12289 add mdc log inform collect admin request,code/design_debt
spark34220ml bucketedrandomprojectionlsh transform optim chang propos pull request use gemv instead dot chang need better perform could faster exist impl simplifi model save introduc userfac chang patch test exist testsuit close 31313 zhengruifengrandomprojectopt,code/design_debt
minor upgrad gradl 213 improv 212 213 particular interest perform improv 212 releas bring support compil depend improv build script compil speed even better ide support 213 weve achiev perform improv gradl configur execut phase measur improv build time perform test chang build script necessari start take advantag improv close 1271 ijumagradle213,code/design_debt
accumulo2994 add explicit prefix iter scope remov unnecessari configur pars read accumulo configur configur entri scope read high unnecessari done warn invalid tabl properti instead use provid iteratorscop explicit pull data need configur reduc process,code/design_debt
code style,code/design_debt
camelgoogledr fix switchcas indent see camel14540,code/design_debt
arrow6658 rustdatafus implement avg express wasnt sure datatyp sumcount pick broadest f64 i64 also may may better implement sumcount either way chang modr need test sql f64 close 5558 alippaiarrow6658 squash follow commit 20cddef76 andi grove fix typo 62372f690 andi grove remov unwrap cc32f2219 andi grove rebas ebc3acbaa adam lippai arrow6658 implement avg express leadauthoredbi adam lippai adamrigosk,documentation_debt
improv error messag result use holder simpl front end remov entir aegi test nonexist featur whose test case ignor long time remov mislead comment dynam client unit test,documentation_debt
remov extran executioncontext paramet basestepcontext,code/design_debt
geode4688 refactor addserverlocatorep 220 pass poolfactori refer improv readabl convert c11,code/design_debt
chore clean aphrodit 10883,code/design_debt
rest dsl camelswagg work progress,requirement_debt
geode2194 fix puls webapp context puls longer redund url like httplocalhostpulsepulsepulsevers close 335,code/design_debt
hdfs7932 speed shutdown datanod roll upgrad contribut kihwal lee,code/design_debt
solr10420 fix watcher leak distributedqueu,code/design_debt
cloudstack8656 network relat except log,code/design_debt
fix typo,documentation_debt
renam donothinggraphstrategi defaultgraphstrategi elimin worri write nicer tostr,code/design_debt
spark24123sql fix precis issu monthsbetween digit chang propos pull request spark23902 introduc abil retriev digit monthsbetween unfortun current implement caus precis loss case caus also flaki mirror hive implement order avoid precis loss also digit return patch test run 10000000 time flaki close 21196 mgaido91spark24123,test_debt
beam5709 fix flaki test beamfncontrolservicetest see jira issu descript caus flaki attempt fix issu wait suffici long time action reli server shutdown finish,test_debt
dispatch966 improv log router engin long bodi dont caus backtrac truncat,code/design_debt
cloudstack6859manag server permgen run memori time due class leak,code/design_debt
yarn10207 closewait socket connect leak render corrupt aggreg log jobhistoryserv web contribut siddharth ahuja,code/design_debt
ignor new test that complet accur yet,test_debt
arrow2918 improv format struct pretti print kszuc close 2327 xhochyarrow2918 squash follow commit 22b9a313 korn uwe arrow2918 improv format struct pretti print,code/design_debt
yarn10536 client distributedshel swallow interrupt except 2554,code/design_debt
hdfs3894 qjm testrecoverafterdoublefailur flaki due ipc client cach contribut todd lipcon,test_debt
flink9735test potenti leak rocksdbresourc close 6660,code/design_debt
minor clean add comment flink client 2261,code/design_debt
hotfix fix except messag,code/design_debt
flink7989yarn upload flinkdist jar twice alway add distjar could also insid ship folder lib folder distribut multipl time close 4951,code/design_debt
