text,label,document_index
todo honor,VERSIONING,141
todo used currently uses code checking token,VERSIONING,142
issue number called make sure necessary full check github remote config done here determine local way the remote config check also lack,VERSIONING,143
todo git rm cache docs ca nt currently detect git known files directory,VERSIONING,144
todo honor default branch,VERSIONING,145
todo turn interactive choice if changes think branch switch always fail happen ie risk something,DEFECT,146
todo honor default branch,VERSIONING,147
todo honor default branch,VERSIONING,148
todo honor default branch,VERSIONING,149
have done check ve git config,VERSIONING,150
todo honor default branch,VERSIONING,151
todo honor default branch,VERSIONING,152
todo checking re default branch,VERSIONING,153
todo address directory help fs issues windows fs normalizepath,ARCHITECTURE,154
based andor present several edge cases requirements seems good enough,BUILD,155
todo,CODE,156
todo correct case selection,CODE,157
the following block used usethis automatically namespace tags modify care usethis namespace start,BUILD,158
todo present useful,DOCUMENTATION,159
todo properly switch,VERSIONING,160
todo consider push,VERSIONING,161
assuming origin upstream,VERSIONING,162
todo say whether user push parent upstream,VERSIONING,163
work,CODE,164
cleanup,CODE,165
delete private test repo github browser todo nice add code,TEST,166
repo chosen first one listed cran user day made ie,TEST,167
make sure local copy exist error nt,DEFECT,168
work,CODE,169
work,CODE,170
if session temp directory appears within project large scale test the sometimes files session temp directory one delete files manually,TEST,172
cran sets disk tests fail even something might try config file operation eg git simply test,TEST,173
testing user travis nt want risk creating files actual user would clean,TEST,174
run manually already files happy delete,TEST,175
run manually already files happy delete,TEST,176
run manually already files happy delete,TEST,177
ever depend package could test bit,TEST,178
test started fail usethis currently branch nt seem worth skip good enough,DEFECT,179
github remote sparse start somewhere,VERSIONING,180
we ve already here happens created user origin upstream parent repo becomes due name change now upstream looks like point parent,DEFECT,181
hand vs via windows appears delete current working directory,DEFECT,182
empty values temperature file cause errors if calculate max window,DEFECT,183
hack remove warning message nt suppress messages,CODE,187
narm true remove warnings na cf control size,CODE,188
the following block used usethis automatically namespace tags modify care usethis namespace start,DOCUMENTATION,189
could theoretically work like mtc mtc mtc mtc mtc mtc function data mapping ggplot data mapping,CODE,190
copied old code want replace something like,CODE,191
fix missing box goes true min,DEFECT,194
user ordering one class rest add later,CODE,195
bug character vector to,DEFECT,196
this file takes long,ARCHITECTURE,197
could nt get correct error message variables colour non standard format expecterror mapping ggplot2 aes color variables colour non standard format nolint expecterror mapping ggplot2 aes color variables colour non standard format nolint,DEFECT,200
might confusing grid lines vertical,USABILITY,202
trick coordinates,CODE,203
types always work,DEFECT,205
need automatic check change default,TEST,206
raster,ALGORITHM,207
todo convert fact tolerance,CODE,209
trick also used prevent frame,CODE,210
used,CODE,211
eg removenafacets function type aes xs xs lapply xs function gi gi ef drop false sapply aes function paste sep unlist lapply aes function paste paste aes sep unlist lapply aes function paste paste type sep lapply function gi gi ef lapply function gi gi ef local gi gi values gi values ef gi breaks gi breaks ef gi lapply function gi gi ef ef xs lapply xs function gi gi ef removenafacets fill fill removenafacets line removenafacets,CODE,212
layer control include base true specified,ALGORITHM,214
possible check options since exported,BUILD,216
checking make sure qc labels unique qc old code delete,CODE,217
subset argument work correctly number levels result get singular matrix solution take unused levels object,DEFECT,219
https matrix nas todo parameters lambda,CODE,220
ok,CODE,222
yuliya use matrix deal need,ALGORITHM,223
need done,CODE,224
take observed values may needed works,CODE,225
use try sure need need solve lm,CODE,226
rownames normalized row names assumed unique ids unique,CODE,227
need wrapper diag min,CODE,228
yuliya get around without using,CODE,229
tom,PEOPLE,232
need diag,CODE,233
yuliya check tom mean value,PEOPLE,234
ii mean ii ii mean should ii,CODE,235
else allow least objects class,ALGORITHM,236
update case filtered,CODE,237
error model,DEFECT,238
nt seem need,CODE,239
todo make sense eg,CODE,242
todo provide better way clean,CODE,243
map special arguments trace attributes note modify mode applied first todo use create https,CODE,244
must array objects todo add anything else,CODE,245
fix warning removed new version,BUILD,246
check need filtered reference todo address following filtering needed,ARCHITECTURE,247
got error incorrect number dimensions added dropfalse avoid vector conversion,DEFECT,249
need update cls labels,CODE,251
need update cls labels,CODE,252
removed never used,CODE,254
map todo run function specific species,CODE,255
todo refactor following part code better,CODE,256
todo map based specific selection species,REQUIREMENTS,257
todo change inf specific value based type scores,CODE,260
todo check need filtering eg,CODE,261
todo fix code handle case length length then start loop,DEFECT,262
todo avoid matched ids list nodes,CODE,264
left old fix error later,DEFECT,266
this could be place to add noise filter to make speed faster,ARCHITECTURE,267
case error options,DEFECT,268
case error measurements identical,DEFECT,269
error,DEFECT,271
and,CODE,272
remove features missing samples per group valid group,DEFECT,274
workaround localmax fails otherwise,CODE,276
for nt allow nas,CODE,281
restrict data,ALGORITHM,282
calculate error,REQUIREMENTS,283
sort fix bug high ppm values todo find better solution give user,DEFECT,284
todo change interface,CODE,285
peaks without peak give error warning,USABILITY,287
todo not working moment,DEFECT,288
color makes error,DEFECT,289
color makes error names,DEFECT,290
get coef table error class,DEFECT,291
color makes error names,DEFECT,292
na gives error,DEFECT,293
names may long,CODE,295
names may long,CODE,296
names long,CODE,298
factor faster data matrix,ARCHITECTURE,299
regression model originally tried call certain options but found passing model method nt work optional things like weights so first set for distribution variance test not yet supported printing,DEFECT,300
nt work due,DEFECT,302
avoid error message,CODE,303
special matched data number strata per strata small compute time becomes make data one strata time intervals,CODE,304
trick nice one arguments present if specified default false set we keep arg list match documentation,REQUIREMENTS,306
special case null model trick code requires least one variable creating one iterations,CODE,308
data just case,CODE,309
residuals good enough code order components object never change residuals right means,ARCHITECTURE,310
avoid due partial matching fit get fit good,CODE,311
fit strata,CODE,312
verbose return messages useful debugging,CODE,314
use function,CODE,315
this already checked,CODE,316
adding trick check term,CODE,318
per strata needed,ALGORITHM,320
build coef matrix term time,CODE,321
case length,CODE,323
useless,CODE,324
why ca nt object call because code uses objects class object nt work operation but nt know quantile would defined,DESIGN,325
case columns nt need nt think happen,ALGORITHM,326
think debugging line,ALGORITHM,327
why temp1 instead temp1 line when temp1 zeros first expression gives vector temp1 ifelse nt work right due,CODE,329
compute number risk if temp1 looking nt work length,DEFECT,330
the methods cause solve,CODE,331
this common code it set this code development yet used anything false distribution,BUILD,332
next line debug code visible users survival call directly,DESIGN,333
automatically generated directory replaced code eventually deprecated,CODE,335
save copy call documentation deprecated,DOCUMENTATION,336
old style argument,CODE,337
throw away never used,CODE,339
if model print long warning message people may nt see another way bad without probably complain factors never strata cluster term,USABILITY,340
ndots length ndots length list fails missing eg fit workaround,DEFECT,342
it hard get next error message eg time,CODE,343
case someone integer weights,CODE,344
first issue deprecated survival,CODE,345
will right censored the calling used strata factor unused levels but case user called,CODE,346
fix scale output,DEFECT,347
fix scale output,DEFECT,348
otherwise nt align ndots length ndots length list fails missing eg fit workaround,DEFECT,349
columns strata id,CODE,350
nt work,DEFECT,351
lines debugging change true turn printing,CODE,352
strata covariate needed modelmatrix later,CODE,353
the trick nt work use intercept fit zeros coef order intercept,ALGORITHM,354
case list object,DESIGN,355
comment next line function uses variance variance missing invalid variance function,CODE,356
the matrix useful debugging,CODE,357
we nt look id what user starting data set also variable named id we want first call,REQUIREMENTS,358
fix times,DEFECT,359
needed,CODE,361
now hand,CODE,362
,CODE,365
they right,CODE,366
nt match think right,CODE,367
the line tricky long time the range range age that range the functions based age if used subset earlier form test function called subset occurs different second leading failure allequal tests theta one exactly theta coefficients within,ARCHITECTURE,370
old form,CODE,371
this next fails with data number risk known since report time points,DEFECT,372
quite close,CODE,373
todo can documentation,DOCUMENTATION,376
todo objects changed,CODE,378
todo maybe copy files,CODE,380
work directory ignored,CODE,381
tell cmd check treat global variable avoid false positives long version published todo remove version published,BUILD,382
todo compare summary intervals,CODE,383
todo check content error message produces meaningful messages currently error message actual error message invalid,TEST,384
suppress cmd check note,BUILD,386
trick cmd check,BUILD,387
work properly,CODE,388
trick cmd check,BUILD,389
todo type specified set type na wait final call type make sure,CODE,390
add name make extra todo remove grouping done,CODE,392
character vector columns todo need work,CODE,393
todo check sort state,CODE,394
hacky way check rmarkdown,CODE,396
todo check handle warn based etc,CODE,398
hacky way get ideally use groups dplyr one group know grouped variables show first combination unique,CODE,400
hacky way see sorted none variables still sorted another variable user must sorted variable note detect sorting,CODE,401
todo add also correlation filter require least correlations,CODE,402
construct example data df ensure samples given order metadata data fixme removed official package fixed retain factor level ordering,DEFECT,403
todo add this decide merge metadata to safe side could merged identical will require checks,CODE,404
todo add optional core abundances would sum,REQUIREMENTS,405
todo add support taxonomic levels,REQUIREMENTS,406
as far understand problem running error limit not user instead package developers make sure registered package developer adding following package function utils,DEFECT,407
todo options mat method distance,CODE,408
matrix fixme could better done,CODE,409
todo completely matrices vs,CODE,410
define new sample ordering based quick fix scores function fails otherwise,DEFECT,411
fixme arguments rename groups groups factor factor,CODE,412
todo add option calculate pca different distances using distance argument assumes default,CODE,413
todo add robust pca,ARCHITECTURE,414
fixme time log10 used abundances log change consistency,CODE,415
fixme assumed this may far optimal should determined automatically,CODE,416
todo add optional core abundances would sum,ALGORITHM,417
fix sample metadata original input,DEFECT,419
todo make well,CODE,420
hacky global switch uses fact blocks one another set block,CODE,421
bug source positions code tags count space lines however bug might get fixed later simply error code,DEFECT,422
fixme check empty ie name,BUILD,423
if nt exist nt document,DOCUMENTATION,424
workaround occur perhaps nt cf https,CODE,425
uses nonbreaking space necessarily valid windows locales quick hack fix problem,CODE,426
need fix link point file,CODE,427
update anymore,TEST,429
todo include type,CODE,430
todo include type,CODE,431
bit stupid adding special handle categorical feature numeric plot,USABILITY,433
extra fix target data,CODE,435
currently used,CODE,436
todo implement weight attr weighting chr term frequency inverse document frequency attr weighting chr term frequency inverse document frequency normalized attr weighting chr term frequency attr weighting chr smart smart eg,REQUIREMENTS,437
windows old,CODE,438
treat fixed glob character,CODE,439
todo replace,CODE,440
todo replace,CODE,441
clean,CODE,442
needs two spaces clean,CODE,443
clean clean,CODE,444
glob treated fixed found,CODE,445
backward compatibility todo removed year,CODE,446
todo consider removing,CODE,447
function exported exist rules inputs character outputs tokens tokens,DESIGN,448
necessary currently subset yet implemented objects,CODE,449
states,CODE,450
fails expectequivalent,TEST,451
todo test classes returned,DEFECT,452
todo add function testing equality,TEST,453
wrong,DEFECT,455
error high,CODE,456
fails expectequivalent mt method maximum asmatrix stats asmatrix mt method maximum,TEST,457
fails,TEST,458
fails,TEST,460
fails,TEST,461
stats wrong small tables,DEFECT,462
also produces symmetric matrix,DEFECT,463
debug https scheme supported internal method may resolve issue if method chosen default on method used except internal file scheme on windows method used scheme,ARCHITECTURE,465
better expr,DEFECT,466
better expr,DEFECT,467
fix break dependencies,BUILD,468
fix break dependencies object object object object stop invalid infinite value return,BUILD,469
apparently happen,DEFECT,470
assuming values,ALGORITHM,471
keep correct ids future versions step wo nt necessary,CODE,472
old function used,CODE,473
backward compatibility issues non fatal,CODE,474
keep debugging need test see much deal,TEST,477
work gdal see http,ARCHITECTURE,478
to do make function block data single histogram,CODE,479
development,CODE,480
allow index vector,CODE,481
need better,CODE,483
probably probably,CODE,484
not used,CODE,485
todo warnings work,CODE,486
relevant consistency,CODE,487
implemented,CODE,488
etc,CODE,490
tested much,TEST,492
tested,TEST,493
check,TEST,496
creates problems large integers perhaps needed causes problems merge asinteger using round,ARCHITECTURE,498
removed,CODE,501
could avoid problems sure would worse could option,CODE,503
hack make sure assume values integers first values decimal point,CODE,504
backward compatibility,CODE,506
for code need update later create possible values,CODE,507
for treat adjust,CODE,508
do not export,DESIGN,509
do not export,DESIGN,510
do not export,DESIGN,511
do not export,DESIGN,512
do not export,DESIGN,513
for hard coded fix vs empty list,CODE,515
this added later,CODE,516
information tricky one,CODE,517
information tricky one,CODE,518
nocov nocov,TEST,519
nocov nocov nocov,TEST,520
nocov nocov nocov,TEST,523
nocov nocov,TEST,525
nocov nocov,TEST,526
nocov nocov,TEST,527
nocov nocov,TEST,528
nocov nocov,TEST,529
nocov nocov,TEST,530
nocov nocov,TEST,531
nocov nocov,TEST,532
nocov nocov,TEST,533
nocov nocov,TEST,534
nocov nocov,TEST,535
nocov nocov,TEST,536
get groups samples together grouping information always ll full set groups data,ALGORITHM,539
nothing moment,CODE,540
nocov,TEST,541
nocov,TEST,542
nocov nocov,TEST,543
nocov,TEST,544
get groups samples join together grouping information lost actually groups first data frame join ll full set groups data join,CODE,545
containing empty dimensions eg mu mu produce ca nt use empty variable names replace drop drop columns later todo probably better way,ARCHITECTURE,546
must give blank dimension column unique name otherwise wo nt work,CODE,547
nocov,TEST,548
nocov,TEST,550
nocov,TEST,552
get test pass brms versions nt output levels anymore,TEST,553
progress output ca nt seem turn hence captureoutput also seems break wrt run global environment set hence,CODE,554
progress output ca nt seem turn hence captureoutput,CODE,555
test model kind dumb nt seem allow input data test models work api,TEST,556
adjust filename fixme adjust also directory names hb,CODE,557
note fields fields also remove duplicates,CODE,559
not needed anymore,CODE,560
nothing todo,CODE,561
not needed anymore,CODE,564
not needed anymore,CODE,565
not needed anymore,CODE,566
not needed anymore,CODE,567
workaround tools paths paths length paths working temporary directory,CODE,568
workaround tools paths handle spaces,CODE,569
not needed anymore,CODE,570
ad hoc it may happen case differ,CODE,571
to please cmd check object,BUILD,572
not needed anymore,CODE,573
if expr ii missing ignore error this happens instance like fixme is better way hb,ARCHITECTURE,574
not needed anymore,CODE,575
this actually redundant test keep make,CODE,577
try list directory will take lot time,ARCHITECTURE,578
note mapped introduces should hb,CODE,579
ad hoc needed instance xml attached,CODE,580
backward compatibility treat empty path,CODE,581
treat current working directory backward compatibility,CODE,583
warning error,CODE,584
nothing todo,CODE,585
workaround gives na use instead see problem cf https,CODE,587
bug,DEFECT,588
not needed anymore,CODE,589
should take care case,CODE,590
write output temporary file fixme do worry encoding hb,CODE,591
workaround,BUILD,592
the working least windows may negative where nt seem work hb starting positions double order address larger vectors offset origin start read get current file offset offset idxs idxs offset,DEFECT,593
not needed anymore,CODE,594
should found using regular expression patterns,CODE,597
not needed anymore,CODE,598
not needed anymore,CODE,600
not needed anymore,CODE,601
not needed anymore,CODE,602
might slow,ARCHITECTURE,605
workaround some browser wo nt open files mapped windows here undo eg foobarhtml,DEFECT,606
workaround foobarhtml work windows calls foobarhtml works foobarhtml,DEFECT,607
not needed anymore,CODE,608
workaround windows,DEFECT,609
nothing todo,CODE,610
workaround file links windows only files zero size links,CODE,611
nothing todo,CODE,612
not needed anymore,CODE,614
reset previous options example old later old,CODE,615
nothing todo,CODE,616
nothing todo,CODE,617
workaround put else together previous statement this problem help thread deparse else statement http deparse else new line ifelse statement expression eg cat deparse substitute else sep gives else deparse substitute else gives else hb,CODE,618
workaround sink type message allow sink file,ARCHITECTURE,620
not needed anymore,CODE,623
default parse depending version env package parse default base parse conflict quiet assign parsedefault parsedefault parsedefault parsedefault,BUILD,624
workaround on windows translate forward fixed,CODE,627
odd different results cmd check test script hb res use,TEST,628
this script it methods attached it crash it appears crash cmd check run via similar hb,DEFECT,629
this hack api returns true save method within httr content function nt like,ARCHITECTURE,630
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,631
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,632
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,633
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,634
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,635
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,637
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,638
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,640
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,641
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,642
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,643
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,644
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,645
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,647
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,648
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,650
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,651
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,652
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,653
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,654
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,655
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,656
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,657
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,659
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,660
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,661
ugly hack format column,CODE,662
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,664
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,665
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,666
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,667
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,668
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,669
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,670
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,672
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,673
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,674
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,675
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,678
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,679
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,680
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,681
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,682
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,684
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,685
should return report report data directly single element returns data frame column nested list multiple elements fails error top argument,DEFECT,686
useful format leave rename counts column metric completely quickanddirty,CODE,687
this hack results error occurs signals end results,CODE,689
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,690
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,691
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,692
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,693
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,694
hack locale every method calls apirequest hopefully works set encoding utf8 well someone wanted base64 luck,CODE,695
todo check token expired whether matches,ARCHITECTURE,696
create sparse matrix appears work provides wrapper around error appears related deprecated functions,DEFECT,698
line working function create weighted matrix,DEFECT,699
optimal kept,DEFECT,701
true previous statement,CODE,702
simple test determine proper todo implement,TEST,703
hack moment ordered indices ok,CODE,704
evaluate indices directly working,CODE,705
todo set path data set stored todo make possible sort multiple columns cat data result speed see,REQUIREMENTS,706
fix matrix nt factors,CODE,707
fix matrix nt factors,CODE,708
plot hacked stats,CODE,709
fix matrix nt factors,CODE,710
one problematic problematic returns,CODE,711
drop quality scores needed anymore,CODE,712
not needed anymore,CODE,713
not needed anymore,CODE,714
assume based system todo check necessary,CODE,715
not needed anymore,CODE,716
not needed anymore,CODE,717
not needed anymore,CODE,718
not needed anymore,CODE,719
not needed anymore,CODE,720
todo encoding param ignored xml true stop you must xml installed read xml files,CODE,722
because xml nt impute column types match behaviour,CODE,723
todo files need currently listfiles uses lot space temporary files lot,ARCHITECTURE,724
todo stop using rownames errors duplicated,DEFECT,725
the implementation listfiles might seem lot the main design made user able pass many different types string listfiles get consistent result list local one additional two functions listfiles this ensure ever called length argument even though return multiple for purposes there possible types values simple filename remote url glob pattern vector combination listfiles recursive design arguments resolve arguments need processing eg remote url could resolve zip file needs the condition recursion argument passed local single file needs processing eg something like however possible determine given argument path single file glob pattern matches multiple files without actually trying match this result expression could potentially need processing recursion needs end we ca nt know rules systems might treat either filename path depending whether support glob we could tested return value see whether system given string glob pattern simple filename unfortunately return character either glob pattern matches files filename file nt exist nt work either we also ca nt test whether pattern regular file looking extension zip glob expression zip extension,DEFECT,726
todo docs todo check remove codes todo file eg remote zip file todo csv seem require,ARCHITECTURE,727
it would nice able test glob special characters filename check allow file name exist package this still pass run test manually created file supports expectequal length txt,TEST,728
code coverage functions,TEST,729
todo refactor loop,TEST,730
todo what happens supply,TEST,731
todo test vector filename url,TEST,732
todo nt remove add,CODE,733
todo decide packages,BUILD,734
ideal hopefully fixed https,CODE,736
todo need set options repos well work,CODE,737
must source directory rstudio work properly probably fixed,BUILD,740
todo decide packages,BUILD,741
todo this work fine unless set hash length todo see alternative approach dealing nt think really use though,CODE,745
todo could sure helpers somewhere though accept binary skip anyway appropriate setting,CODE,747
todo things like belong this needs sorting driver,ARCHITECTURE,751
todo great deal use using local cache passed null already storr environment cache,ARCHITECTURE,752
todo use config data use internal details,CODE,753
this error options ca nt supported never use driver anything,CODE,754
for current work long vectors we work around future versions use support the workaround use directly connection this far ideal faster previous approach raw vector file approach vs one we need make sure keep file write otherwise existence object later causing upstream,DEFECT,755
todo branch,CODE,756
this theory checks nocov,TEST,757
todo done possibly work level so get set values this work best objects storr logic hard work us lot stuff it bit nasty though re different accept raw thing comes important different hash algorithms,ARCHITECTURE,758
nocov,TEST,759
this duplicates much code,CODE,760
behaviour driver support binary todo get covr,TEST,761
comes note code special cases outputs this needs checked the ordered outcome output nt work need currently done,DEFECT,762
eval call parentframe problem,BUILD,763
todo implement boot,CODE,764
nt nt needed unless normal store anyway code better,CODE,765
work already checked stuff,CODE,766
todo files yet supported check variable used check values attributes may changed creation object file tables date version,CODE,767
todo files yet supported check variable used check values attributes may changed creation object file tables,CODE,768
probably better return,CODE,769
using,BUILD,770
to do make function block data single histogram,CODE,772
otherwise fails,TEST,773
work around onload problem,CODE,774
note working signature missing calling one way around,CODE,775
probably use line removed round digits,CODE,777
works devtools test,TEST,778
temporary fix rstudio bug reported https to replicate error use loc normalizepath assign loc envirenvironment,BUILD,779
todo search hierarchy,DESIGN,780
theoretically added table import word works less well therefore ve workaround top cells,CODE,781
the nt work well word import well nothing really works well word,DEFECT,782
remove duplicated,CODE,783
this slightly run figure still ever debug section,CODE,784
we removed original call need nasty hack get parameter parent function,DESIGN,785
does nt work due substitute expectequal,DEFECT,786
trick seems long enough response long,ARCHITECTURE,787
order things bit tricky,ALGORITHM,788
axis format this sets text size colour axis test well setting margins removes lines ticks in cases axis lines axis ticks things would want examples,DOCUMENTATION,789
namespace used fails reason,DEFECT,790
this hack work around devtools the process makes devtools functions resulting error pkg internal error if simply force first available use later,BUILD,791
s4 classes created package need removed special way,DESIGN,792
todo add check not giving warning version not possible testthat,BUILD,793
this ok error,DEFECT,794
loading work,TEST,795
loading reset work,TEST,796
check classes this test fails reason bug but nt cause problems,TEST,797
error indices used,DEFECT,800
hack visible,CODE,802
define variables fix visible binding check bit hack,CODE,804
hacky fix visible binding warning,CODE,805
define variables fix visible binding check bit hack,CODE,806
define variables fix visible binding check bit hack,CODE,807
define variables fix visible binding check bit hack,CODE,808
todo preserve later convert inside,REQUIREMENTS,812
todo add tests different lambda setting todo add tests updating new data note done total test time still skip cran,TEST,813
